"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -2.36547851562E+00  -1.07600097656E+01  C_2157_V_10 
  -5.03369140625E+00  -1.34799804688E+01  C_2157_V_11 
  -6.02587890625E+00  -1.33400878906E+01  C_2157_V_12 
  -6.87036132812E+00  -1.47399902344E+01  C_2157_V_13 
  -8.74780273438E+00  -2.24401855469E+01  C_2157_V_14 
  -1.00556640625E+01  -1.10700683594E+01  C_2157_V_15 
  -1.10649414062E+01  -1.74799804688E+01  C_2157_V_16 
  -1.18193359375E+01  -1.77001953125E+01  C_2157_V_17 
  -1.26706542969E+01  -2.04799804688E+01  C_2157_V_18 
  -1.38525390625E+01  -1.41701660156E+01  C_2157_V_19 
  -1.41413574219E+01  -2.03000488281E+01  C_2157_V_20 
  -1.47497558594E+01  -1.91701660156E+01  C_2157_V_21 
  -1.54848632812E+01  -2.34401855469E+01  C_2157_V_22 
  -1.57907714844E+01  -2.36301269531E+01  C_2157_V_23 
  -1.60036621094E+01  -2.39699707031E+01  C_2157_V_24 
  -1.67084960938E+01  -1.66701660156E+01  C_2157_V_25 
  -1.73942871094E+01  -2.50400390625E+01  C_2157_V_26 
  -1.78276367188E+01  -1.70000000000E+01  C_2157_V_27 
   2.21629907227E+03   2.19961010742E+03  C_2193_1    
  -1.11206054688E+00  -1.09602050781E+01  C_2193_2    
  -1.88085937500E+00  -1.19802246094E+01  C_2193_3    
  -3.03686523438E+00  -1.16301269531E+01  C_2193_4    
  -4.19042968750E+00  -1.44001464844E+01  C_2193_5    
  -4.69873046875E+00  -1.54602050781E+01  C_2193_6    
  -4.96142578125E+00  -1.88901367188E+01  C_2193_7    
  -6.34912109375E+00  -1.56201171875E+01  C_2193_8    
  -6.30444335938E+00  -1.50100097656E+01  C_2193_9    
  -9.19848632812E+00  -2.03701171875E+01  C_2193_10   
  -1.20986328125E+01  -3.57302246094E+01  C_2193_11   
  -1.37795410156E+01  -3.73500976562E+01  C_2193_12   
  -1.45136718750E+01  -3.85400390625E+01  C_2193_13   
  -1.44638671875E+01  -4.22700195312E+01  C_2193_14   
  -1.54685058594E+01  -4.35200195312E+01  C_2193_15   
  -1.61804199219E+01  -4.45300292969E+01  C_2193_16   
  -1.66584472656E+01  -4.53200683594E+01  C_2193_17   
   2.22833862305E+03   2.24295996094E+03  C_2239_1    
   6.24511718750E-01  -2.10986328125E+00  C_2239_2    
   1.64062500000E-01  -3.91992187500E+00  C_2239_3    
   1.14013671875E-01  -5.34985351562E+00  C_2239_4    
  -3.67187500000E-01  -7.40991210938E+00  C_2239_5    
  -9.59960937500E-01  -8.56005859375E+00  C_2239_6    
  -9.31884765625E-01  -9.59985351562E+00  C_2239_7    
  -1.33007812500E+00  -1.03999023438E+01  C_2239_8    
  -1.68432617188E+00  -1.09399414062E+01  C_2239_9    
  -2.13647460938E+00  -1.17399902344E+01  C_2239_10   
  -3.80639648438E+00  -1.24399414062E+01  C_2239_11   
  -5.45947265625E+00  -1.29499511719E+01  C_2239_12   
  -6.65991210938E+00  -1.33798828125E+01  C_2239_13   
  -7.85424804688E+00  -3.91992187500E+00  C_2239_14   
  -9.47192382812E+00  -1.40500488281E+01  C_2239_15   
  -1.25458984375E+01  -1.32199707031E+01  C_2239_16   
  -1.33718261719E+01  -1.42700195312E+01  C_2239_17   
  -1.47805175781E+01  -1.44899902344E+01  C_2239_18   
  -1.53596191406E+01  -1.33200683594E+01  C_2239_19   
  -1.60517578125E+01  -1.49799804688E+01  C_2239_20   
  -1.68200683594E+01  -1.58100585938E+01  C_2239_21   
  -1.73076171875E+01  -1.59499511719E+01  C_2239_22   
  -1.76484375000E+01  -1.68300781250E+01  C_2239_23   
  -1.82885742188E+01  -1.71899414062E+01  C_2239_24   
  -1.88698730469E+01  -1.72199707031E+01  C_2239_25   
  -1.94758300781E+01  -1.85898437500E+01  C_2239_26   
   2.25959448242E+03   2.20389990234E+03  C_245V2_1   
  -4.88769531250E-01  -1.36987304688E+00  C_245V2_2   
   3.38696289062E+00  -2.65991210938E+00  C_245V2_3   
   4.46655273438E+00  -3.34985351562E+00  C_245V2_4   
  -3.68188476562E+00   5.97021484375E+00  C_245V2_5   
  -1.68774414062E+00  -4.00000000000E+00  C_245V2_6   
  -4.44995117188E+00   7.27001953125E+00  C_245V2_7   
  -5.49804687500E+00  -4.10986328125E+00  C_245V2_8   
  -3.43823242188E+00   4.71020507812E+00  C_245V2_9   
  -9.12792968750E+00   2.95019531250E+00  C_245V2_10  
   2.21509985352E+03   2.20075000000E+03  C_2599_1    
  -4.48974609375E-01  -2.56005859375E+00  C_2599_2    
  -9.16503906250E-01  -4.31005859375E+00  C_2599_3    
  -1.41088867188E+00  -6.63989257812E+00  C_2599_4    
  -2.16479492188E+00  -8.82006835938E+00  C_2599_5    
  -2.77954101562E+00  -1.01899414062E+01  C_2599_6    
  -3.43798828125E+00  -1.13798828125E+01  C_2599_7    
  -4.44580078125E+00  -1.28300781250E+01  C_2599_8    
  -4.95898437500E+00  -1.45000000000E+01  C_2599_9    
  -4.96630859375E+00  -1.55600585938E+01  C_2599_10   
  -5.23608398438E+00  -1.61799316406E+01  C_2599_11   
  -6.32470703125E+00  -1.69899902344E+01  C_2599_12   
  -6.59350585938E+00  -1.78300781250E+01  C_2599_13   
  -9.39770507812E+00  -1.91899414062E+01  C_2599_14   
  -1.23850097656E+01  -2.67399902344E+01  C_2599_15   
  -1.34240722656E+01  -2.49799804688E+01  C_2599_16   
  -1.39714355469E+01  -2.51201171875E+01  C_2599_17   
  -1.39089355469E+01  -2.34899902344E+01  C_2599_18   
  -1.41816406250E+01  -2.60100097656E+01  C_2599_19   
  -1.46445312500E+01  -2.65000000000E+01  C_2599_20   
  -1.48916015625E+01  -2.61899414062E+01  C_2599_21   
  -1.43330078125E+01  -2.81298828125E+01  C_2599_22   
  -1.55256347656E+01  -2.92700195312E+01  C_2599_23   
  -1.61604003906E+01  -3.05800781250E+01  C_2599_24   
  -1.66430664062E+01  -3.12299804688E+01  C_2599_25   
   2.21641259766E+03   2.22822998047E+03  C_2616_1    
  -3.17871093750E-01  -1.13989257812E+00  C_2616_2    
  -7.30224609375E-01  -3.35986328125E+00  C_2616_3    
  -1.33691406250E+00  -4.31005859375E+00  C_2616_4    
  -2.04003906250E+00  -6.35986328125E+00  C_2616_5    
  -2.77441406250E+00  -7.37988281250E+00  C_2616_6    
  -3.23583984375E+00  -9.31005859375E+00  C_2616_7    
  -4.85449218750E+00  -8.71997070312E+00  C_2616_8    
  -4.89624023438E+00  -7.35986328125E+00  C_2616_9    
  -5.13598632812E+00  -9.54003906250E+00  C_2616_10   
  -6.27661132812E+00   3.42993164062E+00  C_2616_11   
  -9.06347656250E+00   4.94995117188E+00  C_2616_12   
  -1.21638183594E+01  -1.36999511719E+01  C_2616_13   
  -1.38151855469E+01   5.01000976562E+00  C_2616_14   
  -1.36506347656E+01   4.04003906250E+00  C_2616_15   
  -1.38002929688E+01   2.38012695312E+00  C_2616_16   
   2.21500219727E+03   2.20533007812E+03  C_2755_1    
  -4.85351562500E-01  -3.16015625000E+00  C_2755_2    
  -9.54589843750E-01  -4.83007812500E+00  C_2755_3    
  -1.55273437500E+00  -7.03002929688E+00  C_2755_4    
  -2.36962890625E+00  -1.21301269531E+01  C_2755_5    
  -3.06225585938E+00  -1.41000976562E+01  C_2755_6    
  -3.58496093750E+00  -1.46601562500E+01  C_2755_7    
  -4.60571289062E+00  -1.63100585938E+01  C_2755_8    
  -5.14819335938E+00  -1.78000488281E+01  C_2755_9    
  -5.16943359375E+00  -1.77900390625E+01  C_2755_10   
  -5.75976562500E+00  -1.91601562500E+01  C_2755_11   
  -7.36718750000E+00  -2.12500000000E+01  C_2755_12   
  -9.27734375000E+00  -1.66201171875E+01  C_2755_13   
  -1.07558593750E+01  -1.63400878906E+01  C_2755_14   
  -1.22961425781E+01  -2.45900878906E+01  C_2755_15   
  -1.33735351562E+01  -1.89401855469E+01  C_2755_16   
  -1.38525390625E+01  -1.90600585938E+01  C_2755_17   
  -1.36855468750E+01  -1.83400878906E+01  C_2755_18   
  -1.38481445312E+01  -4.48999023438E+00  C_2755_19   
  -1.43720703125E+01  -2.14799804688E+01  C_2755_20   
  -1.46164550781E+01  -2.35600585938E+01  C_2755_21   
  -1.59619140625E+01  -9.72998046875E+00  C_2755_22   
  -1.64677734375E+01  -1.07600097656E+01  C_2755_23   
   2.21511743164E+03   2.22562988281E+03  C_2765_1    
  -6.40869140625E-01   1.18017578125E+00  C_2765_2    
  -1.14135742188E+00  -3.42993164062E+00  C_2765_3    
  -1.26196289062E+00  -1.70996093750E+00  C_2765_4    
  -2.30712890625E+00   3.57006835938E+00  C_2765_5    
  -3.57543945312E+00  -1.08498535156E+01  C_2765_6    
  -4.24511718750E+00  -6.81982421875E+00  C_2765_7    
  -5.14501953125E+00  -7.72998046875E+00  C_2765_8    
  -4.65917968750E+00  -8.50000000000E+00  C_2765_9    
  -5.23510742188E+00  -1.78198242188E+01  C_2765_10   
  -5.73046875000E+00  -1.78198242188E+01  C_2765_11   
  -1.12951660156E+01  -1.98898925781E+01  C_2765_12   
  -1.26159667969E+01  -2.06398925781E+01  C_2765_13   
  -1.26835937500E+01  -2.38298339844E+01  C_2765_14   
  -1.31037597656E+01  -2.39299316406E+01  C_2765_15   
