"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -1.76904296875E+00  -1.34799804688E+01  C_2157_V_11 
  -2.41772460938E+00  -1.33400878906E+01  C_2157_V_12 
  -2.89721679688E+00  -1.47399902344E+01  C_2157_V_13 
  -4.12841796875E+00  -2.24401855469E+01  C_2157_V_14 
  -5.03881835938E+00  -1.10700683594E+01  C_2157_V_15 
  -5.73535156250E+00  -1.74799804688E+01  C_2157_V_16 
  -6.22265625000E+00  -1.77001953125E+01  C_2157_V_17 
  -6.75512695312E+00  -2.04799804688E+01  C_2157_V_18 
  -7.63281250000E+00  -1.41701660156E+01  C_2157_V_19 
  -7.57958984375E+00  -2.03000488281E+01  C_2157_V_20 
  -7.87524414062E+00  -1.91701660156E+01  C_2157_V_21 
  -8.29541015625E+00  -2.34401855469E+01  C_2157_V_22 
  -8.27758789062E+00  -2.36301269531E+01  C_2157_V_23 
  -8.15625000000E+00  -2.39699707031E+01  C_2157_V_24 
  -8.56420898438E+00  -1.66701660156E+01  C_2157_V_25 
  -8.92578125000E+00  -2.50400390625E+01  C_2157_V_26 
  -9.04248046875E+00  -1.70000000000E+01  C_2157_V_27 
   2.21643310547E+03   2.19961010742E+03  C_2193_1    
  -4.56298828125E-01  -1.09602050781E+01  C_2193_2    
  -9.42138671875E-01  -1.19802246094E+01  C_2193_3    
  -1.49462890625E+00  -1.16301269531E+01  C_2193_4    
  -2.33496093750E+00  -1.44001464844E+01  C_2193_5    
  -2.51831054688E+00  -1.54602050781E+01  C_2193_6    
  -2.11596679688E+00  -1.88901367188E+01  C_2193_7    
  -2.86791992188E+00  -1.56201171875E+01  C_2193_8    
  -2.47656250000E+00  -1.50100097656E+01  C_2193_9    
  -4.75708007812E+00  -2.03701171875E+01  C_2193_10   
  -6.69360351562E+00  -3.57302246094E+01  C_2193_11   
  -7.73266601562E+00  -3.73500976562E+01  C_2193_12   
  -7.50878906250E+00  -3.85400390625E+01  C_2193_13   
  -6.80371093750E+00  -4.22700195312E+01  C_2193_14   
  -7.52001953125E+00  -4.35200195312E+01  C_2193_15   
  -7.90673828125E+00  -4.45300292969E+01  C_2193_16   
  -8.06298828125E+00  -4.53200683594E+01  C_2193_17   
   2.22855224609E+03   2.24295996094E+03  C_2239_1    
   8.60595703125E-01  -2.10986328125E+00  C_2239_2    
   6.00830078125E-01  -3.91992187500E+00  C_2239_3    
   8.74511718750E-01  -5.34985351562E+00  C_2239_4    
   7.01171875000E-01  -7.40991210938E+00  C_2239_5    
   4.25048828125E-01  -8.56005859375E+00  C_2239_6    
   7.79541015625E-01  -9.59985351562E+00  C_2239_7    
   7.04101562500E-01  -1.03999023438E+01  C_2239_8    
   6.72363281250E-01  -1.09399414062E+01  C_2239_9    
   6.15966796875E-01  -1.17399902344E+01  C_2239_10   
  -7.96386718750E-01  -1.24399414062E+01  C_2239_11   
  -2.10009765625E+00  -1.29499511719E+01  C_2239_12   
  -2.94311523438E+00  -1.33798828125E+01  C_2239_13   
  -3.76489257812E+00  -3.91992187500E+00  C_2239_14   
  -4.71899414062E+00  -1.40500488281E+01  C_2239_15   
  -6.80493164062E+00  -1.32199707031E+01  C_2239_16   
  -7.30908203125E+00  -1.42700195312E+01  C_2239_17   
  -8.42456054688E+00  -1.44899902344E+01  C_2239_18   
  -8.65600585938E+00  -1.33200683594E+01  C_2239_19   
  -9.03515625000E+00  -1.49799804688E+01  C_2239_20   
  -9.48803710938E+00  -1.58100585938E+01  C_2239_21   
  -9.65209960938E+00  -1.59499511719E+01  C_2239_22   
  -9.65600585938E+00  -1.68300781250E+01  C_2239_23   
  -9.99243164062E+00  -1.71899414062E+01  C_2239_24   
  -1.02500000000E+01  -1.72199707031E+01  C_2239_25   
  -1.05415039062E+01  -1.85898437500E+01  C_2239_26   
   2.26405297852E+03   2.20389990234E+03  C_245V2_1   
  -1.32568359375E-01  -1.36987304688E+00  C_245V2_2   
   4.12182617188E+00  -2.65991210938E+00  C_245V2_3   
   5.56738281250E+00  -3.34985351562E+00  C_245V2_4   
  -2.61230468750E+00   5.97021484375E+00  C_245V2_5   
  -3.51562500000E-02  -4.00000000000E+00  C_245V2_6   
  -2.52758789062E+00   7.27001953125E+00  C_245V2_7   
  -3.23120117188E+00  -4.10986328125E+00  C_245V2_8   
