GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,17977421
1988,,,,,,,,,,,,,,,,,,,,,380566694
,,405,,,,,,,,,,,,,,,,,,,400984051
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
SAN MIGUEL AMANTLA, 31,478540,2153210,417,09,002,Azcapotzalco,09002,99101,96768,88387,93312,104458,101088,85709,88387,95904,99101,98496,101779,1152490
SAN PEDRO XALPA #1, 32,478126,2154207,421,09,002,Azcapotzalco,09002,32141,67738,74995,72576,74995,69984,69638,69638,67392,34819,33696,34819,702432
SAN PEDRO XALPA #2, 33,477447,2154531,422,09,002,Azcapotzalco,09002,66960,171763,195523,194400,195523,186624,34819,32141,31104,77674,77760,74995,1339286
TRABAJADORES DEL HIERRO, 34,484108,2153620,503,09,002,Azcapotzalco,09002,115171,101606,115171,111456,117850,114048,117850,117850,114048,112493,106272,109814,1353629
VILLAS AZCAPOTZALCO, 35,479576,2155276,566,09,002,Azcapotzalco,09002,117850,101606,112493,114048,117850,88128,104458,104458,111456,91066,108864,115171,1287446
ABASOLO JARDIN , 36,484606,2150489,2,09,015,Cuauht??moc,09015,155347,142733,158026,155520,158026,142560,144634,141955,93312,REP.,12960,77674,1382746
ABRIL #24, 37,487773,2146810,3,09,017,Venustiano Carranza,09017,64282,58061,69638,41472,72317,69984,74995,72317,67392,74995,67392,53568,786413
ACACIAS, 38,481862,2140960,4,09,014,Benito Ju?írez,09014,91066,87091,96422,51840,85709,72576,66960,91066,85536,69638,77760,77674,953338
AJUSCO, 39,483445,2136071,14,09,003,Coyoac?ín,09003,66960,60480,61603,62208,64282,64800,66960,66960,64800,66960,64800,66960,777773
ALAMEDA DE SANTA MARIA, 40,483553,2150442,15,09,015,Cuauht??moc,09015,32141,31450,29462,36288,34819,31104,32141,34819,36288,34819,33696,37498,404525
ALAMEDA DE TACUBAYA, 41,480571,2145040,16,09,016,Miguel Hidalgo,09016,85709,84672,96422,88128,99101,88128,85709,91066,85536,109814,108864,99101,1122250
ALAMOS JARDIN #1, 42,485190,2144841,17,09,014,Benito Ju?írez,09014,56246,60480,66960,64800,66960,64800,66960,69638,59616,66960,64800,66960,775181
ALAMOS JARDIN #2, 43,485124,2145120,18,09,014,Benito Ju?írez,09014,96422,108864,120528,111456,128563,127008,136598,112493,124416,128563,121824,128563,1445299
ALBERT Y BERLIN, 44,485377,2141715,19,09,014,Benito Ju?írez,09014,REHABI..,REHABI.,REHABI.,5184,16070,25920,29462,26784,25920,24106,25920,24106,203472
ALGARIN, 45,485104,2145574,21,09,015,Cuauht??moc,09015,REHABI.,REHABI.,REHABI.,REHAB.,8035,0,REHAB.,18749,18144,8035,REHABI.,REHABI.,52963
ALTAVISTA, 46,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,REPOS.,REPOS.,REPOS.,REPOS.,88387,155520,160704,163382,82944,77674,103680,66960,899251
ALTILLO UNIVERSIDAD #1, 47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,0
ALTILLO UNIVERSIDAD #2, 48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99101,91930,99101,98496,112493,111456,115171,112493,98496,107136,111456,112493,1269821
ANTONIO M. ANZA, 49,483287,2146238,36,09,015,Cuauht??moc,09015,61603,77414,77674,85536,93744,88128,91066,83030,85536,91066,85536,85709,1006042
ARENAL SAN ANGEL, 50,480917,2139244,38,09,003,Coyoac?ín,09003,56246,53222,58925,51840,96422,88128,91066,91066,90720,91066,88128,88387,945216
ARNAIZ ROSENDO, 51,480411,2143138,39,09,014,Benito Ju?írez,09014,168739,91930,101779,95904,88387,101088,104458,104458,101088,99101,98496,101779,1257206
AXOTLA, 52,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,56246,48384,53568,46656,50890,54432,56246,56246,54432,50890,44064,40176,612230
BALBUENA #1, 53,488461,2146452,82,09,017,Venustiano Carranza,09017,50890,45965,48211,46656,50890,49248,50890,50890,49248,48211,49248,50890,591235
BALBUENA #2, 54,489467,2146172,83,09,017,Venustiano Carranza,09017,REPOS.,REPOS.,REHAB.,REPOS.,REPOS.,P/N,109814,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,109814
BENJAMIN FRANKLIN, 55,480957,2145692,87,09,016,Miguel Hidalgo,09016,50890,48384,53568,49248,50890,49248,58925,58925,57024,42854,57024,58925,635904
CAMPESTRE, 56,483850,2140451,92,09,014,Benito Ju?írez,09014,21427,21773,21427,20736,16070,31104,32141,16070,33696,34819,12960,2678,264902
CAMPOS ELISEOS, 57,478852,2148058,94,09,016,Miguel Hidalgo,09016,104458,79834,66960,88128,REP.,88128,91066,93744,93312,88387,85536,85709,965261
CARACOL, 58,482972,2134511,96,09,003,Coyoac?ín,09003,0,0,0,0,0,P/N,P/N,P/N,P/N,91066,85536,53568,230170
CASA AMARILLA, 59,480065,2145785,98,09,016,Miguel Hidalgo,09016,42854,58061,61603,57024,58925,64800,74995,66960,72576,85709,82944,83030,809482
CEDROS Y MOLIERE, 60,478706,2148642,104,09,016,Miguel Hidalgo,09016,37498,33869,58925,57024,58925,49248,50890,50890,49248,64282,62208,64282,637286
CD. DEPORTIVA, 61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64282,89510,85709,85536,107136,80352,53568,61603,59616,61603,57024,58925,864864
CICERON, 62,478413,2148337,119,09,016,Miguel Hidalgo,09016,0,108864,123206,124416,42854,114048,133920,133920,129600,107136,108864,112493,1239322
COUNTRY CLUB, 63,485226,2139758,129,09,003,Coyoac?ín,09003,42854,62899,83030,82944,83030,82944,109814,77674,25920,56246,88128,88387,883872
COLONIA DEL CARMEN FRAGATA, 64,483260,2139989,127,09,003,Coyoac?ín,09003,99101,77414,85709,80352,88387,85536,88387,85709,101088,85709,80352,112493,1070237
COPILCO UNIVERSIDAD, 65,480690,2137954,128,09,003,Coyoac?ín,09003,42854,14515,26784,31104,24106,31104,32141,32141,31104,34819,33696,32141,366509
COYUYA, 66,487986,2144947,130,09,006,Iztacalco,09006,74995,55642,61603,57024,58925,51840,53568,53568,57024,58925,31104,37498,651715
CUARTEL, 67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,P/N,P/N,P/N,P/N,P/N,P/N,P/N,0
CHAPULTEPEC MORALES, 68,480327,2148642,113,09,016,Miguel Hidalgo,09016,107136,104026,115171,7776,115171,114048,117850,117850,114048,123206,85536,123206,1245024
DEPORTIVO DURANGO, 69,483374,2135359,134,09,003,Coyoac?ín,09003,125885,118541,131242,119232,123206,127008,139277,128563,121824,117850,137376,144634,1534637
DIAGONAL SAN ANTONIO, 70,484551,2144735,139,09,014,Benito Ju?írez,09014,104458,94349,104458,101088,104458,101088,91066,104458,98496,99101,98496,101779,1203293
FRACCIONAMIENTO BANJIDAL, 71,485761,2140779,158,09,007,Iztapalapa,09007,101779,82253,91066,93312,83030,85536,96422,88387,88128,91066,90720,96422,1088122
HORMIGA, 72,479959,2146530,174,09,016,Miguel Hidalgo,09016,42854,38707,42854,38880,40176,41472,42854,42854,41472,42854,41472,40176,496627
HUERTAS DEL CARMEN, 73,480757,2138752,175,09,003,Coyoac?ín,09003,131242,154829,171418,114048,117850,127008,136598,133920,129600,123206,124416,125885,1590019
IRRIGACION, 74,478175,2149700,177,09,016,Miguel Hidalgo,09016,24106,16934,34819,25920,24106,10368,29462,29462,31104,32141,36288,32141,326851
IZTACALCO, 75,487547,2143777,183,09,006,Iztacalco,09006,24106,89510,99101,90720,93744,101088,107136,107136,98496,99101,93312,93744,1097194
JARDIN DE SAN JACINTO, 76,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,93744,99187,101779,82944,93744,67392,96422,109814,103680,115171,108864,107136,1179878
JARDINES DEL PEDREGAL #1, 77,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,45533,58061,61603,28512,29462,51840,13392,10714,23328,21427,31104,24106,399082
JARDINES DEL PEDREGAL #2, 78,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,42854,43546,32141,49248,48211,57024,61603,64282,72576,37498,38880,26784,574646
JARDINES DEL PEDREGAL #3, 79,479590,2136089,199,09,003,Coyoac?ín,09003,69638,87091,96422,88128,91066,88128,91066,93744,93312,93744,90720,5357,988416
JARDINES DEL PEDREGAL #4, 80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13392,12096,16070,15552,16070,20736,24106,21427,23328,16070,12960,16070,207878
JARDINES DEL PEDREGAL #4-B, 81,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,50890,43546,48211,49248,50890,5184,0,REP,64800,80352,77760,88387,559267
JARDINES DEL PEDREGAL #5, 82,476896,2135388,201,09,012,Tlalpan,09012,37498,33869,34819,41472,45533,36288,37498,37498,38880,42854,41472,42854,470534
JARDINES DEL PEDREGAL #5-B, 83,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,45533,43546,45533,44064,45533,62208,72317,74995,69984,69638,64800,64282,702432
JARDIN MORELOS, 84,481303,2145227,194,09,016,Miguel Hidalgo,09016,163382,145152,160704,158112,158026,145152,155347,155347,147744,149990,142560,139277,1820794
JARDIN POMBO, 85,480823,2144109,195,09,014,Benito Ju?írez,09014,104458,104026,112493,108864,107136,103680,85709,99101,101088,107136,106272,93744,1233706
LA CAMPANA, 86,480797,2141915,204,09,014,Benito Ju?írez,09014,128563,116122,128563,217728,222307,127008,133920,133920,129600,128563,124416,128563,1719274
LA CIENEGA, 87,483898,2137741,205,09,003,Coyoac?ín,09003,85709,74995,69638,77760,80352,82944,88387,88387,85536,91066,85536,88387,998698
LA HUERTA, 88,483034,2142593,206,09,014,Benito Ju?írez,09014,69638,84672,93744,85536,88387,69984,83030,83030,64800,88387,85536,74995,971741
LAGO GINEBRA, 89,479224,2150276,209,09,016,Miguel Hidalgo,09016,109814,79834,104458,95904,99101,98496,101779,101779,101088,99101,101088,123206,1215648
LEGARIA, 90,478689,2150496,210,09,016,Miguel Hidalgo,09016,179453,135475,80352,23328,53568,116640,128563,117850,116640,131242,129600,131242,1343952
LOS REYES COYOACAN, 91,483778,2138641,215,09,003,Coyoac?ín,09003,141955,130637,144634,132192,136598,116640,120528,120528,119232,128563,121824,139277,1552608
MARINA NACIONAL #1, 92,481481,2149520,217,09,016,Miguel Hidalgo,09016,85709,65318,66960,67392,42854,82944,91066,104458,108864,99101,108864,96422,1019952
MARINA NACIONAL #3, 93,480760,2150404,218,09,016,Miguel Hidalgo,09016,93744,65318,74995,67392,77674,57024,58925,61603,49248,50890,57024,58925,772762
MARINA NACIONAL #4, 94,480221,2151033,219,09,016,Miguel Hidalgo,09016,66960,53222,58925,51840,56246,54432,56246,56246,57024,58925,57024,56246,683338
MAR MEDITERRANEO, 95,481776,2150834,216,09,016,Miguel Hidalgo,09016,101779,96768,96422,103680,104458,101088,96422,107136,101088,109814,108864,96422,1223942
MARTIRES DE TACUBAYA, 96,480664,2144482,220,09,014,Benito Ju?írez,09014,74995,84672,93744,88128,91066,85536,85709,88387,88128,91066,90720,88387,1050538
MAYORASGO, 97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48211,43546,48211,44064,45533,46656,53568,50890,49248,21427,51840,53568,556762
METRO C.U., 98,481622,2136504,223,09,003,Coyoac?ín,09003,131242,123379,133920,137376,141955,129600,107136,117850,111456,133920,116640,141955,1526429
MIGUEL ALEMAN, 99,485070,2143994,224,09,014,Benito Ju?írez,09014,56246,33869,37498,31104,50890,54432,61603,61603,54432,58925,33696,34819,569117
MIRAFLORES, 100,480622,2143758,228,09,014,Benito Ju?írez,09014,RP,RP,PN,38880,109814,116640,85709,112493,129600,131242,124416,139277,988070
MIRAVALLE, 101,485274,2140695,229,09,014,Benito Ju?írez,09014,139277,74995,88387,137376,139277,134784,139277,141955,132192,158026,108864,131242,1525651
MODERNA, 102,485903,2144382,230,09,014,Benito Ju?írez,09014,141955,120960,85709,129600,125885,129600,144634,139277,127008,131242,57024,128563,1461456
MOLINO DEL REY, 103,479642,2147289,231,09,016,Miguel Hidalgo,09016,125885,135475,123206,127008,128563,124416,131242,128563,119232,125885,127008,128563,1525046
NAPOLES, 104,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64282,74995,83030,82944,85709,82944,85709,85709,93312,96422,98496,101779,1035331
NATIVITAS, 105,485550,2142726,236,09,014,Benito Ju?írez,09014,56246,48384,45533,51840,53568,46656,48211,45533,51840,56246,49248,53568,606874
ORTIZ RUBIO, 106,485111,2142220,253,09,014,Benito Ju?írez,09014,133920,123379,144634,98496,141955,127008,37498,147312,119232,147312,137376,139277,1497398
PARQUE DE LOS VENADOS, 107,483779,2141901,270,09,014,Benito Ju?írez,09014,72317,74995,93744,98496,93744,90720,93744,101779,95904,104458,108864,104458,1133222
P. MARISCAL SUCRE, 108,483060,2143897,254,09,014,Benito Ju?írez,09014,53568,48384,53568,77760,80352,18144,18749,18749,18144,18749,18144,10714,435024
PEDREGAL DE SAN FRANCISCO, 109,482687,2138340,277,09,003,Coyoac?ín,09003,123206,99187,112493,114048,112493,108864,61603,123206,121824,115171,116640,117850,1326586
PEDREGAL IMAN, 110,481901,2135103,279,09,003,Coyoac?ín,09003,160704,140314,144634,150336,155347,155520,155347,139277,134784,133920,134784,139277,1744243
PERIODISTA, 111,477073,2150067,312,09,016,Miguel Hidalgo,09016,56246,45965,56246,51840,56246,51840,50890,50890,49248,53568,51840,50890,625709
PIRULERA, 112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174096,145152,152669,137376,139277,142560,149990,141955,134784,125885,127008,120528,1691280
PORTALES, 113,484686,2140946,317,09,014,Benito Ju?írez,09014,2678,31450,32141,33696,34819,33696,34819,13392,28512,42854,44064,45533,377654
POPOTLA, 114,481168,2151220,316,09,016,Miguel Hidalgo,09016,21427,16934,21427,20736,18749,15552,13392,16070,15552,16070,12960,13392,202262
RADIO MIL, 115,484258,2143551,353,09,014,Benito Ju?írez,09014,21427,RP,RH,RH,RH,57024,58925,58925,64800,66960,62208,66960,457229
REFORMA IZTACCIHUATL, 116,486349,2143484,357,09,006,Iztacalco,09006,26784,24192,26784,23328,24106,25920,32141,26784,25920,29462,28512,29462,323395
REY MOCTEZUMA, 117,483541,2137081,360,09,003,Coyoac?ín,09003,0,0,0,0,0,PN,PN,PN,PN,PN,PN,PN,0
ROMERO DE TERREROS, 118,482187,2138640,364,09,003,Coyoac?ín,09003,56246,41126,40176,41472,50890,38880,40176,42854,41472,34819,36288,37498,501898
RUIZ CORTINEZ, 119,484853,2136072,365,09,003,Coyoac?ín,09003,66960,118541,128563,124416,88387,124416,131242,131242,129600,128563,129600,133920,1435450
SALESIANO, 120,481404,2150143,379,09,016,Miguel Hidalgo,09016,66960,50803,56246,62208,18749,54432,56246,56246,64800,64282,62208,61603,674784
SAN FELIPE POPOTLA, 121,481648,2151031,380,09,016,Miguel Hidalgo,09016,211594,159667,184810,184032,182131,116640,120528,120528,95904,99101,95904,91066,1661904
SAN JOAQUIN TACUBA, 122,478238,2150738,386,09,016,Miguel Hidalgo,09016,83030,31450,93744,49248,24106,121824,128563,131242,114048,107136,129600,48211,1062202
RIO SAN JOAQUIN, 123,477902,2150276,363,09,016,Miguel Hidalgo,09016,91066,82253,77674,90720,93744,80352,91066,91066,90720,69638,69984,61603,989885
SAN JUANICO IZTAPALAPA, 124,487813,2142061,389,09,007,Iztapalapa,09007,56246,53222,56246,59616,61603,57024,29462,53568,33696,32141,33696,32141,558662
SANTA ANITA, 125,487121,2145200,424,09,006,Iztacalco,09006,48211,43546,48211,46656,48211,62208,66960,56246,67392,66960,67392,69638,691632
SANTA CATARINA COYOACAN, 126,480791,2133270,439,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,RH,RH,38880,37498,7776,24106,108259
SANTA URSULA COAPA, 127,483956,2134956,449,09,003,Coyoac?ín,09003,0,0,0,0,0,PN,PN,PN,PN,PN,72576,72317,144893
SANTIAGO TLATELOLCO, 128,485843,2150447,452,09,015,Cuauht??moc,09015,112493,96768,93744,23328,88387,77760,74995,83030,75168,74995,57024,0,857693
SIFON, 129,498446,2140032,457,09,007,Iztapalapa,09007,74995,58061,61603,67392,56246,38880,37498,40176,44064,45533,44064,RP,568512
TACUBA, 130,480210,2151387,459,09,016,Miguel Hidalgo,09016,88387,89510,99101,90720,93744,59616,53568,61603,57024,85709,93312,69638,941933
TIZAPAN, 131,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,133920,113702,125885,114048,120528,RP,RP,24106,132192,141955,46656,16070,969062
UNIVERSIDAD, 132,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,93744,106445,112493,116640,120528,106272,117850,109814,111456,125885,129600,123206,1373933
VERONICA, 133,481682,2148727,555,09,016,Miguel Hidalgo,09016,RH,RH,RH,RH,RH,RH,RH,RH,54432,45533,44064,42854,186883
VIADUCTO, 134,481343,2144628,556,09,014,Benito Ju?írez,09014,123206,106445,115171,108864,88387,137376,133920,141955,129600,152669,116640,104458,1458691
VIGA #3, 135,487162,2141990,561,09,007,Iztapalapa,09007,211594,200794,174096,199584,166061,209952,216950,219629,199584,219629,158112,195523,2371507
VIGA #4, 136,487094,2143085,562,09,006,Iztacalco,09006,171418,142733,155347,152928,149990,147744,158026,158026,93312,99101,95904,85709,1610237
VILLA OLIMPICA #1, 137,480489,2134541,563,09,003,Coyoac?ín,09003,123206,116122,128563,124416,131242,121824,125885,123206,121824,112493,93312,107136,1429229
VIVEROS DEL RELOJ #1, 138,485383,2135593,568,09,003,Coyoac?ín,09003,48211,2419,45533,44064,48211,54432,56246,18749,18144,16070,RP,16070,368150
VIVEROS DEL RELOJ #2, 139,485353,2136042,569,09,003,Coyoac?ín,09003,107136,108864,107136,77760,96422,173664,190166,83030,82944,171418,189216,176774,1564531
DIRECTO #18, 140,489804,2135343,140,09,013,Xochimilco,09013,80352,48384,64282,57024,80352,5184,66960,80352,147744,74995,85536,88387,879552
