GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,17977421
1988,,,,,,,,,,,,,,,,,,,,,380566694
,,405,,,,,,,,,,,,,,,,,,,400984051
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
PRADOS CHURUBUSCO, 159,486699,2140007,320,09,003,Coyoac?ín,09003,50890,116122,96422,129600,149990,119232,83030,125885,88128,289267,298080,254448,1801094
GRANJAS AGRICOLA COAPA, 160,487793,2133865,167,09,012,Tlalpan,09012,208915,205632,120528,137376,136598,129600,139277,144634,129600,136598,127008,133920,1749686
HUIPULCO, 161,485681,2132491,176,09,012,Tlalpan,09012,109814,111283,109814,121824,120528,106272,115171,123206,119232,123206,121824,125885,1408061
LOS COYOTES, 162,487314,2135852,214,09,003,Coyoac?ín,09003,32141,31450,29462,33696,32141,38880,42854,37498,33696,34819,20736,32141,399514
LOMAS ESTRELLA #3, 163,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61603,62899,64282,57024,8035,20736,24106,21427,20736,21427,2592,RP,364867
MULTIF. COAPA #7, 164,486679,2133212,233,09,012,Tlalpan,09012,203558,169344,131242,111456,96422,80352,171418,182131,181440,192845,181440,187488,1889136
MULTIF. COAPA #8, 165,487734,2132727,234,09,013,Xochimilco,09013,91066,108864,123206,163296,200880,196992,208915,219629,191808,214272,217728,198202,2134858
PASEOS DE TAXQUENA, 166,486893,2138915,273,09,003,Coyoac?ín,09003,152669,149990,85709,155520,152669,147744,155347,163382,145152,149990,142560,149990,1750723
PERIFERICO #1, 167,485573,2136312,293,09,003,Coyoac?ín,09003,74995,67738,18749,62208,61603,59616,61603,66960,59616,REP.,57024,61603,651715
PERIFERICO #2, 168,486493,2134490,304,09,012,Tlalpan,09012,99101,118541,117850,116640,120528,108864,107136,96422,93312,53568,23328,53568,1108858
PERIFERICO #3, 169,484822,2133935,305,09,012,Tlalpan,09012,109814,101606,171418,194400,192845,186624,195523,206237,184032,192845,181440,190166,2106950
PERIFERICO #4, 170,484272,2133665,306,09,012,Tlalpan,09012,18749,50803,72317,72576,74995,72576,74995,74995,72576,58925,RP,RP,643507
PERIFERICO #5, 171,483200,2133848,307,09,012,Tlalpan,09012,24106,21773,56246,72576,74995,57024,64282,56246,54432,61603,67392,66960,677635
PERIFERICO #6, 172,484192,2132586,308,09,012,Tlalpan,09012,72317,60480,101779,116640,115171,108864,115171,123206,75168,24106,RP,RP,912902
PERIFERICO #7, 173,483602,2132446,309,09,012,Tlalpan,09012,64282,55642,48211,44064,50890,49248,45533,50890,46656,50890,41472,53568,601344
PERIFERICO #8, 174,483602,2132446,310,09,012,Tlalpan,09012,26784,26611,10714,28512,29462,28512,29462,29462,25920,29462,25920,26784,317606
PERIFERICO #9, 175,486233,2131345,311,09,013,Xochimilco,09013,123206,106445,101779,116640,115171,108864,115171,123206,108864,115171,106272,112493,1353283
PERIFERICO #10, 176,486333,2132216,294,09,013,Xochimilco,09013,56246,65318,53568,62208,61603,59616,61603,69638,69984,74995,72576,61603,768960
PERIFERICO #11, 177,488634,2132855,295,09,013,Xochimilco,09013,53568,50803,53568,72576,56246,69984,56246,69638,72576,74995,72576,56246,759024
PERIFERICO #12, 178,488153,2133115,296,09,012,Tlalpan,09012,107136,94349,99101,98496,69638,85536,85709,80352,75168,83030,85536,83030,1047082
PERIFERICO #13, 179,486343,2136134,297,09,003,Coyoac?ín,09003,176774,164506,91066,98496,104458,93312,96422,99101,95904,107136,103680,104458,1335312
PERIFERICO #14, 180,488083,2134134,298,09,003,Coyoac?ín,09003,144634,137894,147312,142560,101779,15552,117850,149990,139968,152669,147744,149990,1547942
PERIFERICO #15, 181,485969,2135229,299,09,003,Coyoac?ín,09003,RH,RH,RP,RP,RP,RP,RP,RP,RP,M/C/A,M/C/A,M/C/A,0
PERIFERICO #16, 182,489444,2134015,300,09,013,Xochimilco,09013,249091,220147,241056,222912,246413,230688,246413,238378,233280,233021,233280,246413,2841091
PERIFERICO #17, 183,489484,2134564,301,09,013,Xochimilco,09013,104458,84672,96422,88128,91066,88128,99101,123206,121824,128563,119232,125885,1270685
PERIFERICO #18, 184,489804,2135343,302,09,013,Xochimilco,09013,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
PERIFERICO #19, 185,488874,2136877,303,09,003,Coyoac?ín,09003,214272,188698,214272,220320,195523,178848,190166,200880,178848,184810,173664,182131,2322432
PREPARATORIA #5 (V), 186,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
PREPARATORIA #5 (N), 187,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,96422,91930,74995,82944,69638,101088,66960,91066,54432,104458,98496,99101,1031530
PISTA OLIMPICA #1, 188,489138,2132973,314,09,013,Xochimilco,09013,58925,147571,139277,184032,190166,184032,190166,190166,33696,37498,80352,133920,1569802
PISTA OLIMPICA #2, 189,487790,2131726,315,09,013,Xochimilco,09013,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
SANTA CATARINA #8, 190,493646,2134643,436,09,007,Iztapalapa,09007,158026,149990,141955,163296,160704,152928,163382,171418,152928,32141,31104,REP.,1477872
SANTA CATARINA #9, 191,493593,2134868,437,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,132192,139277,129600,136598,537667
SANTA CATARINA #10, 192,493108,2135089,426,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,,RP,RP,RP,RP,0
SANTA CATARINA #11, 193,492327,2134822,427,09,007,Iztapalapa,09007,133920,142733,133920,67392,190166,142560,152669,139277,132192,141955,158112,155347,1690243
SANTA CATARINA #12, 194,493246,2135738,428,09,007,Iztapalapa,09007,69638,60480,64282,67392,66960,64800,69638,66960,64800,58925,64800,69638,788314
SANTA CATARINA #13, 195,492660,2136245,429,09,007,Iztapalapa,09007,RH,RH,RH,RP,RP,RP,RP,RP,RP,RP,RP,RP,0
SAN LORENZO TEZONCO, 196,492660,2136245,392,09,007,Iztapalapa,09007,37498,21773,42854,31104,37498,36288,40176,37498,41472,34819,38880,40176,440035
BELISARIO DOMINGUEZ, 197,481265,2133300,86,09,012,Tlalpan,09012,REP.,24192,26784,25920,26784,25920,21427,21427,25920,24106,15552,10714,248746
EL CAMINERO, 198,481103,2138473,150,09,003,Coyoac?ín,09003,58925,33869,32141,33696,37498,36288,34819,34819,38880,40176,38880,37498,457488
EL TREBOL, 199,482401,2131586,151,09,012,Tlalpan,09012,115171,67738,96422,98496,101779,101088,104458,104458,85536,83030,93312,74995,1126483
GALEANA TLALPAN, 200,482632,2132332,162,09,012,Tlalpan,09012,37498,26611,26784,28512,29462,28512,29462,32141,23328,24106,15552,29462,331430
HIDALGO TLALPAN, 201,480912,2132969,172,09,012,Tlalpan,09012,125885,108864,133920,101088,136598,129600,133920,131242,111456,120528,114048,101779,1448928
R-1, 202,483430,2130663,333,09,012,Tlalpan,09012,112493,77414,91066,82944,80352,69984,74995,29462,23328,40176,36288,32141,750643
R-2, 203,483177,2130602,338,09,012,Tlalpan,09012,160704,108864,40176,38880,45533,41472,37498,40176,38880,40176,36288,29462,658109
R-3, 204,483552,2130452,346,09,012,Tlalpan,09012,58925,48384,61603,62208,64282,59616,53568,58925,57024,16070,REP.,34819,575424
R-4, 205,483815,2130811,347,09,012,Tlalpan,09012,133920,101606,96422,101088,93744,108864,112493,99101,95904,101779,98496,101779,1245197
R-5, 206,484339,2131154,348,09,012,Tlalpan,09012,61603,55642,107136,116640,120528,114048,120528,72317,72576,64282,54432,48211,1007942
NORMANDIA, 207,485856,2141928,247,09,007,Iztapalapa,09007,24106,21773,24106,23328,24106,23328,26784,24106,25920,26784,25920,26784,297043
R-7, 208,484935,2131404,350,09,012,Tlalpan,09012,37498,38707,37498,41472,42854,41472,42854,29462,28512,21427,12960,5357,380074
R-8, 209,484693,2131234,351,09,012,Tlalpan,09012,40176,33869,37498,33696,34819,33696,32141,37498,31104,34819,28512,29462,407290
R-9, 210,484129,2130853,352,09,012,Tlalpan,09012,112493,99187,56246,215136,200880,238464,254448,85709,82944,77674,69984,72317,1565482
R-10, 211,483792,2130536,334,09,012,Tlalpan,09012,117850,104026,104458,98496,99101,103680,107136,77674,82944,32141,18144,21427,967075
SAN FERNANDO TLALPAN, 212,481638,2133393,381,09,012,Tlalpan,09012,147312,222566,249091,259200,246413,256608,265162,203558,204768,208915,202176,211594,2677363
SAN PEDRO MARTIR #1, 213,483072,2129627,420,09,012,Tlalpan,09012,64282,55642,61603,59616,64282,62208,61603,136598,132192,125885,57024,66960,947894
SANTA URSULA XITLA, 214,480995,2131462,450,09,012,Tlalpan,09012,34819,36288,40176,41472,42854,41472,45533,18749,18144,8035,18144,18749,364435
TOPILEJO, 215,486705,2123955,500,09,013,Xochimilco,09013,37498,33869,34819,36288,37498,33696,32141,32141,31104,32141,33696,34819,409709
TORIELLO, 216,483222,2133095,501,09,012,Tlalpan,09012,RP,RP,RP,RP,77674,75168,72317,56246,54432,50890,46656,48211,481594
VILLA OLIMPICA #2, 217,480443,2134197,564,09,012,Tlalpan,09012,32141,45965,50890,49248,50890,49248,26784,13392,23328,21427,23328,26784,413424
VILLA OLIMPICA #3, 218,479950,2133465,565,09,012,Tlalpan,09012,93744,91930,93744,93312,99101,93312,40176,50890,54432,58925,54432,64282,888278
ARTESANIAS O VILLA OLIMPICA, 219,480679,2133319,40,09,012,Tlalpan,09012,0,0,139277,124416,128563,98496,96422,32141,90720,128563,121824,125885,1086307
BOSQUE TLALPAN #1, 220,479688,2133363,88,09,012,Tlalpan,09012,2678,4838,29462,33696,10714,25920,66960,69638,54432,18749,7776,29462,354326
BOSQUE TLALPAN #2, 221,479648,2133076,89,09,012,Tlalpan,09012,0,7258,13392,41472,45533,31104,8035,10714,12960,21427,20736,18749,231379
CANAL #13, 222,478437,2134424,95,09,012,Tlalpan,09012,18749,14515,10714,15552,16070,15552,107136,109814,98496,96422,93312,91066,687398
FUENTES BROTANTES #1, 223,481550,2132467,159,09,012,Tlalpan,09012,0,0,0,41472,40176,46656,29462,34819,28512,48211,44064,2678,316051
FUENTES BROTANTES #2, 224,481296,2132279,160,09,012,Tlalpan,09012,0,0,24106,10368,24106,12960,0,0,REP,RP,RH,RP,71539
FUENTES DEL PEDREGAL, 225,476178,2134095,161,09,012,Tlalpan,09012,96422,62899,50890,82944,91066,88128,96422,93744,85536,2678,57024,96422,904176
ISSFAM, 226,483120,2131330,178,09,012,Tlalpan,09012,69638,72576,72317,72576,53568,33696,34819,37498,38880,58925,46656,53568,644717
LIMANTITLA, 227,481534,2132038,211,09,012,Tlalpan,09012,0,0,37498,38880,32141,33696,64282,69638,62208,56246,57024,64282,515894
#37, 228,483038,2133008,1,09,012,Tlalpan,09012,0,0,40176,51840,56246,44064,56246,88387,77760,24106,67392,85709,591926
PADIERNA #1, 229,476778,2134389,255,09,012,Tlalpan,09012,42854,31450,34819,49248,48211,51840,120528,109814,114048,115171,80352,120528,918864
PADIERNA #2, 230,476720,2134847,256,09,012,Tlalpan,09012,112493,48384,80352,85536,34819,41472,37498,34819,36288,21427,62208,66960,662256
PADIERNA #5, 231,477814,2133790,259,09,012,Tlalpan,09012,58925,55642,45533,51840,56246,54432,45533,53568,51840,53568,51840,53568,632534
PEDREGAL AGUILAS, 232,482211,2130826,275,09,012,Tlalpan,09012,85709,70157,61603,85536,93744,80352,74995,77674,31104,32141,31104,32141,756259
PENA POBRE, 233,479896,2133084,280,09,012,Tlalpan,09012,117850,104026,66960,111456,123206,116640,117850,123206,93312,77674,67392,85709,1205280
REINO AVENTURA, 234,477889,2133563,358,09,012,Tlalpan,09012,0,0,48211,62208,83030,82944,66960,66960,64800,50890,46656,37498,610157
TLALCOLIGIA, 235,481921,2130816,499,09,012,Tlalpan,09012,0,0,2678,2592,2678,41472,45533,37498,44064,45533,46656,50890,319594
VIADUCTO TLALPAN #1, 236,483438,2132139,557,09,012,Tlalpan,09012,0,0,P/N,P/N,P/N,93312,96422,101779,93312,72317,111456,104458,673056
VIADUCTO TLALPAN #2, 237,483032,2131706,558,09,012,Tlalpan,09012,0,0,P/N,P/N,P/N,72576,93744,69638,82944,107136,114048,96422,636509
NATIVITAS, 238,485550,2142726,236,09,014,Benito Ju?írez,09014,48211,36288,61603,69984,72317,72576,69638,61603,59616,50890,49248,50890,702864
NORIA #1, 239,486562,2130782,240,09,013,Xochimilco,09013,77674,70157,83030,75168,74995,15552,R/N,R/N,R/N,58925,57024,61603,574128
NORIA #2, 240,487133,2129237,241,09,013,Xochimilco,09013,152669,137894,144634,137376,149990,36288,R/N,R/N,R/N,166061,158112,176774,1259798
NORIA #3, 241,487635,2129008,242,09,013,Xochimilco,09013,64282,58061,61603,59616,64282,15552,R/N,R/N,R/N,48211,51840,45533,468979
NORIA #4, 242,487975,2128974,243,09,013,Xochimilco,09013,99101,285466,302659,298080,318730,88128,R/N,R/N,R/N,332122,355104,372298,2451686
NORIA #5, 243,487231,2128266,244,09,013,Xochimilco,09013,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,0
NORIA #6, 244,488178,2127972,245,09,013,Xochimilco,09013,385690,304819,324086,324000,340157,33696,267840,REP,2592,83030,215136,219629,2500675
NORIA #7, 245,489421,2127836,246,09,013,Xochimilco,09013,184810,224986,267840,277344,275875,215136,249091,227664,189216,74995,142560,144634,2474150
RECLUSORIO SUR #1, 246,487085,2126212,354,09,013,Xochimilco,09013,158026,135475,160704,165888,REP,REP,R/N,R/N,163296,190166,181440,192845,1347840
RECLUSORIO SUR #2, 247,486650,2126527,355,09,013,Xochimilco,09013,66960,55642,66960,69984,69638,54432,64282,53568,54432,61603,59616,64282,741398
S-1, 248,488882,2127217,366,09,013,Xochimilco,09013,334800,299981,310694,246240,168739,119232,53568,147312,121824,219629,254016,246413,2522448
S-2, 249,487111,2126517,371,09,013,Xochimilco,09013,REP,82253,112493,116640,115171,90720,104458,91066,93312,107136,103680,109814,1126742
S-3, 250,489958,2126538,372,09,013,Xochimilco,09013,64282,55642,64282,31104,32141,31104,29462,42854,101088,56246,57024,56246,621475
S-4, 251,486666,2126212,373,09,013,Xochimilco,09013,45533,31450,42854,57024,58925,41472,40176,37498,33696,37498,36288,37498,499910
S-5, 252,489992,2126177,374,09,013,Xochimilco,09013,93744,79834,93744,155520,155347,119232,141955,112493,114048,131242,127008,133920,1458086
S-6, 253,490912,2126096,375,09,013,Xochimilco,09013,77674,70157,74995,54432,56246,54432,42854,99101,101088,117850,114048,117850,980726
S-7, 254,492891,2126808,376,09,013,Xochimilco,09013,149990,125798,149990,145152,144634,111456,131242,125885,129600,147312,142560,149990,1653610
S-8, 255,488261,2127516,377,09,013,Xochimilco,09013,155347,130637,99101,95904,72317,101088,91066,222307,215136,222307,209952,187488,1802650
S-9, 256,486026,2130803,378,09,013,Xochimilco,09013,155347,130637,155347,160704,160704,124416,144634,120528,124416,144634,137376,144634,1703376
S-10, 257,485222,2130406,367,09,013,Xochimilco,09013,80352,33869,53568,57024,58925,54432,32141,50890,23328,72317,69984,72317,659146
S-11, 258,496467,2128172,368,09,013,Xochimilco,09013,85709,72576,85709,88128,88387,67392,80352,101779,116640,125885,116640,125885,1155082
SAN GREGORIO ATL. #1, 259,493006,2128467,383,09,013,Xochimilco,09013,58925,65318,77674,80352,91066,69984,83030,80352,95904,101779,95904,101779,1002067
SAN GREGORIO ATL. #2, 260,492890,2127862,384,09,013,Xochimilco,09013,34819,12096,13392,15552,16070,5184,0,2678,7776,8035,7776,8035,131414
SAN LUIS #1, 261,497615,2129035,394,09,013,Xochimilco,09013,174096,152410,141955,158112,152669,127008,147312,88387,165888,168739,165888,158026,1800490
SAN LUIS #3, 262,497036,2129582,407,09,013,Xochimilco,09013,10714,21773,24106,25920,24106,25920,26784,26784,25920,24106,25920,24106,286157
SAN LUIS #4, 263,497202,2129606,408,09,013,Xochimilco,09013,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
SAN LUIS #5, 264,497315,2129600,409,09,013,Xochimilco,09013,133920,113702,120528,0,125885,95904,144634,144634,139968,141955,124416,123206,1408752
SAN LUIS #6, 265,497439,2129597,410,09,013,Xochimilco,09013,152669,130637,133920,124416,187488,176256,171418,184810,176256,168739,168480,176774,1951862
SAN LUIS #7, 266,496647,2129289,411,09,013,Xochimilco,09013,200880,84672,192845,191808,200880,194400,192845,198202,199584,203558,191808,206237,2257718
SAN LUIS #8, 267,496435,2128999,412,09,013,Xochimilco,09013,163382,120960,184810,160704,168739,163296,166061,131242,132192,152669,REP,195523,1739578
SAN LUIS #9, 268,496048,2129025,413,09,013,Xochimilco,09013,259805,220147,259805,139968,139277,108864,125885,203558,207360,238378,230688,243734,2377469
SAN LUIS #10, 269,495713,2128981,395,09,013,Xochimilco,09013,433901,316915,302659,427680,433901,445824,243734,192845,427680,423187,386208,409795,4444330
SAN LUIS #11, 270,495413,2128559,396,09,013,Xochimilco,09013,265162,224986,267840,220320,219629,171072,251770,230342,225504,227664,222912,230342,2757542
SAN LUIS #12, 271,495360,2128726,397,09,013,Xochimilco,09013,249091,183859,241056,248832,254448,243648,238378,251770,248832,259805,251424,257126,2928269
SAN LUIS #13, 272,494961,2128603,398,09,013,Xochimilco,09013,200880,145152,160704,191808,200880,194400,203558,200880,186624,200880,184032,200880,2270678
SAN LUIS #14, 273,493710,2128823,399,09,013,Xochimilco,09013,0,0,0,0,0,0,0,0,0,M/C/A,M/C/A,M/C/A,0
SAN LUIS #16, 274,492704,2128176,401,09,013,Xochimilco,09013,107136,91930,107136,111456,109814,85536,128563,125885,124416,125885,119232,125885,1362874
SAN LUIS #17, 275,492917,2128568,402,09,013,Xochimilco,09013,281232,203213,270518,181440,190166,173664,187488,163382,173664,176774,173664,176774,2351981
SAN LUIS #18, 276,492829,2128339,403,09,013,Xochimilco,09013,254448,188698,246413,173664,182131,176256,182131,182131,178848,182131,176256,182131,2305238
SAN LUIS #19, 277,491807,2127960,404,09,013,Xochimilco,09013,128563,108864,128563,114048,112493,REP,45533,96422,62208,77674,64800,64282,1003450
SAN LUIS #20, 278,490706,2127793,406,09,013,Xochimilco,09013,203558,70157,147312,165888,179453,163296,179453,179453,171072,184810,178848,184810,2008109
SAN LUIS TLAXIALTEMALCO, 279,496162,2128409,414,09,013,Xochimilco,09013,58925,48384,58925,59616,58925,46656,53568,53568,57024,64282,62208,66960,689040
SAN LORENZO ATEMOAYA #1, 280,489528,2127154,390,09,013,Xochimilco,09013,243734,174182,238378,235872,246413,189216,243734,224986,194400,238378,212544,224986,2666822
SAN LORENZO ATEMOAYA #2, 281,489441,2127276,391,09,013,Xochimilco,09013,50890,43546,61603,69984,53568,59616,58925,24106,REP,85709,82944,88387,679277
SAN LUCAS XOCHIMANCA, 282,487902,2127087,393,09,013,Xochimilco,09013,74995,53222,69638,72576,74995,82944,29462,91066,82944,85709,80352,85709,883613
SANTA CRUZ ACALPIXCA #1, 283,492715,2127316,440,09,013,Xochimilco,09013,83030,60480,83030,85536,85709,67392,83030,80352,80352,93744,90720,93744,987120
SANTA CRUZ ACALPIXCA #2, 284,492727,2127595,441,09,013,Xochimilco,09013,16070,140314,166061,0,171418,132192,155347,149990,152928,83030,80352,85709,1333411
SANTA CRUZ XOCHITEPEC, 285,486440,2128685,444,09,013,Xochimilco,09013,160704,154829,144634,150336,174096,165888,171418,174096,168480,171418,168480,174096,1978474
SANTIAGO TEPALCATLALPAN, 286,487217,2127605,451,09,013,Xochimilco,09013,REP,REP,REP,103680,101779,80352,93744,91066,62208,72317,69984,72317,747446
TEPEPAN #1, 287,484817,2130992,485,09,012,Tlalpan,09012,88387,79834,91066,90720,85709,75168,72317,40176,23328,83030,95904,91066,916704
TEPEPAN #2, 288,484526,2130414,486,09,012,Tlalpan,09012,48211,50803,72317,72576,74995,72576,74995,83030,77760,88387,75168,80352,871171
TEPEPAN #3, 289,485444,2131291,487,09,013,Xochimilco,09013,109814,113702,123206,129600,133920,124416,133920,133920,124416,133920,114048,120528,1495411
ARENAL, 290,485285,2131689,37,09,013,Xochimilco,09013,179453,125798,179453,181440,190166,184032,168739,182131,246240,265162,254016,265162,2421792
MONTE SUR #1, 291,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69638,58061,66960,67392,56246,51840,50890,50890,54432,56246,54432,58925,695952
MONTE SUR #2, 292,487741,2125198,232,09,013,Xochimilco,09013,24106,12096,16070,18144,13392,33696,40176,40176,46656,50890,49248,50890,395539
CERRILLOS #1, 293,497979,2128002,105,09,013,Xochimilco,09013,58925,36288,40176,54432,48211,59616,56246,56246,57024,56246,49248,50890,623549
CERRILLOS #2, 294,498560,2127688,106,09,011,Tl?íhuac,09011,101779,149990,152669,163296,168739,163296,168739,155347,155520,160704,158112,160704,1858896
ESCUDO NACIONAL #1, 295,499305,2127979,153,09,011,Tl?íhuac,09011,88387,89510,93744,98496,80352,95904,91066,85709,85536,91066,88128,80352,1068250
ESCUDO NACIONAL #2, 296,499028,2127046,154,09,011,Tl?íhuac,09011,190166,96768,101779,116640,REP,165888,184810,34819,44064,48211,46656,48211,1078013
R-11, 297,499184,2127397,335,09,011,Tl?íhuac,09011,91066,77414,80352,90720,83030,80352,224986,123206,127008,109814,139968,152669,1380586
R-16, 298,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,0
R-18, 299,500141,2123254,336,09,009,Milpa Alta,09009,P/N,P/N,P/N,P/N,P/N,116640,131242,77674,77760,80352,85536,85709,654912
R-19, 300,498387,2122183,337,09,009,Milpa Alta,09009,184810,159667,141955,165888,155347,163296,168739,179453,165888,171418,173664,141955,1972080
R-21, 301,498543,2122563,339,09,009,Milpa Alta,09009,120528,111283,96422,111456,123206,106272,125885,115171,116640,101779,119232,125885,1373760
R-22, 302,500132,2122660,340,09,009,Milpa Alta,09009,171418,140314,147312,171072,152669,150336,192845,144634,139968,147312,137376,147312,1842566
R-23, 303,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,P/N,P/N,P/N,P/N,P/N,P/N,P/N,P/N,P/N,P/N,P/N,P/N,0
R-24, 304,499460,2123283,341,09,009,Milpa Alta,09009,149990,123379,REP,150336,133920,REP,40176,34819,36288,37498,38880,40176,785462
R-25, 305,498704,2122951,342,09,009,Milpa Alta,09009,107136,94349,99101,101088,83030,72576,42854,45533,121824,21427,49248,128563,966730
R-26, 306,500353,2122335,343,09,009,Milpa Alta,09009,P/N,P/N,P/N,P/N,P/N,P/N,198202,96422,95904,99101,106272,107136,703037
R-28, 307,500633,2123093,345,09,009,Milpa Alta,09009,0,0,0,0,0,P/N,96422,91066,10368,96422,103680,104458,502416
S-12, 308,498012,2128664,369,09,013,Xochimilco,09013,107136,87091,91066,106272,93744,0,149990,163382,67392,144634,142560,139277,1292544
S-13, 309,498497,2128189,370,09,013,Xochimilco,09013,74995,62899,66960,75168,66960,75168,66960,61603,72576,48211,62208,72317,806026
TECOMITL #4, 310,494013,2142311,479,09,007,Iztapalapa,09007,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,0
TECOMITL #5, 311,500626,2125033,480,09,009,Milpa Alta,09009,2678,2419,2678,2592,2678,5184,2678,2678,2592,2678,2592,2678,34128
TECOMITL #6, 312,500678,2124832,481,09,009,Milpa Alta,09009,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,0
TECOMITL #7, 313,500747,2124403,482,09,009,Milpa Alta,09009,2678,38707,16070,106272,93744,93312,50890,0,0,0,M/C/A,M/C/A,401674
TECOMITL #8, 314,500542,2124228,483,09,009,Milpa Alta,09009,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,0
TECOMITL #9, 315,501332,2124686,484,09,009,Milpa Alta,09009,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,R/N,0
TECOMITL #10, 316,501476,2124659,464,09,009,Milpa Alta,09009,131242,108864,117850,134784,120528,119232,149990,115171,116640,120528,129600,128563,1492992
TECOMITL #11, 317,501597,2124497,465,09,009,Milpa Alta,09009,208915,142733,208915,220320,227664,220320,158026,77674,207360,211594,209952,214272,2307744
TECOMITL #12, 318,502121,2124423,466,09,009,Milpa Alta,09009,195523,145152,195523,186624,216950,209952,211594,184810,186624,192845,204768,206237,2336602
TECOMITL #13, 319,501779,2124406,467,09,009,Milpa Alta,09009,158026,38707,133920,152928,139277,134784,149990,128563,129600,133920,145152,144634,1589501
TECOMITL #14, 320,502113,2124639,468,09,009,Milpa Alta,09009,136598,101606,141955,147744,133920,114048,128563,112493,114048,115171,124416,125885,1496448
TECOMITL #15, 321,502326,2124457,469,09,009,Milpa Alta,09009,206237,188698,235699,235872,249091,194400,257126,171418,173664,176774,176256,176774,2442010
TECOMITL #16, 322,500873,2125426,470,09,009,Milpa Alta,09009,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,M/C/A,0
TECOMITL #17, 323,502892,2124315,471,09,009,Milpa Alta,09009,163382,118541,166061,173664,182131,168480,176774,160704,163296,163382,165888,152669,1954973
TULYEHUALCO #2, 324,499862,2127969,505,09,011,Tl?íhuac,09011,241056,217728,219629,233280,227664,233280,243734,224986,233280,233021,233280,241056,2781994
TULYEHUALCO #3, 325,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,147312,130637,147312,160704,77674,158112,166061,152669,158112,163382,160704,166061,1788739
TULYEHUALCO #4, 326,499774,2128224,506,09,011,Tl?íhuac,09011,56246,45965,48211,54432,48211,49248,64282,50890,23328,131242,176256,176774,925085
TULYEHUALCO #5, 327,499404,2128348,507,09,011,Tl?íhuac,09011,281232,249178,241056,266976,257126,233280,267840,230342,228096,246413,217728,246413,2965680
TULYEHUALCO #6, 328,499184,2128488,508,09,011,Tl?íhuac,09011,144634,128218,144634,152928,147312,152928,149990,158026,163296,144634,165888,88387,1740874
TULYEHUALCO #7, 329,498855,2128500,509,09,013,Xochimilco,09013,249091,217728,91066,72576,69638,95904,99101,91066,67392,66960,69984,72317,1262822
TULYEHUALCO #8, 330,498541,2128735,510,09,013,Xochimilco,09013,158026,130637,136598,0,139277,137376,179453,160704,173664,160704,176256,168739,1721434
TULYEHUALCO #9, 331,498153,2128420,511,09,013,Xochimilco,09013,324086,266112,278554,321408,289267,282528,316051,174096,184032,190166,186624,168739,2981664
TULYEHUALCO #10, 332,498224,2129148,504,09,013,Xochimilco,09013,195523,188698,192845,207360,203558,212544,214272,192845,184032,214272,209952,171418,2387318
AUXILIAR XOTEPINGO #1-A, 333,485473,2137437,50,09,003,Coyoac?ín,09003,42854,38707,40176,41472,42854,38880,42854,42854,25920,REP,46656,88387,491616
