GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15957439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,399581189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,392,,,,,,,,,,,,,,,,,,,418886851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARINA NACIONAL #4,93 ,480221,2151033,219,09,016,Miguel Hidalgo,09016,55965,69770,91025,89994,93463,63214,62337,62843,59416,68741,52392,55989,825150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR MEDITERRANEO,94 ,481776,2150834,216,09,016,Miguel Hidalgo,09016,0,99671,115171,118584,118787,110678,130572,117756,108708,109198,101088,0,1130214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTIRES DE TACUBAYA,95 ,480664,2144482,220,09,014,Benito Ju?írez,09014,103006,79737,87878,87247,85875,77465,92807,88963,90720,92619,90266,132109,1108692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYORASGO,96 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,32773,27908,39083,37947,38012,34795,27705,27930,26407,28445,43960,151619,516585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METRO C.U.,97 ,481622,2136504,223,09,003,Coyoac?ín,09003,0,0,45190,137557,137793,126132,133909,134997,127635,132742,123089,124248,1223292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGUEL ALEMAN,98 ,485070,2143994,224,09,014,Benito Ju?írez,09014,73522,59803,79066,77138,69987,65241,39249,18513,53476,56889,52752,60457,706093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRAFLORES,99 ,480622,2143758,228,09,014,Benito Ju?írez,09014,69221,52961,66799,REPARACION,0,0,0,0,0,0,0,55346,244327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRAVALLE,100 ,485274,2140695,229,09,014,Benito Ju?írez,09014,145799,136515,142745,146562,150684,146414,173400,158427,164942,152179,144670,132109,1794447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODERNA,101 ,485903,2144382,230,09,014,Benito Ju?írez,09014,147248,127579,96013,153115,166275,101350,162402,151455,151544,153017,149284,48774,1608055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLINO DEL REY,102 ,479642,2147289,231,09,016,Miguel Hidalgo,09016,99845,84333,90088,87454,92338,52073,115578,125992,122052,126892,106474,52604,1155724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAPOLES,103 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,107682,91697,87530,90124,90278,82638,96417,97756,92426,99556,60536,123935,1120576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIVITAS,104 ,485550,2142726,236,09,014,Benito Ju?írez,09014,63205,53822,71160,64035,68412,42353,52872,47022,50751,55853,53779,161990,785253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORTIZ RUBIO,105 ,485111,2142220,253,09,014,Benito Ju?írez,09014,135773,115618,151464,148231,144007,148231,118361,150440,152469,157552,129071,54672,1605890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARQUE DE LOS VENADOS,106 ,483779,2141901,270,09,014,Benito Ju?írez,09014,120804,105651,116141,117731,126056,114914,102261,106327,100393,100078,51944,170266,1332567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. MARISCAL SUCRE,107 ,483060,2143897,254,09,014,Benito Ju?írez,09014,29374,21928,27253,28284,29374,27885,29197,29403,28341,29374,51529,29623,361565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDREGAL DE SAN FRANCISCO,108 ,482687,2138340,277,09,003,Coyoac?ín,09003,128178,115077,127173,122425,125092,114960,120592,125349,120310,127792,122923,20527,1370399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDREGAL IMAN,109 ,481901,2135103,279,09,003,Coyoac?ín,09003,129249,140783,150475,153052,148841,138980,140683,140536,131583,135969,140422,108261,1658834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODISTA,110 ,477073,2150067,312,09,016,Miguel Hidalgo,09016,58159,52371,56332,55998,57334,52527,54165,54840,53452,49216,52472,24631,621496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIRULERA,111 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,160790,146933,169564,162684,173389,159890,173721,147478,170621,163556,152643,47954,1829223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTALES,112 ,484686,2140946,317,09,014,Benito Ju?írez,09014,66759,60057,66424,64282,48613,37208,0,0,26853,34053,35853,12610,452712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPOTLA,113 ,481168,2151220,316,09,016,Miguel Hidalgo,09016,23575,28595,30662,30917,30469,29487,30662,26489,23950,20570,8916,60725,345019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO MIL,114 ,484258,2143551,353,09,014,Benito Ju?írez,09014,226887,203474,213094,202181,216983,177215,225275,227118,186132,228730,222020,209140,2538248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFORMA IZTACCIHUATL,115 ,486349,2143484,357,09,006,Iztacalco,09006,0,0,0,0,50472,28740,25397,25603,24207,26074,24178,77566,282237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMERO DE TERREROS,116 ,482187,2138640,364,09,003,Coyoac?ín,09003,60896,52547,39522,38610,40313,33826,35483,40717,42208,54061,38942,86526,563652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUIZ CORTINEZ,117 ,484853,2136072,365,09,003,Coyoac?ín,09003,51500,43855,58512,56568,58336,56568,53247,50997,48730,32465,48356,55309,614442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALESIANO,118 ,481404,2150143,379,09,016,Miguel Hidalgo,09016,63205,53822,66017,66853,64694,62472,64485,65374,43297,60446,62203,47584,720453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN FELIPE POPOTLA,119 ,481648,2151031,380,09,016,Miguel Hidalgo,09016,175569,111632,126892,112057,53847,133685,139041,219273,202728,213680,197775,,1686178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JOAQUIN TACUBA,120 ,478238,2150738,386,09,016,Miguel Hidalgo,09016,88963,151500,173432,181036,196637,72244,73881,79881,70419,75852,79294,99556,1342696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO SAN JOAQUIN,121 ,477902,2150276,363,09,016,Miguel Hidalgo,09016,76969,81793,85495,89087,93369,70852,89994,84745,87363,82963,79743,0,922374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUANICO IZTAPALAPA,122 ,487813,2142061,389,09,007,Iztapalapa,09007,35114,53880,73980,70629,64515,56166,43607,53922,58927,64000,66065,49422,690227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA ANITA,123 ,487121,2145200,424,09,006,Iztacalco,09006,39212,14902,43294,45536,47922,42830,46283,47970,46329,47729,46376,80609,548993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CATARINA COYOACAN,124 ,480791,2133270,439,09,012,Tlalpan,09012,104136,29393,35435,27724,35636,28271,30014,27194,0,REPARACION,REPARACION,127631,445435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTIAGO TLATELOLCO,125 ,485843,2150447,452,09,015,Cuauht??moc,09015,82200,74245,76222,78263,82034,75611,75226,109343,28268,93707,101897,105840,982855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STO DOMINGO COYOACAN,126 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,31884,31884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIFON,127 ,498446,2140032,457,09,007,Iztapalapa,09007,85237,74770,80373,56682,57864,55370,53150,70570,54722,72895,71633,111336,844604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACUBA,128 ,480210,2151387,459,09,016,Miguel Hidalgo,09016,166205,71763,82923,85380,85527,78289,83116,83791,79222,85334,69517,181113,1152181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIZAPAN,129 ,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,184965,141533,115811,166018,173429,104069,88082,158026,125435,135112,124991,172529,1689999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSIDAD,130 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,145520,163543,168389,168678,161764,195030,195427,162845,175408,190657,123956,1851218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERONICA,131 ,481682,2148727,555,09,016,Miguel Hidalgo,09016,0,0,0,56298,55989,52193,55411,55861,52815,56889,REPARACION,0,385455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIADUCTO,132 ,481343,2144628,556,09,014,Benito Ju?írez,09014,0,0,117475,120956,114036,104385,108143,92903,121430,116350,91197,47729,1034603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGA #3,133 ,487162,2141990,561,09,007,Iztapalapa,09007,149819,165454,191184,196849,195853,168236,175923,215416,205971,220751,160901,8785,2055142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIGA #4,134 ,487094,2143085,562,09,006,Iztacalco,09006,0,137546,175200,177060,180929,176523,153762,126530,178311,177972,166964,80566,1731362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLA OLIMPICA #1,135 ,480489,2134541,563,09,003,Coyoac?ín,09003,133593,122269,134276,0,130451,129797,138859,136631,132762,138720,126427,32302,1356087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISTA ALEGRE,136 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,169543,169543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIVEROS DEL RELOJ #1,137 ,485383,2135593,568,09,003,Coyoac?ín,09003,35810,33869,37048,34909,33935,35925,31916,31980,30917,47874,46049,138406,538639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIVEROS DEL RELOJ #2,138 ,485353,2136042,569,09,003,Coyoac?ín,09003,169221,153474,168699,158371,158601,162246,143803,164577,143040,107728,104997,69829,1704586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTO #18,139 ,489804,2135343,140,09,013,Xochimilco,09013,80995,76872,45608,77967,77395,52348,69853,51176,33872,65139,74898,91569,797693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTO #19,140 ,481368,2134327,141,09,012,Tlalpan,09012,0,0,20851,15552,33710,25329,29489,27360,33515,28887,34098,117876,366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTO #20-B,141 ,480015,2134312,142,09,003,Coyoac?ín,09003,183203,179807,192644,182153,185613,190318,194854,129056,194206,198269,193234,179346,2202700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTO #21,142 ,479873,2134178,143,09,012,Tlalpan,09012,141211,123602,135425,136277,120804,128859,133722,113280,126523,125630,132018,173753,1591104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTO #22,143 ,477696,2134789,144,09,012,Tlalpan,09012,101235,76510,91216,85152,90294,92954,91907,56549,36744,62190,65889,39442,890082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTO #24,144 ,482128,2135810,145,09,003,Coyoac?ín,09003,83344,73130,75019,84875,80569,81231,66992,82551,75189,82749,84300,104297,974245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTO #25,145 ,483719,2134751,146,09,003,Coyoac?ín,09003,0,0,56528,134089,119526,130030,123083,133208,106376,130170,129330,172529,1234870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAHUATLACAS,146 ,483445,2136059,235,09,003,Coyoac?ín,09003,207844,188117,202283,175634,197773,198858,202487,196059,198651,196487,183306,56964,2204464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDREGAL DE CARRASCO,147 ,482587,2134705,276,09,003,Coyoac?ín,09003,93332,149930,175325,164981,131134,103011,130690,125376,93732,132184,124706,196787,1621189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA URSULA,148 ,483587,2135232,448,09,003,Coyoac?ín,09003,171926,156643,186363,169646,178864,165836,147848,145759,20840,164507,117386,75858,1701476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTO DOMINGO,149 ,487365,2136808,453,09,003,Coyoac?ín,09003,108068,98461,105958,107433,104650,96827,108186,111721,102643,112782,108346,75343,1240419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRANOVA,150 ,480277,2137821,495,09,003,Coyoac?ín,09003,159646,145454,127961,160056,64523,137311,148351,138875,151313,173574,167469,126048,1700581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAPATA #17,151 ,482186,2134254,576,09,012,Tlalpan,09012,39573,35707,37846,125188,32663,25365,68803,65042,65572,32243,36190,21566,585759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAPOTECAS,152 ,483267,2136640,577,09,003,Coyoac?ín,09003,198984,183496,193852,0,208867,198140,188002,179217,185551,182292,199791,0,1918193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #1-B,153 ,485577,2137590,51,09,003,Coyoac?ín,09003,34559,33317,49098,49064,46387,45474,48468,48533,53312,55411,54805,28739,547168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUXILIAR XOTEPINGO #1-C,154 ,485987,2137418,52,09,003,Coyoac?ín,09003,101677,76853,56589,51415,42932,44116,48040,44992,78304,84680,70357,220880,920836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCACION #1,155 ,485357,2138170,147,09,003,Coyoac?ín,09003,114582,111869,122336,126272,103943,122114,142097,157771,166054,180251,184416,125221,1656925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCACION #2 (V),156 ,481261,2131506,149,09,012,Tlalpan,09012,124626,113702,100330,125484,85795,128045,133438,138406,135865,110015,0,29004,1224710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCACION #2 (N),157 ,486192,2137920,148,09,003,Coyoac?ín,09003,0,0,0,0,0,0,0,0,0,0,0,79602,79602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRADOS CHURUBUSCO,158 ,486699,2140007,320,09,003,Coyoac?ín,09003,156365,115106,128081,132659,138570,109896,151930,117287,137858,134997,69155,199431,1591333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANJAS AGRICOLA COAPA,159 ,487793,2133865,167,09,012,Tlalpan,09012,114531,124342,113087,158257,72453,157697,190121,184287,247114,264896,253272,154059,2034117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUIPULCO,160 ,485681,2132491,176,09,012,Tlalpan,09012,104458,111283,133920,132192,136462,125847,123206,120742,110528,123206,113841,162871,1498556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS COYOTES,161 ,487314,2135852,214,09,003,Coyoac?ín,09003,0,0,106734,106661,100842,94738,100976,REPARACION,22213,23088,22836,74995,653082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOMAS ESTRELLA #3,162 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,79945,69332,77749,77864,81316,73221,67710,78657,70155,81316,72783,100006,930054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTIF. COAPA #7,163 ,486679,2133212,233,09,012,Tlalpan,09012,50568,45916,75384,62042,64290,59556,163490,161641,177993,190975,190403,122711,1364969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTIF. COAPA #8,164 ,487734,2132727,234,09,013,Xochimilco,09013,162311,145249,151855,153851,176282,168428,275540,282236,274752,155503,186212,70870,2203089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASEOS DE TAXQUENA,165 ,486893,2138915,273,09,003,Coyoac?ín,09003,179667,164985,183583,183457,173448,162949,0,0,191036,198555,196385,27871,1661935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #1,166 ,485573,2136312,293,09,003,Coyoac?ín,09003,27159,24940,27751,27732,26219,86057,78665,48211,46609,48163,72431,82551,596487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #2,167 ,486493,2134490,304,09,012,Tlalpan,09012,5303,128089,140962,119113,121728,118994,132983,133786,129600,131911,127267,68106,1357842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #3,168 ,484822,2133935,305,09,012,Tlalpan,09012,209381,204098,230342,178718,180738,160574,171364,145477,134991,171926,178537,112814,2078963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #4,169 ,484272,2133665,306,09,012,Tlalpan,09012,74695,67670,74920,72141,74920,71995,74995,74770,68875,74320,69963,51315,850580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #5,170 ,483200,2133848,307,09,012,Tlalpan,09012,76198,69876,74567,74642,72858,75093,79147,80272,75272,56889,21926,65085,821823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #6,171 ,484192,2132586,308,09,012,Tlalpan,09012,90275,81878,77808,70132,63925,49922,79195,83618,71083,71572,84491,89244,913143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #7,172 ,483602,2132446,309,09,012,Tlalpan,09012,63143,55702,50622,77967,85366,77076,80955,75965,71410,75266,65438,193608,972517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #9,173 ,486233,2131345,311,09,013,Xochimilco,09013,132715,106687,133920,122145,136189,126246,133920,130848,112148,116735,130740,139357,1521650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #10,174 ,486333,2132216,294,09,013,Xochimilco,09013,80526,0,64710,61627,42512,82446,29634,21390,51091,45463,52522,0,531921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #11,175 ,488634,2132855,295,09,013,Xochimilco,09013,39694,36450,27384,20181,20875,14183,21213,21647,15500,16381,50544,247597,531650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #12,176 ,488153,2133115,296,09,012,Tlalpan,09012,64201,52400,61228,79380,75595,86365,103006,94065,85536,89459,85432,79776,956444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #13,177 ,486343,2136134,297,09,003,Coyoac?ín,09003,168075,109203,171841,153148,147982,97791,97119,97194,92586,104650,186748,0,1426337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #14,178 ,488083,2134134,298,09,003,Coyoac?ín,09003,151600,136929,139997,159097,164898,144634,165895,145137,153312,159917,137000,196059,1854475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #15,179 ,485969,2135229,299,09,003,Coyoac?ín,09003,65182,60267,70560,83530,43069,62916,93594,30936,0,0,0,0,510052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #16,180 ,489444,2134015,300,09,013,Xochimilco,09013,318837,288911,211036,196448,120705,158529,96347,214966,223941,239128,239851,99744,2408442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #17,181 ,489484,2134564,301,09,013,Xochimilco,09013,79666,84411,111004,101796,99861,78304,66853,110789,64066,66556,68475,62471,994253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #18,182 ,489804,2135343,302,09,013,Xochimilco,09013,79814,152971,167304,152928,152179,77122,0,0,0,0,0,0,782317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIFERICO #19,183 ,488874,2136877,303,09,003,Coyoac?ín,09003,162954,149637,166505,168524,159330,196782,205412,203762,211909,205412,190901,0,2021128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREPARATORIA #5 (V),184 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,165102,165102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREPARATORIA #5 (N),185 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,87744,99187,89657,72529,68572,64422,80781,80888,88854,97387,79108,103236,1012364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PISTA OLIMPICA #1,186 ,489138,2132973,314,09,013,Xochimilco,09013,0,0,59771,59730,56471,0,0,56621,62198,64646,63939,69930,493307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PISTA OLIMPICA #2,187 ,487790,2131726,315,09,013,Xochimilco,09013,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN FRANCISCO CULHUACAN,188 ,487793,2137344,382,09,003,Coyoac?ín,09003,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CATARINA #8,189 ,493646,2134643,436,09,007,Iztapalapa,09007,287291,264341,296772,186134,189799,104095,159542,175012,176080,185318,168983,42854,2236221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CATARINA #11,190 ,492327,2134822,427,09,007,Iztapalapa,09007,208240,203837,225926,169105,120549,129483,123830,107254,116951,180149,129030,0,1714355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CATARINA #12,191 ,493246,2135738,428,09,007,Iztapalapa,09007,64282,55274,62160,69494,66387,64175,70726,70870,67465,70509,68794,53798,783934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CATARINA #13,192 ,492660,2136245,429,09,007,Iztapalapa,09007,0,0,0,0,0,0,0,0,0,0,0,116607,116607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA URSULA COAPA,193 ,483956,2134956,449,09,003,Coyoac?ín,09003,0,0,0,0,0,0,0,0,0,0,0,37385,37385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN LORENZO TEZONCO,194 ,492660,2136245,392,09,007,Iztapalapa,09007,2764,0,0,22978,37926,34173,37798,38569,35542,39897,41306,124792,415745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELISARIO DOMINGUEZ,195 ,481265,2133300,86,09,012,Tlalpan,09012,38998,31353,26605,66604,70281,77967,60853,62474,57607,28927,62615,120166,704450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL CAMINERO,196 ,481103,2138473,150,09,003,Coyoac?ín,09003,30486,30286,27748,36000,45351,37102,40326,40583,36164,36726,53774,158776,573321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL TREBOL,197 ,482401,2131586,151,09,012,Tlalpan,09012,114555,96988,98442,97825,103226,114515,115937,116676,103970,105588,97161,58689,1223572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALEANA TLALPAN,198 ,482632,2132332,162,09,012,Tlalpan,09012,10703,9609,10306,38608,37203,38802,35698,37498,36252,37273,36143,135642,463736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDALGO TLALPAN,199 ,480912,2132969,172,09,012,Tlalpan,09012,87592,77598,79460,84937,85117,78094,88387,80191,72472,80352,102571,61234,978006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-1,200 ,483430,2130663,333,09,012,Tlalpan,09012,141596,119010,79591,REPARACION,REPARACION,131570,141529,118358,109292,119082,64968,24293,1049290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-2,201 ,483177,2130602,338,09,012,Tlalpan,09012,158293,143700,125671,146033,159418,154276,160704,159740,133125,125028,153654,40969,1660611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-3,202 ,483552,2130452,346,09,012,Tlalpan,09012,53622,52424,46079,51436,58277,56454,58394,58748,53374,58218,56340,41912,645277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-4,203 ,483815,2130811,347,09,012,Tlalpan,09012,134549,122145,129632,123732,136598,129019,135232,131954,118841,132500,77729,111748,1483681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-5,204 ,484339,2131154,348,09,012,Tlalpan,09012,84080,76485,58769,55562,1294,58543,60063,61418,54549,42383,59139,118961,731247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-6,205 ,485210,2132061,349,09,013,Xochimilco,09013,80432,68098,REPARACION,REPARACION,105422,116951,120978,121749,REPARACION,0,27372,152516,793518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-7,206 ,484935,2131404,350,09,012,Tlalpan,09012,40369,38359,41740,38279,42426,41431,40755,37883,37278,40626,41140,60746,501031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORMANDIA,207 ,485856,2141928,247,09,007,Iztapalapa,09007,0,0,0,0,35141,34214,28686,33828,32970,41389,36744,34010,276983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-9,208 ,484129,2130853,352,09,012,Tlalpan,09012,105341,0,96347,95743,101029,112078,115937,116676,103970,105588,99320,32023,1084055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-10,209 ,483792,2130536,334,09,012,Tlalpan,09012,137188,124666,116189,105559,119564,115824,118600,120166,106142,120166,54121,0,1238185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN FERNANDO TLALPAN,210 ,481638,2133393,381,09,012,Tlalpan,09012,195523,26623,160134,186189,193177,177674,194937,151600,144050,136486,124400,32939,1723732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN PEDRO MARTIR #1,211 ,483072,2129627,420,09,012,Tlalpan,09012,71770,58661,65921,58722,59385,56397,59139,74178,70508,74411,59533,99947,808572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA URSULA XITLA,212 ,480995,2131462,450,09,012,Tlalpan,09012,18031,21688,23040,6127,4382,4728,5325,13097,12908,13271,11262,769,134628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPILEJO,213 ,486705,2123955,500,09,013,Xochimilco,09013,32591,30569,27229,19803,27748,34474,30261,31798,33603,34498,34728,0,337300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
