GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15957439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,399581189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,392,,,,,,,,,,,,,,,,,,,418886851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVIDENCIA,25 ,478144,2155181,324,09,002,Azcapotzalco,09002,139968,97716,129592,139968,144055,105380,95105,97462,113934,117850,113250,95474,1389753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDENTE MADERO,26 ,478895,2155313,322,09,002,Azcapotzalco,09002,203341,142955,164400,160061,144307,144794,157088,158936,154882,164464,165328,100065,1860624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA CATARINA AZCAPOTZALCO,27 ,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,70295,52477,0,0,0,0,0,0,0,0,0,34784,157556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN TLIHUACA,28 ,478946,2154626,388,09,002,Azcapotzalco,09002,53514,45336,50247,51840,53407,48805,50686,50686,49248,34610,33561,69930,591871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MARTIN XOCHINAHUAC #1,29 ,479995,2155926,415,09,002,Azcapotzalco,09002,43165,30763,41071,44064,45260,40759,5445,REPARACION,0,0,0,110910,361436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MARTIN XOCHINAHUAC #2,30 ,478781,2155913,416,09,002,Azcapotzalco,09002,92027,50668,60601,72141,74470,100583,103517,40605,30731,90774,85318,115198,916632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MIGUEL AMANTLA,31 ,478540,2153210,417,09,002,Azcapotzalco,09002,141567,99526,93257,93950,104056,100808,29484,62096,101710,100708,90202,150221,1167583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN PEDRO XALPA #1,32 ,478126,2154207,421,09,002,Azcapotzalco,09002,55630,56096,35783,41472,42554,31933,47922,46331,38880,39573,31236,62337,529750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN PEDRO XALPA #2,33 ,477447,2154531,422,09,002,Azcapotzalco,09002,76093,50668,64496,71633,74545,99268,101637,89973,57996,58858,63618,95672,904457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRABAJADORES DEL HIERRO,34 ,484108,2153620,503,09,002,Azcapotzalco,09002,124417,103464,82538,123545,128049,110119,114135,26950,105883,103539,95964,66759,1185361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLAS AZCAPOTZALCO,35 ,479576,2155276,566,09,002,Azcapotzalco,09002,36359,99526,123006,142560,139504,132581,111593,121235,119937,123806,100077,35585,1285770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABASOLO JARDIN,36 ,484606,2150489,2,09,015,Cuauht??moc,09015,8043,17026,83357,135137,142641,136140,141529,107318,129133,141529,135178,80609,1257641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRIL #24,37 ,487773,2146810,3,09,017,Venustiano Carranza,09017,56182,47842,61686,64035,64145,55158,0,0,0,21743,46158,55403,472353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIAS,38 ,481862,2140960,4,09,014,Benito Ju?írez,09014,45750,37875,94542,94178,97317,34474,35773,34010,35816,34610,34437,91805,670587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJUSCO,39 ,483445,2136071,14,09,003,Coyoac?ín,09003,66692,59028,65822,64541,63746,63763,66692,66424,64735,66491,56376,REPARACION,704311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMEDA DE SANTA MARIA,40 ,483553,2150442,15,09,015,Cuauht??moc,09015,58523,49836,63545,63348,64951,43623,43347,42937,35912,43347,41861,0,551231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMEDA DE TACUBAYA,41 ,480571,2145040,16,09,016,Miguel Hidalgo,09016,93637,79737,92137,94867,99781,91337,96969,94770,92426,99556,79129,0,1014345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMOS JARDIN #1,42 ,485190,2144841,17,09,014,Benito Ju?írez,09014,88299,79115,85824,84852,87503,66975,71594,71955,69284,71377,69564,0,846341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMOS JARDIN #2,43 ,485124,2145120,18,09,014,Benito Ju?írez,09014,121728,101664,125534,113817,124168,125186,130861,120753,122939,99556,90119,144055,1420380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERT Y BERLIN,44 ,485377,2141715,19,09,014,Benito Ju?írez,09014,63205,53822,59332,57485,67131,9655,13853,12551,8256,11474,5568,69012,431344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGARIN,45 ,485104,2145574,21,09,015,Cuauht??moc,09015,19124,19160,37455,35707,21470,22861,2732,0,2760,16097,0,91805,269172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTAVISTA,46 ,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,42667,0,16606,0,0,0,0,0,0,0,0,168233,227506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTILLO UNIVERSIDAD #1,47 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,62289,62289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTILLO UNIVERSIDAD #2,48 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,106065,95897,110693,123918,125092,121803,119805,116430,111974,141452,137449,47124,1357702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTONIO M. ANZA,49 ,483287,2146238,36,09,015,Cuauht??moc,09015,84273,71763,90991,96920,98726,61866,66853,68106,64494,69151,64022,0,837165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARENAL SAN ANGEL,50 ,480917,2139244,38,09,003,Coyoac?ín,09003,71693,57809,66799,67576,68896,85018,66531,63583,57599,99556,90119,49261,844441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARNAIZ ROSENDO,51 ,480411,2143138,39,09,014,Benito Ju?írez,09014,103831,77743,92863,95831,104040,98004,101169,101576,98496,168233,162480,20650,1224915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXOTLA,52 ,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,53841,45849,55282,54906,55443,46539,49216,47472,38375,56889,57791,103204,664807,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALBUENA #1,53 ,488461,2146452,82,09,017,Venustiano Carranza,09017,47836,29514,34037,48657,50584,48608,49007,39592,48165,44528,47475,40305,528308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALBUENA #2,54 ,489467,2146172,83,09,017,Venustiano Carranza,09017,41312,35417,39812,24012,22070,92172,102851,101993,0,94815,0,37348,591801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJAMIN FRANKLIN,55 ,480957,2145692,87,09,016,Miguel Hidalgo,09016,50584,37875,57157,56568,58748,56625,58748,50734,48413,52148,48356,26939,602897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPESTRE,56 ,483850,2140451,92,09,014,Benito Ju?írez,09014,25006,11999,27636,28284,27842,13219,20811,25016,25065,21775,25272,129870,381795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPOS ELISEOS,57 ,478852,2148058,94,09,016,Miguel Hidalgo,09016,84273,71763,67887,68779,68896,78289,83116,83020,79222,92445,93911,33078,904679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
