GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,13106381
2005,,,,,,,,,,,,,,,,,,,,,411048332
,,459,,,,,,,,,,,,,,,,,,,434351642
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AHUIZOTLA,1,478008,2153563,13,09,002,Azcapotzalco,09002,138240,120960,120960,151200,104458,99187,143770,139277,101606,121651,117850,111283,1470442
AZCAPOTZALCO #1,2,478498,2156819,81,09,002,Azcapotzalco,09002,152064,186278,186278,211680,206237,186278,165888,160704,145152,174182,168739,152410,2095891
CAMPAMENTO AZCAPOTZALCO,3,480744,2154714,91,09,002,Azcapotzalco,09002,82944,72576,72576,90720,80352,62899,96768,93744,82253,96768,93744,84672,1010016
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,149299,133056,38707,166320,147312,133056,174182,168739,140314,168653,163382,147571,1730592
CLAVERIA ,5,480901,2152320,120,09,002,Azcapotzalco,09002,176947,154829,154829,193536,171418,154829,168653,163382,147571,174182,171418,147571,1979165
DEPORTIVO FERRERIA,6,482973,2152823,135,09,002,Azcapotzalco,09002,24883,38707,38707,48384,42854,38707,63590,61603,53222,38707,RH,RH,449366
DEPORTIVO REYNOSA ,7,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,127181,79834,142733,178416,158026,142733,185242,179453,157248,110592,RH,RH,1461456
HOGAR Y SEGURIDAD ,8,482157,2152446,173,09,002,Azcapotzalco,09002,165888,145152,55642,84672,133920,128218,149299,144634,125798,149299,144634,130637,1557792
JARDIN SAN ALVARO ,9,480945,2151587,196,09,016,Miguel Hidalgo,09016,74650,65318,65318,81648,72317,65318,94003,91066,70157,82944,80352,79834,922925
NUEVA SANTA MARIA ,10,482650,2152058,248,09,002,Azcapotzalco,09002,52531,45965,45965,57456,50890,45965,41472,40176,38707,47002,45533,43546,555206
OBRERO POPULAR ,11,481957,2152026,250,09,002,Azcapotzalco,09002,105062,91930,91930,114912,101779,91930,96768,93744,91930,110592,107136,96768,1194480
PANTACO #1 ,12,482283,2154851,263,09,002,Azcapotzalco,09002,168653,149990,149990,160272,69638,157248,179712,174096,149990,179712,174096,149990,1863389
PANTACO #2 ,13,482419,2154039,264,09,002,Azcapotzalco,09002,99533,120960,120960,151200,117850,101606,110592,107136,89510,107827,104458,101606,1333238
