GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15666653
1998,,,,,,,,,,,,,,,,,,,,,372841920
,,417,,,,,,,,,,,,,,,,,,,395549741
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,88387,96768,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REPAR.,REHAB.,REHAB.,REHAB.,REHAB.,185155
AHUIZOTLA,2,478008,2153563,13,09,002,Azcapotzalco,09002,109814,82253,94003,112493,116122,101606,109814,0,29462,113702,133056,113702,1116029
ATORON #6,3,482692,2154553,44,09,002,Azcapotzalco,09002,REHAB.,REHAB.,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,0
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,123206,118541,138240,136598,132710,128218,147312,152064,144634,120960,166320,133056,1641859
CAMPAMENTO AZCAPOTZALCO,5,480744,2154714,91,09,002,Azcapotzalco,09002,77674,72576,82944,80352,82944,72576,53568,82944,80352,72576,90720,72576,921802
CLAVERIA,6,480901,2152320,120,09,002,Azcapotzalco,09002,120528,65318,182477,160704,163123,152410,171418,185242,179453,162086,202608,162086,1907453
DEPORTIVO FERRERIA,7,482973,2152823,135,09,002,Azcapotzalco,09002,99101,91930,118886,109814,113357,106445,115171,127181,117850,106445,51408,111283,1268870
DEPORTIVO REYNOSA,8,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,155347,91930,102298,93744,96768,174182,128563,204595,198202,176602,223776,179021,1825027
HOGAR Y SEGURIDAD,9,482157,2152446,173,09,002,Azcapotzalco,09002,179453,176602,201830,190166,196301,176602,195523,201830,174096,166925,220752,162086,2242166
JARDIN SAN ALVARO,10,480945,2151587,196,09,016,Miguel Hidalgo,09016,34819,79834,82944,77674,82944,74995,85709,88474,85709,77414,96768,77414,944698
NUEVA SANTA MARIA,11,482650,2152058,248,09,002,Azcapotzalco,09002,115171,111283,129946,141955,143770,101606,115171,160358,155347,POZ.PAR,REPAR.,REPAR.,1174608
OBRERO POPULAR,12,481957,2152026,250,09,002,Azcapotzalco,09002,16070,108864,121651,123206,129946,120960,120528,77414,139277,118541,157248,123379,1357085
PANAMERICANA,13,484759,2153609,262,09,005,Gustavo A. Madero,09005,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,0
PANTACO #1,14,482283,2154851,263,09,002,Azcapotzalco,09002,74995,70157,80179,83030,82944,26611,MAL.CAL,MAL.CAL,REHAB.,REHAB.,REHAB.,REHAB.,417917
PANTACO #2,15,482419,2154039,264,09,002,Azcapotzalco,09002,192845,128218,212890,203558,210125,176602,195523,204595,198202,179021,217728,171763,2291069
PANTACO #3,16,482304,2153389,265,09,002,Azcapotzalco,09002,112493,111283,127181,136598,135475,33869,45533,74650,72317,65318,81648,65318,1061683
PARQUE TEZOZOMOC,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85709,162086,113357,195523,196301,174182,107136,201830,190166,157248,220752,171763,1976054
PETROLERA,18,479198,2154207,313,09,002,Azcapotzalco,09002,48211,36288,41472,40176,38707,36288,40176,44237,42854,41126,48384,41126,499046
PRADOS DEL ROSARIO,19,478144,2155925,321,09,002,Azcapotzalco,09002,141955,142733,163123,149990,152064,142733,104458,163123,158026,142733,172368,142733,1776038
PRO-HOGAR,20,483605,2152928,323,09,002,Azcapotzalco,09002,112493,116122,121651,109814,129946,116122,128563,135475,131242,113702,145152,113702,1473984
PROVIDENCIA,21,478144,2155181,324,09,002,Azcapotzalco,09002,74995,31450,REPAR.,REPAR.,REPAR.,58061,117850,201830,195523,174182,220752,174182,1248826
PRESIDENTE MADERO,22,478895,2155313,322,09,002,Azcapotzalco,09002,74995,104026,110592,112493,116122,111283,80352,124416,107136,125798,157248,118541,1343002
SANTA CATARINA AZCAPOTZALCO,23,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,58925,2419,REPAR.,REPAR.,REPAR.,REPAR.,POZ.NVO,POZ.NVO,REHAB.,REHAB.,REHAB.,REHAB.,61344
