GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,18446766
1994,,,,,,,,,,,,,,,,,,,,,504201857
,,489,,,,,,,,,,,,,,,,,,,528880224
SAN MARTIN XOCHINAHUAC #1,25,479995,2155926,415,09,002,Azcapotzalco,09002,66528,65318,65318,62899,63504,48384,63504,48384,72576,57629,53222,69552,736819
SAN MARTIN XOCHINAHUAC #2,26,478781,2155913,416,09,002,Azcapotzalco,09002,205632,169344,169344,135475,205632,181440,220752,174182,220752,182909,164506,220752,2250720
SAN MIGUEL AMANTLA,27,478540,2153210,417,09,002,Azcapotzalco,09002,99792,96768,67738,16934,102816,77414,78624,41126,111888,57629,70157,105840,926726
SAN PEDRO XALPA #1,28,478126,2154207,421,09,002,Azcapotzalco,09002,45360,33869,33869,33869,48384,41126,51408,38707,REPAR.,REPAR.,REPAR.,REHAB.,326592
SAN PEDRO XALPA #2,29,477447,2154531,422,09,002,Azcapotzalco,09002,78624,91930,65318,REPAR.,69552,77414,102816,79834,102816,77674,79834,102816,928627
TRABAJADORES DEL HIERRO,30,484108,2153620,503,09,002,Azcapotzalco,09002,163296,133056,133056,133056,163296,128218,160272,128218,78624,127786,118541,75600,1543018
VALLE DEL TEPEYAC,31,485252,2154857,535,09,005,Gustavo A. Madero,09005,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,0
VILLAS AZCAPOTZALCO,32,479576,2155276,566,09,002,Azcapotzalco,09002,99792,84672,84672,84672,51408,79834,105840,77414,60480,82685,82253,105840,999562
ABASOLO JARDIN ,33,484606,2150489,2,09,015,Cuauht??moc,09015,135475,133920,108864,131155,114048,101606,63590,FE,FE,FE,FE,FE,788659
ACACIAS,34,481862,2140960,4,09,014,Benito Ju?írez,09014,102298,109814,67738,91238,57024,43546,69120,66960,60480,71885,64282,53222,857606
ALAMEDA DE SANTA MARIA,35,483553,2150442,15,09,015,Cuauht??moc,09015,163123,160704,142733,162518,165888,152410,152064,149990,128218,171418,93744,137894,1780704
ALAMEDA DE TACUBAYA,36,480571,2145040,16,09,016,Miguel Hidalgo,09016,176947,163382,154829,188179,137376,116122,193536,184810,176602,218419,206237,147571,2064010
ALAMOS JARDIN #1,37,485190,2144841,17,09,014,Benito Ju?írez,09014,52531,58925,48384,59875,41472,45965,77414,80352,65318,85709,77674,79834,773453
ALAMOS JARDIN #2,38,485124,2145120,18,09,014,Benito Ju?írez,09014,157594,152669,137894,165370,145152,89510,127181,133920,111283,110592,83030,36288,1450483
ALBERT Y BERLIN,39,485377,2141715,19,09,014,Benito Ju?írez,09014,165888,163382,140314,171072,134784,96768,171418,160704,152410,182477,104458,120960,1764634
ALGARIN,40,485104,2145574,21,09,015,Cuauht??moc,09015,118886,115171,101606,122602,98496,21773,71885,107136,50803,96768,109814,96768,1111709
ALTAVISTA,41,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,152064,149990,120960,153965,134784,125798,121651,123206,84672,113357,101779,130637,1512864
AMADO NERVO ,42,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ANTONIO M. ANZA,43,483287,2146238,36,09,015,Cuauht??moc,09015,49766,50890,41126,45619,44064,4838,RE,RE,4838,82944,29462,FE,353549
ARENAL SAN ANGEL,44,480917,2139244,38,09,003,Coyoac?ín,09003,118886,123206,106445,128304,101088,94349,118886,85709,104026,102298,109814,84672,1277683
ARNAIZ ROSENDO ,45,480411,2143138,39,09,014,Benito Ju?írez,09014,52531,50890,53222,74131,82944,29030,RH,RH,RH,RH,FS,7258,350006
AV. D. CASTILLO,46,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
AXOTLA,47,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,47002,45533,33869,42768,36288,9677,5530,34819,RE,27648,29462,26611,339206
BENJAMIN FRANKLIN,48,480957,2145692,87,09,016,Miguel Hidalgo,09016,11059,34819,31450,37066,31104,29030,38707,37498,33869,33178,32141,29030,378950
CAMPESTRE,49,483850,2140451,92,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,33869,RE,RE,RE,33869
CAMPOS ELISEOS ,50,478852,2148058,94,09,016,Miguel Hidalgo,09016,110592,109814,91930,88387,18144,36288,63590,58925,RE,60826,61603,53222,753322
CASA AMARILLA,51,480065,2145785,98,09,016,Miguel Hidalgo,09016,171418,155347,118541,148262,127008,128218,160358,152669,58061,146534,160704,135475,1662595
CEDROS Y MOLIERE,52,478706,2148642,104,09,016,Miguel Hidalgo,09016,91238,93744,82253,74131,90720,77414,96768,93744,140314,99533,88387,72576,1100822
CHAPULTEPEC MORALES,53,480327,2148642,113,09,016,Miguel Hidalgo,09016,85709,85709,55642,65578,36288,58061,74650,99101,82253,96768,85709,94349,919814
CICERON,54,478413,2148337,119,09,016,Miguel Hidalgo,09016,71885,69638,62899,74131,64800,55642,44237,45533,87091,41472,42854,36288,696470
DIAGONAL SAN ANTONIO,55,484551,2144735,139,09,014,Benito Ju?írez,09014,35942,133920,118541,142560,121824,94349,129946,147312,41126,149299,149990,125798,1390608
DIRECTO #22,56,477696,2134789,144,09,012,Tlalpan,09012,107827,101779,84672,111197,25920,26611,30413,2678,130637,RH,8035,24192,653962
HUERTAS DEL CARMEN,57,480757,2138752,175,09,003,Coyoac?ín,09003,102298,99101,84672,111197,98496,72576,88474,99101,RH,102298,104458,99187,1061856
IRRIGACION,58,478175,2149700,177,09,016,Miguel Hidalgo,09016,52531,53568,50803,54173,38880,RH,RH,RH,94349,52531,FS,FS,396835
JARDIN DE SAN JACINTO,59,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,160358,158026,118541,153965,145152,67738,88474,74995,36288,110592,109814,99187,1323130
JARDINES DEL PEDREGAL #1 ,60,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,96768,RN,RN,RN,96768
JARDINES DEL PEDREGAL #2 ,61,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,11059,13392,12096,11405,0,0,PA,0,RN,0,0,PA,47952
JARDINES DEL PEDREGAL #3 ,62,479590,2136089,199,09,003,Coyoac?ín,09003,RN,RN,RN,RN,RN,RH,RH,RH,0,RH,RH,RN,0
JARDINES DEL PEDREGAL #4-B,63,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,105062,112493,82253,99792,72576,101606,116122,109814,RH,124416,133920,116122,1174176
JARDINES DEL PEDREGAL #5-A,64,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,99187,RN,RN,RN,99187
JARDINES DEL PEDREGAL #5-B,65,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,110592,120528,104026,122602,127008,113702,132710,99101,RN,102298,101779,123379,1257725
JARDIN MORELOS ,66,481303,2145227,194,09,016,Miguel Hidalgo,09016,RE,RE,RE,RE,RE,RE,RE,RE,89510,RE,RE,RE,89510
JARDIN POMBO,67,480823,2144109,195,09,014,Benito Ju?írez,09014,30413,42854,55642,76982,64800,60480,55296,61603,RE,60826,66960,58061,633917
LA CAMPANA,68,480797,2141915,204,09,014,Benito Ju?írez,09014,154829,149990,130637,151114,150336,140314,154829,149990,55642,157594,144634,128218,1668125
HORMIGA,69,479959,2146530,174,09,016,Miguel Hidalgo,09016,55296,58925,45965,51322,51840,48384,44237,40176,137894,44237,42854,38707,659837
LA HUERTA,70,483034,2142593,206,09,014,Benito Ju?írez,09014,149299,147312,96768,145411,139968,99187,107827,125885,38707,121651,128563,94349,1394928
LAGO GINEBRA,71,479224,2150276,209,09,016,Miguel Hidalgo,09016,88474,88387,79834,88387,64800,48384,77414,56246,116122,91238,83030,9677,891994
LEGARIA,72,478689,2150496,210,09,016,Miguel Hidalgo,09016,96768,107136,58061,76982,77760,70157,74650,107136,62899,85709,112493,101606,1031357
MAR MEDITERRANEO,73,481776,2150834,216,09,016,Miguel Hidalgo,09016,88474,85709,74995,82685,80352,74995,69120,69638,94349,63590,64282,55642,903830
MARINA NACIONAL #1,74,481481,2149520,217,09,016,Miguel Hidalgo,09016,74650,74995,58061,65578,80352,65318,58061,42854,58061,30413,61603,79834,749779
MARINA NACIONAL #2,75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,24192,RE,RE,RE,24192
MARINA NACIONAL #3,76,480760,2150404,218,09,016,Miguel Hidalgo,09016,71885,77674,70157,79834,72576,67738,77414,72317,RE,66355,66960,67738,790646
MARINA NACIONAL #4,77,480221,2151033,219,09,016,Miguel Hidalgo,09016,135475,125885,106445,122602,59616,14515,38707,32141,70157,52531,29462,36288,823824
MARTIRES DE TACUBAYA ,78,480664,2144482,220,09,014,Benito Ju?írez,09014,96768,83030,60480,62726,75168,67738,66355,61603,50803,58061,72317,82253,837302
MAYORAZGO,79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,45965,RE,RE,RE,45965
MIGUEL ALEMAN,80,485070,2143994,224,09,014,Benito Ju?írez,09014,RN,RN,RN,RN,RN,RN,RN,RN,RE,RN,RN,RN,0
MIRAFLORES,81,480622,2143758,228,09,014,Benito Ju?írez,09014,82944,112493,116122,134006,101088,99187,102298,120528,RN,121651,117850,91930,1200096
MIRAVALLE,82,485274,2140695,229,09,014,Benito Ju?írez,09014,116122,115171,101606,96941,111456,77414,129946,131242,106445,132710,131242,113702,1363997
MODERNA,83,485903,2144382,230,09,014,Benito Ju?írez,09014,30413,107136,91930,88387,90720,60480,110592,93744,118541,82944,112493,108864,1096243
MOLINO DEL REY ,84,479642,2147289,231,09,016,Miguel Hidalgo,09016,85709,88387,77414,91238,82944,77414,88474,88387,99187,88474,88387,77414,1033430
NAPOLES,85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,79834,RE,RE,RE,79834
NATIVITAS,86,485550,2142726,236,09,014,Benito Ju?írez,09014,69120,66960,58061,68429,44064,33869,30413,40176,RE,38707,37498,33869,521165
NATIVITAS ,87,485550,2142726,236,09,014,Benito Ju?írez,09014,127181,133920,113702,142560,90720,101606,154829,182131,33869,185242,163382,164506,1593648
NORMANDIA,88,485856,2141928,247,09,007,Iztapalapa,09007,171418,166061,145152,173923,150336,89510,118886,141955,154829,129946,147312,137894,1727222
NUEVO MIGUEL ALEMAN,89,485108,2143877,249,09,014,Benito Ju?írez,09014,129946,120528,142733,162518,152928,128218,160358,155347,123379,160358,155347,104026,1695686
ORTIZ RUBIO ,90,485111,2142220,253,09,014,Benito Ju?írez,09014,176947,179453,147571,182477,152928,12096,FE,61603,142733,141005,117850,108864,1423526
P. MARISCAL SUCRE ,91,483060,2143897,254,09,014,Benito Ju?írez,09014,RE,133920,145152,151114,165888,147571,176947,163382,118541,160358,152669,108864,1624406
PARQUE DE LOS VENADOS,92,483779,2141901,270,09,014,Benito Ju?írez,09014,160358,155347,130637,151114,98496,70157,135475,112493,164506,149299,141955,120960,1590797
PARROQUIA #1,93,483206,2141726,271,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,123379,RE,RE,RE,123379
PARROQUIA #2,94,483206,2141726,272,09,014,Benito Ju?írez,09014,5530,5357,4838,2851,28512,21773,2765,2678,RE,2765,2678,2419,82166
PERIODISTA,95,477073,2150067,312,09,016,Miguel Hidalgo,09016,19354,109814,113702,148262,114048,108864,58061,50890,2419,47002,66960,72576,911952
PIRULERA ,96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,113357,141955,99187,131155,88128,101606,94003,91066,48384,102298,96422,125798,1233360
POPOTLA ARBOL,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,94349,RE,RE,RE,94349
PORTALES ,98,484686,2140946,317,09,014,Benito Ju?írez,09014,121651,117850,104026,125453,82944,41126,94003,69638,RE,138240,139277,113702,1147910
RADIO MIL,99,484258,2143551,353,09,014,Benito Ju?írez,09014,102298,80352,58061,51322,111456,108864,113357,115171,118541,121651,120528,101606,1203206
RIO SAN JOAQUIN,100,477902,2150276,363,09,016,Miguel Hidalgo,09016,FE,FE,FE,FE,FE,FE,FE,FE,99187,RH,RH,FE,99187
SALESIANO,101,481404,2150143,379,09,016,Miguel Hidalgo,09016,146534,144634,128218,151114,28512,RH,RH,RH,RH,RH,RH,65318,664330
SAN BORJA,102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RH,RE,RE,RE,0
SAN FELIPE POPOTLA,103,481648,2151031,380,09,016,Miguel Hidalgo,09016,163123,187488,108864,128304,155520,125798,168653,160704,RE,157594,163382,145152,1664582
SAN JOAQUIN TACUBA,104,478238,2150738,386,09,016,Miguel Hidalgo,09016,124416,158026,120960,153965,152928,116122,107827,141955,157248,138240,149990,125798,1647475
TACUBA,105,480210,2151387,459,09,016,Miguel Hidalgo,09016,80179,80352,70157,82685,54432,26611,13824,13392,133056,49766,66960,43546,714960
TIZAPAN,106,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,163123,163382,135475,159667,132192,120960,141005,141955,4838,124416,128563,128218,1543795
VERONICA ,107,481682,2148727,555,09,016,Miguel Hidalgo,09016,160358,179453,154829,185328,173664,162086,185242,160704,123379,146534,174096,142733,1948406
VIADUCTO ,108,481343,2144628,556,09,014,Benito Ju?írez,09014,94003,88387,94349,122602,80352,96768,52531,56246,128218,60826,34819,41126,950227
VISTA ALEGRE,109,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,43546,RE,RE,RE,43546
ACOXPA #31,110,485192,2133795,5,09,012,Tlalpan,09012,27648,42854,21773,92275,26816,88387,44064,41126,173578,50443,60826,58925,728715
ACOXPA #32,111,485455,2133735,6,09,012,Tlalpan,09012,235008,230342,210470,675821,196400,248054,222912,208051,679018,197329,235008,230342,3568756
AJUSCO,112,483445,2136071,14,09,003,Coyoac?ín,09003,116122,128563,101606,346291,100636,119750,103680,96768,320198,93053,110592,107136,1744396
ALTILLO UNIVERSIDAD,113,481103,2138473,23,09,003,Coyoac?ín,09003,49766,53568,43546,146880,42685,51322,46656,43546,141523,41128,49766,48211,758597
BOSQUES DE TETLALMEYA,114,484033,2133858,90,09,003,Coyoac?ín,09003,129946,128563,113702,372211,108168,134006,121824,104026,359856,104578,118886,115171,1910938
CARACOL,115,482972,2134511,96,09,003,Coyoac?ín,09003,80179,88387,70157,238723,69375,82685,75168,70157,228010,66262,71885,69638,1210626
CEDRAL,116,488152,2135509,103,09,003,Coyoac?ín,09003,135475,133920,118541,387936,112738,139709,127008,118541,385258,111960,135475,131242,2037802
COLONIA DEL CARMEN FRAGATA ,117,483260,2139989,127,09,003,Coyoac?ín,09003,113357,112493,99187,325037,94459,116899,119232,108864,344995,100259,124416,123206,1782404
COPILCO UNIVERSIDAD,118,480690,2137954,128,09,003,Coyoac?ín,09003,27648,32141,24192,83981,24406,25661,FE,FE,25661,7457,FE,RH,251146
COUNTRY CLUB,119,485226,2139758,129,09,003,Coyoac?ín,09003,41472,42854,36288,120614,35052,42768,38880,36288,117936,34273,41472,40176,628074
DEPORTIVO CANTIL,120,483864,2138082,133,09,003,Coyoac?ín,09003,138240,141955,120960,401155,116580,142560,129600,120960,393120,114245,138240,133920,2091535
DEPORTIVO DURANGO ,121,483374,2135359,134,09,003,Coyoac?ín,09003,RE,50890,74995,125885,36583,76982,132192,120960,330134,95940,138240,133920,1316721
DIRECTO #18,122,489804,2135343,140,09,013,Xochimilco,09013,143770,149990,125798,419558,121928,148262,139968,130637,418867,121727,135475,131242,2187223
DIRECTO #19,123,481368,2134327,141,09,012,Tlalpan,09012,69120,69638,55642,194400,56495,65578,59616,55642,180835,52553,66355,64282,990155
DIRECTO #20-B ,124,480015,2134312,142,09,003,Coyoac?ín,09003,251597,249091,215309,715997,208076,253757,233280,217728,704765,204812,254362,246413,3755186
DIRECTO #21,125,479873,2134178,143,09,012,Tlalpan,09012,102298,109814,87091,299203,86951,102643,93312,55642,251597,73117,RH,RH,1261668
DIRECTO #24,126,482128,2135810,145,09,003,Coyoac?ín,09003,116122,133920,94349,344390,100083,111197,101088,94349,306634,89111,102298,99101,1692640
DIRECTO #25,127,483719,2134751,146,09,003,Coyoac?ín,09003,RH,37498,65318,102816,29879,76982,51840,48384,177206,51498,99533,96422,837377
EDUCACION #1,128,485357,2138170,147,09,003,Coyoac?ín,09003,69120,74995,60480,204595,59457,71280,82944,77414,231638,67316,88474,85709,1173423
EDUCACION #2 (N) ,129,486192,2137920,148,09,003,Coyoac?ín,09003,52531,58925,45965,157421,45748,54173,49248,45965,149386,43413,52531,50890,806195
HUIPULCO ,130,485681,2132491,176,09,012,Tlalpan,09012,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
ISSSTE COAPA #1,131,487057,2133526,179,09,012,Tlalpan,09012,138240,152669,120960,411869,119693,142560,124416,116122,383098,111332,141005,136598,2098561
ISSSTE COAPA #2,132,488733,2133590,180,09,012,Tlalpan,09012,77414,61603,50803,189821,55164,59875,80352,74995,215222,62546,88474,85709,1101979
ISSSTE COAPA #3,133,487084,2134763,181,09,003,Coyoac?ín,09003,107827,96422,74995,279245,81151,88387,80352,74995,243734,70832,91238,88387,1377567
ISSSTE COAPA #4,134,487494,2135343,182,09,003,Coyoac?ín,09003,80179,190166,159667,430013,124966,188179,171072,159667,518918,150803,182477,176774,2532883
LA CIENEGA,135,483898,2137741,205,09,003,Coyoac?ín,09003,71885,77674,62899,212458,61742,74131,69984,65318,209434,60863,74650,72317,1113354
LOS COYOTES ,136,487314,2135852,214,09,003,Coyoac?ín,09003,5530,0,4838,10368,3013,5702,5184,4838,15725,4570,5530,8035,73333
LOS REYES COYOACAN,137,483778,2138641,215,09,003,Coyoac?ín,09003,49766,37498,24192,111456,32390,28512,28512,26611,83635,24305,30413,29462,506753
METRO C.U.,138,481622,2136504,223,09,003,Coyoac?ín,09003,27648,29462,24192,81302,23627,28512,25920,24192,78624,22849,22118,13392,401839
MULTIF. COAPA #7 ,139,486679,2133212,233,09,012,Tlalpan,09012,85709,83030,50803,219542,63801,59875,54432,50803,165110,47983,52531,50890,984510
MULTIF. COAPA #8 ,140,487734,2132727,234,09,013,Xochimilco,09013,138240,147312,120960,406512,118136,142560,129600,120960,393120,114245,138240,133920,2103805
NAHUATLACAS ,141,483445,2136059,235,09,003,Coyoac?ín,09003,135475,147312,104026,386813,112412,139709,116640,108864,365213,106134,124416,120528,1967541
PASEOS DE TAXQUENA,142,486893,2138915,273,09,003,Coyoac?ín,09003,55296,61603,48384,165283,48033,74131,64800,60480,199411,57951,60826,64282,960480
PEDREGAL DE CARRASCO ,143,482587,2134705,276,09,003,Coyoac?ín,09003,69120,66960,55642,191722,55716,54173,51840,48384,154397,44869,49766,48211,890799
PEDREGAL DE SAN FRANCISCO,144,482687,2138340,277,09,003,Coyoac?ín,09003,DC,DC,DC,0,0,DC,DC,DC,0,0,DC,DC,0
PEDREGAL DE SANTO DOMINGO,145,482109,2136073,278,09,003,Coyoac?ín,09003,80179,80352,70157,230688,67040,82685,93312,87091,263088,76456,94003,91066,1316117
PEDREGAL IMAN,146,481901,2135103,279,09,003,Coyoac?ín,09003,141005,149990,123379,414374,120421,145411,132192,123379,400982,116529,141005,136598,2145267
PERIFERICO #1,147,485573,2136312,293,09,003,Coyoac?ín,09003,RE,93744,133056,226800,65910,156816,142560,133056,432432,125669,152064,147312,1809419
PERIFERICO #2,148,486493,2134490,304,09,012,Tlalpan,09012,82944,91066,72576,246586,71660,85536,77760,72576,235872,68547,82944,80352,1268418
PERIFERICO #3,149,484822,2133935,305,09,012,Tlalpan,09012,44237,72317,58061,174614,50745,68429,49248,45965,163642,47556,52531,53568,880912
PERIFERICO #4,150,484272,2133665,306,09,012,Tlalpan,09012,77414,85709,67738,230861,67090,79834,72576,67738,220147,63977,77414,74995,1185493
PERIFERICO #6,151,484192,2132586,308,09,012,Tlalpan,09012, ,5357, ,5357,1557, , , ,0,0, , ,12271
PERIFERICO #10,152,486333,2132216,294,09,013,Xochimilco,09013,113357,101779,65318,280454,81503,79834,72576,67738,220147,63977,77414,56246,1280344
PERIFERICO #11,153,488634,2132855,295,09,013,Xochimilco,09013,138240,136598,120960,395798,115023,142560,129600,120960,393120,114245,138240,133920,2079265
PERIFERICO #12,154,488153,2133115,296,09,012,Tlalpan,09012,138240,147312,120960,406512,118136,125453,FE,FE,125453,36458,FE,85709,1304232
PERIFERICO #13,155,486343,2136134,297,09,003,Coyoac?ín,09003,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
PERIFERICO #14,156,488083,2134134,298,09,003,Coyoac?ín,09003,143770,131242,84672,359683,104528,99792,90720,84672,275184,79971,96768,93744,1644745
PERIFERICO #15,157,485969,2135229,299,09,003,Coyoac?ín,09003,69120,74995,60480,204595,59457,71280,64800,60480,196560,57122,69120,66960,1054969
PERIFERICO #16,158,489444,2134015,300,09,013,Xochimilco,09013,RE,RE,RE,0,0,65578,119232,29030,213840,62144,RH,RH,489824
PERIFERICO #17,159,489484,2134564,301,09,013,Xochimilco,09013,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
PERIFERICO #19,160,488874,2136877,303,09,003,Coyoac?ín,09003,55296,61603,48384,165283,48033,57024,51840,48384,157248,45698,55296,34819,828909
POZO 20 DE AGOSTO ,161,487195,2138577,318,09,003,Coyoac?ín,09003,19354,21427,16934,57715,16773,19958,18144,16934,55037,15994,19354,18749,296373
PRADOS CHURUBUSCO ,162,486699,2140007,320,09,003,Coyoac?ín,09003,152064,166061,133056,451181,131118,156816,142560,133056,432432,125669,152064,147312,2323389
PREPARATORIA #5 (N) ,163,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,0,0,RE,RE,RE,0,0,RE,RE,0
REY MOCTEZUMA,164,483541,2137081,360,09,003,Coyoac?ín,09003,152064,166061,133056,451181,131118,156816,147744,137894,442454,128582,157594,152669,2357233
ROMERO DE TERREROS,165,482187,2138640,364,09,003,Coyoac?ín,09003,154829,163382,135475,453686,131846,159667,155520,145152,460339,133779,165888,160704,2420268
