GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15847229
1993,,,,,,,,,,,,,,,,,,,,,435135111
,,524,,,,,,,,,,,,,,,,,,,457473744
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,87091,99792,74995,84672,105840,91930,91930,111888,89510,99101,102816,72576,1112141
AHUIZOTLA,2,478008,2153563,13,09,002,Azcapotzalco,09002,38707,48384,38707,36288,45360,36288,36288,42336,31450,37498,45360,21773,458438
ATORON #6,3,482692,2154553,44,09,002,Azcapotzalco,09002,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,0
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,125798,148176,104026,116122,148176,116122,101606,166320,133056,147312,160272,113702,1580688
CAMPAMENTO AZCAPOTZALCO,5,480744,2154714,91,09,002,Azcapotzalco,09002,87091,93744,65318,84672,102816,84672,84672,108864,87091,96422,96768,82253,1074384
CLAVERIA,6,480901,2152320,120,09,002,Azcapotzalco,09002,87091,105840,58061,84672,105840,84672,84672,99792,79834,96422,33264,65318,985478
DEPORTIVO FERRERIA,7,482973,2152823,135,09,002,Azcapotzalco,09002,53222,130032,96768,106445,123984,106445,106445,120960,106445,117850,127008,84672,1280275
DEPORTIVO REYNOSA,8,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,147571,214704,164506,125798,178416,120960,130637,199584,140314,158026,202608,104026,1887149
HOGAR Y SEGURIDAD,9,482157,2152446,173,09,002,Azcapotzalco,09002,REHAB.,REHAB.,REHAB.,RECUP.,REHAB.,REHAB.,RECUP.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,0
JARDIN SAN ALVARO,10,480945,2151587,196,09,016,Miguel Hidalgo,09016,94349,117936,89510,72576,123984,94349,99187,120960,96768,101779,111888,99187,1222474
NUEVA SANTA MARIA,11,482650,2152058,248,09,002,Azcapotzalco,09002,94349,102816,82253,94349,117936,87091,87091,105840,79834,107136,123984,53222,1135901
OBRERO POPULAR,12,481957,2152026,250,09,002,Azcapotzalco,09002,89510,127008,101606,101606,127008,96768,96768,105840,96768,107136,105840,36288,1192147
PANAMERICANA,13,484759,2153609,262,09,005,Gustavo A. Madero,09005,29030,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,29030
PANTACO #1,14,482283,2154851,263,09,002,Azcapotzalco,09002,79834,102816,82253,77414,90720,70157,74995,99792,84672,93744,99792,74995,1031184
PANTACO #2,15,482419,2154039,264,09,002,Azcapotzalco,09002,67738,84672,67738,62899,84672,70157,70157,93744,45965,REHAB.,REHAB.,REHAB.,647741
PANTACO #3,16,482304,2153389,265,09,002,Azcapotzalco,09002,43546,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,109814,111888,101606,366854
PARQUE TEZOZOMOC,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,29030,147312,157248,128218,461808
PETROLERA,18,479198,2154207,313,09,002,Azcapotzalco,09002,50803,60480,50803,33869,51408,45965,48384,57456,45965,53568,60480,48384,607565
PRADOS DEL ROSARIO,19,478144,2155925,321,09,002,Azcapotzalco,09002,120960,151200,120960,113702,133056,89510,111283,139104,106445,123206,136080,84672,1430179
PRO-HOGAR,20,483605,2152928,323,09,002,Azcapotzalco,09002,82253,81648,74995,91930,105840,70157,70157,99792,84672,96422,96768,72576,1027210
PROVIDENCIA,21,478144,2155181,324,09,002,Azcapotzalco,09002,50803,69552,45965,55642,63504,58061,55642,72576,45965,37498,57456,38707,651370
PRESIDENTE MADERO,22,478895,2155313,322,09,002,Azcapotzalco,09002,99187,130032,99187,108864,117936,96768,106445,139104,108864,123206,87696,116122,1333411
SANTA CATARINA AZCAPOTZALCO,23,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,62899,84672,67738,62899,81648,55642,41126,72576,62899,58925,72576,29030,752630
SAN JUAN TLIHUACA,24,478946,2154626,388,09,002,Azcapotzalco,09002,29030,36288,26611,26611,33264,26611,26611,39312,29030,34819,36288,29030,373507
SAN MARTIN XOCHINAHUAC #1,25,479995,2155926,415,09,002,Azcapotzalco,09002,29030,33264,21773,29030,30240,36288,36288,51408,41126,45533,39312,36288,429581
SAN MARTIN XOCHINAHUAC #2,26,478781,2155913,416,09,002,Azcapotzalco,09002,176602,223776,179021,154829,166320,137894,130637,202608,91930,208915,199584,169344,2041459
SAN MIGUEL AMANTLA,27,478540,2153210,417,09,002,Azcapotzalco,09002,87091,108864,84672,43546,84672,82253,87091,105840,84672,96422,111888,84672,1061683
SAN PEDRO XALPA #1,28,478126,2154207,421,09,002,Azcapotzalco,09002,65318,87696,70157,31450,45360,36288,41126,48384,65318,77674,54432,38707,661910
SAN PEDRO XALPA #2,29,477447,2154531,422,09,002,Azcapotzalco,09002,55642,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,84672,REHAB.,REHAB.,REHAB.,31450,171763
TRABAJADORES DEL HIERRO,30,484108,2153620,503,09,002,Azcapotzalco,09002,135475,145152,120960,133056,139104,125798,133056,136080,135475,149990,160272,133056,1647475
VALLE DEL TEPEYAC,31,485252,2154857,535,09,005,Gustavo A. Madero,09005,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,0
VILLAS AZCAPOTZALCO,32,479576,2155276,566,09,002,Azcapotzalco,09002,94349,120960,74995,99187,111888,91930,77414,102816,45965,93744,99792,87091,1100131
ABASOLO JARDIN ,33,484606,2150489,2,09,015,Cuauht??moc,09015,135475,133920,108864,131155,114048,101606,63590,FE,FE,FE,FE,FE,788659
ACACIAS,34,481862,2140960,4,09,014,Benito Ju?írez,09014,102298,109814,67738,91238,57024,43546,69120,66960,60480,71885,64282,53222,857606
ALAMEDA DE SANTA MARIA,35,483553,2150442,15,09,015,Cuauht??moc,09015,163123,160704,142733,162518,165888,152410,152064,149990,128218,171418,93744,137894,1780704
ALAMEDA DE TACUBAYA,36,480571,2145040,16,09,016,Miguel Hidalgo,09016,176947,163382,154829,188179,137376,116122,193536,184810,176602,218419,206237,147571,2064010
ALAMOS JARDIN #1,37,485190,2144841,17,09,014,Benito Ju?írez,09014,52531,58925,48384,59875,41472,45965,77414,80352,65318,85709,77674,79834,773453
ALAMOS JARDIN #2,38,485124,2145120,18,09,014,Benito Ju?írez,09014,157594,152669,137894,165370,145152,89510,127181,133920,111283,110592,83030,36288,1450483
ALBERT Y BERLIN,39,485377,2141715,19,09,014,Benito Ju?írez,09014,165888,163382,140314,171072,134784,96768,171418,160704,152410,182477,104458,120960,1764634
ALGARIN,40,485104,2145574,21,09,015,Cuauht??moc,09015,118886,115171,101606,122602,98496,21773,71885,107136,50803,96768,109814,96768,1111709
ALTAVISTA,41,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,152064,149990,120960,153965,134784,125798,121651,123206,84672,113357,101779,130637,1512864
AMADO NERVO ,42,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ANTONIO M. ANZA,43,483287,2146238,36,09,015,Cuauht??moc,09015,49766,50890,41126,45619,44064,4838,RE,RE,4838,82944,29462,FE,353549
ARENAL SAN ANGEL,44,480917,2139244,38,09,003,Coyoac?ín,09003,118886,123206,106445,128304,101088,94349,118886,85709,104026,102298,109814,84672,1277683
ARNAIZ ROSENDO ,45,480411,2143138,39,09,014,Benito Ju?írez,09014,52531,50890,53222,74131,82944,29030,RH,RH,RH,RH,FS,7258,350006
AV. D. CASTILLO,46,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
AXOTLA,47,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,47002,45533,33869,42768,36288,9677,5530,34819,RE,27648,29462,26611,339206
BENJAMIN FRANKLIN,48,480957,2145692,87,09,016,Miguel Hidalgo,09016,11059,34819,31450,37066,31104,29030,38707,37498,33869,33178,32141,29030,378950
CAMPESTRE,49,483850,2140451,92,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,33869,RE,RE,RE,33869
CAMPOS ELISEOS ,50,478852,2148058,94,09,016,Miguel Hidalgo,09016,110592,109814,91930,88387,18144,36288,63590,58925,RE,60826,61603,53222,753322
CASA AMARILLA,51,480065,2145785,98,09,016,Miguel Hidalgo,09016,171418,155347,118541,148262,127008,128218,160358,152669,58061,146534,160704,135475,1662595
CEDROS Y MOLIERE,52,478706,2148642,104,09,016,Miguel Hidalgo,09016,91238,93744,82253,74131,90720,77414,96768,93744,140314,99533,88387,72576,1100822
CHAPULTEPEC MORALES,53,480327,2148642,113,09,016,Miguel Hidalgo,09016,85709,85709,55642,65578,36288,58061,74650,99101,82253,96768,85709,94349,919814
CICERON,54,478413,2148337,119,09,016,Miguel Hidalgo,09016,71885,69638,62899,74131,64800,55642,44237,45533,87091,41472,42854,36288,696470
DIAGONAL SAN ANTONIO,55,484551,2144735,139,09,014,Benito Ju?írez,09014,35942,133920,118541,142560,121824,94349,129946,147312,41126,149299,149990,125798,1390608
DIRECTO #22,56,477696,2134789,144,09,012,Tlalpan,09012,107827,101779,84672,111197,25920,26611,30413,2678,130637,RH,8035,24192,653962
HUERTAS DEL CARMEN,57,480757,2138752,175,09,003,Coyoac?ín,09003,102298,99101,84672,111197,98496,72576,88474,99101,RH,102298,104458,99187,1061856
IRRIGACION,58,478175,2149700,177,09,016,Miguel Hidalgo,09016,52531,53568,50803,54173,38880,RH,RH,RH,94349,52531,FS,FS,396835
JARDIN DE SAN JACINTO,59,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,160358,158026,118541,153965,145152,67738,88474,74995,36288,110592,109814,99187,1323130
JARDINES DEL PEDREGAL #1 ,60,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,96768,RN,RN,RN,96768
JARDINES DEL PEDREGAL #2 ,61,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,11059,13392,12096,11405,0,0,PA,0,RN,0,0,PA,47952
JARDINES DEL PEDREGAL #3 ,62,479590,2136089,199,09,003,Coyoac?ín,09003,RN,RN,RN,RN,RN,RH,RH,RH,0,RH,RH,RN,0
