GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,6378135
2012,,,,,,,,,,,,,,,,,,,,,412374534
,,503,,,,,,,,,,,,,,,,,,,429648399
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,116122,FE,FE,124416,147312,133056,149299,147312,149299,128218,141955,133056,1370045
CAMPAMENTO AZCAPOTZALCO,2,480744,2154714,91,09,002,Azcapotzalco,09002,179712,159667,176774,179712,163382,157248,182477,174096,179712,159667,174096,159667,2046210
CAMPO ENCANTADO,3,479219,2153704,93,09,002,Azcapotzalco,09002,163123,145152,160704,163123,160704,142733,163123,160704,165888,101606,160704,145152,1832716
CLAVERIA ,4,480901,2152320,120,09,002,Azcapotzalco,09002,132710,82253,141955,154829,149990,137894,157594,149990,157594,137894,149990,135475,1688168
DEPORTIVO FERRERIA,5,482973,2152823,135,09,002,Azcapotzalco,09002,88474,45965,88387,88474,88387,79834,88474,85709,80179,77414,85709,77414,974420
DEPORTIVO REYNOSA ,6,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,152064,130637,144634,113357,144634,130637,146534,141955,149299,128218,144634,130637,1657240
HOGAR Y SEGURIDAD ,7,482157,2152446,173,09,002,Azcapotzalco,09002,127181,55642,131242,132710,136598,120960,141005,136598,141005,120960,83030,FE,1326931
JARDIN SAN ALVARO ,8,480945,2151587,196,09,016,Miguel Hidalgo,09016,5530,19354,77674,82944,83030,74995,82944,80352,82944,74995,83030,72576,820368
LA PASTORA,9,482599,2159283,207,09,005,Gustavo A. Madero,09005,110592,96768,107136,105062,101779,91930,105062,101779,105062,65318,72317,65318,1128123
NUEVA SANTA MARIA ,10,482650,2152058,248,09,002,Azcapotzalco,09002,149299,79834,166061,163123,163382,147571,168653,160704,165888,82253,88387,82253,1617408
OBRERO POPULAR ,11,481957,2152026,250,09,002,Azcapotzalco,09002,110592,116122,128563,127181,131242,118541,129946,131242,132710,145152,160704,145152,1577147
PANTACO #1 ,12,482283,2154851,263,09,002,Azcapotzalco,09002,124416,113702,117850,102298,123206,111283,127181,120528,113357,118541,131242,118541,1422145
PANTACO #2 ,13,482419,2154039,264,09,002,Azcapotzalco,09002,FE,FE,5357,85709,112493,101606,116122,112493,113357,31450,34819,33869,747275
PANTACO #3 ,14,482304,2153389,265,09,002,Azcapotzalco,09002,102298,87091,93744,80179,96422,87091,102298,96422,99533,104026,112493,101606,1163203
PARQUE TEZOZOMOC,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,185242,62899,149990,154829,139277,137894,157594,149990,146534,87091,99101,87091,1557532
PETROLERA,16,479198,2154207,313,09,002,Azcapotzalco,09002,107827,82253,91066,94003,91066,82253,94003,91066,94003,137894,152669,135475,1253578
PRADOS DEL ROSARIO,17,478144,2155925,321,09,002,Azcapotzalco,09002,82944,41126,80352,82944,83030,72576,82944,80352,82944,72576,80352,72576,914716
PRESIDENTE MADERO ,18,478895,2155313,322,09,002,Azcapotzalco,09002,99533,89510,99101,99533,99101,87091,99533,96422,99533,87091,96422,87091,1139961
PRO-HOGAR,19,483605,2152928,323,09,002,Azcapotzalco,09002,107827,43546,91066,107827,107136,16934,FE,FE,58061,82253,91066,82253,787969
PROVIDENCIA ,20,478144,2155181,324,09,002,Azcapotzalco,09002,85709,84672,93744,94003,91066,82253,94003,91066,63590,58061,174096,159667,1171930
SAN JUAN TLIHUACA ,21,478946,2154626,388,09,002,Azcapotzalco,09002,138240,70157,136598,138240,136598,120960,138240,133920,141005,123379,136598,123379,1537314
SAN MARTIN XOCHINAHUAC #1 ,22,479995,2155926,415,09,002,Azcapotzalco,09002,69120,62899,69638,69120,69638,60480,71885,66960,69120,21773,FE,FE,630633
SAN MARTIN XOCHINAHUAC #2 ,23,478781,2155913,416,09,002,Azcapotzalco,09002,105062,94349,104458,105062,104458,94349,105062,101779,105062,91930,101779,89510,1202860
SAN MIGUEL AMANTLA,24,478540,2153210,417,09,002,Azcapotzalco,09002,127181,99187,107136,107827,107136,96768,110592,107136,110592,96768,107136,94349,1271808
SAN PEDRO XALPA #1,25,478126,2154207,421,09,002,Azcapotzalco,09002,RE,RE,RE,RE,RE,RE,RE,RE,RE,RH,RH,RH,0
SAN PEDRO XALPA #2,26,477447,2154531,422,09,002,Azcapotzalco,09002,116122,116122,128563,129946,128563,116122,132710,128563,129946,113702,125885,116122,1482366
SANTA CATARINA AZCAPOTZALCO,27,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
AHUIZOTLA,28,478008,2153563,13,09,002,Azcapotzalco,09002,107827,94349,74995,107827,104458,94349,107827,104458,107827,94349,104458,94349,1197073
TRABAJADORES DEL HIERRO ,29,484108,2153620,503,09,002,Azcapotzalco,09002,143770,128218,141955,141005,136598,123379,141005,144634,149299,123379,136598,123379,1633219
VILLAS AZCAPOTZALCO,30,479576,2155276,566,09,002,Azcapotzalco,09002,96768,87091,96422,99533,99101,87091,99533,96422,99533,84672,96422,87091,1129679
ABASOLO JARDIN ,31,484606,2150489,2,09,015,Cuauht??moc,09015,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
ACACIAS,32,481862,2140960,4,09,014,Benito Ju?írez,09014,FS,FS,FS,19354,FS,FS,FS,FS,FS,FS,FS,FS,19354
ALAMEDA DE SANTA MARIA,33,483553,2150442,15,09,015,Cuauht??moc,09015,160358,142733,166061,188006,171418,162086,91238,58925,110592,91930,32141,96768,1472256
ALAMEDA DE TACUBAYA,34,480571,2145040,16,09,016,Miguel Hidalgo,09016,210125,154829,158026,168653,152669,152410,185242,176774,185242,169344,166061,162086,2041461
ALAMOS JARDIN #1,35,485190,2144841,17,09,014,Benito Ju?írez,09014,FS,62899,48211,49766,42854,38707,33178,56246,52531,53222,5357,21773,464744
ALAMOS JARDIN #2,36,485124,2145120,18,09,014,Benito Ju?írez,09014,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0
ALBERT Y BERLIN,37,485377,2141715,19,09,014,Benito Ju?írez,09014,105062,82253,115171,141005,128563,60480,2765,83030,88474,104026,115171,101606,1127606
ALGARIN,38,485104,2145574,21,09,015,Cuauht??moc,09015,91238,58061,77674,91238,88387,77414,88474,85709,88474,67738,83030,74995,972432
ALTAVISTA,39,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,33178,26611,53568,49766,66960,65318,69120,56246,80179,89510,141955,142733,875144
AMADO NERVO ,40,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ANTONIO M. ANZA,41,483287,2146238,36,09,015,Cuauht??moc,09015,146534,128218,115171,124416,115171,104026,41472,131242,135475,123379,133920,123379,1422403
ARENAL SAN ANGEL,42,480917,2139244,38,09,003,Coyoac?ín,09003,60826,38707,83030,85709,91066,101606,94003,117850,127181,62899,64282,74995,1002154
ARNAIZ ROSENDO ,43,480411,2143138,39,09,014,Benito Ju?írez,09014,113357,82253,99101,107827,112493,101606,102298,91066,116122,58061,FS,60480,1044664
AV. D. CASTILLO,44,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
AXOTLA,45,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,FS,2419,FS,11059,13392,19354,8294,21427,22118,4838,FS,FS,102901
BENJAMIN FRANKLIN,46,480957,2145692,87,09,016,Miguel Hidalgo,09016,24883,29030,37498,41472,32141,36288,44237,42854,38707,29030,26784,12096,395020
CAMPESTRE,47,483850,2140451,92,09,014,Benito Ju?írez,09014,74650,70157,109814,88474,104458,79834,121651,107136,99533,62899,58925,55642,1033173
CAMPOS ELISEOS ,48,478852,2148058,94,09,016,Miguel Hidalgo,09016,66355,53222,61603,66355,88387,55642,69120,66960,71885,65318,72317,65318,802482
CASA AMARILLA,49,480065,2145785,98,09,016,Miguel Hidalgo,09016,82944,89510,72317,99533,109814,60480,55296,107136,102298,94349,83030,84672,1041379
CEDROS Y MOLIERE,50,478706,2148642,104,09,016,Miguel Hidalgo,09016,66355,74995,88387,96768,91066,84672,94003,91066,80179,77414,91066,94349,1030320
CHAPULTEPEC MORALES,51,480327,2148642,113,09,016,Miguel Hidalgo,09016,168653,26611,FS,60826,115171,142733,165888,176774,179712,145152,160704,140314,1482538
CICERON,52,478413,2148337,119,09,016,Miguel Hidalgo,09016,127181,108864,123206,113357,74995,65318,49766,66960,71885,58061,72317,58061,989971
DIAGONAL SAN ANTONIO,53,484551,2144735,139,09,014,Benito Ju?írez,09014,116122,33869,93744,105062,93744,84672,99533,96422,99533,48384,FS,FS,871085
DIRECTO #22,54,477696,2134789,144,09,012,Tlalpan,09012,96768,91930,99101,63590,FS,FS,FS,FS,FS,FS,FS,FS,351389
HUERTAS DEL CARMEN,55,480757,2138752,175,09,003,Coyoac?ín,09003,124416,108864,109814,121651,123206,96768,80179,85709,105062,84672,107136,99187,1246664
IRRIGACION,56,478175,2149700,177,09,016,Miguel Hidalgo,09016,49766,36288,45533,63590,16070,RE,RE,RE,RE,RE,RE,RE,211247
JARDIN DE SAN JACINTO,57,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,PA,PA,21427,44237,18749,FS,FS,FS,FS,4838,24106,21773,135130
JARDINES DEL PEDREGAL #1 ,58,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,FE,FE,FE,FE,FE,FE,FE,FS,FS,FS,FS,9677,9677
JARDINES DEL PEDREGAL #2 ,59,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,PA,PA,PA,PA,40176,24192,16589,2678,PA,PA,PA,PA,83635
JARDINES DEL PEDREGAL #3 ,60,479590,2136089,199,09,003,Coyoac?ín,09003,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,0
JARDINES DEL PEDREGAL #4-B,61,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,49766,53222,61603,110592,235699,55642,47002,69638,11059,FS,FS,FS,694223
JARDINES DEL PEDREGAL #5-A,62,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
JARDINES DEL PEDREGAL #5-B,63,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,201830,16934,5357,55296,83030,84672,138240,128563,135475,96768,32141,133056,1111362
JARDIN MORELOS ,64,481303,2145227,194,09,016,Miguel Hidalgo,09016,69120,14515,85709,210125,174096,191117,127181,117850,141005,113702,125885,104026,1474331
JARDIN POMBO,65,480823,2144109,195,09,014,Benito Ju?írez,09014,FS,FS,FE,FE,FS,FS,FS,FS,FS,FS,FS,FS,0
LA CAMPANA,66,480797,2141915,204,09,014,Benito Ju?írez,09014,127181,118541,96422,129946,120528,108864,132710,133920,141005,123379,133920,118541,1484957
HORMIGA,67,479959,2146530,174,09,016,Miguel Hidalgo,09016,16589,26611,26784,30413,32141,24192,33178,29462,30413,29030,16070,FS,294883
LA HUERTA,68,483034,2142593,206,09,014,Benito Ju?írez,09014,141005,123379,115171,124416,125885,123379,124416,120528,129946,65318,42854,26611,1262908
LAGO GINEBRA,69,479224,2150276,209,09,016,Miguel Hidalgo,09016,FS,48384,72317,85709,40176,60480,88474,112493,132710,125798,13392,FS,779933
LEGARIA,70,478689,2150496,210,09,016,Miguel Hidalgo,09016,113357,116122,133920,121651,72317,96768,127181,139277,113357,125798,147312,142733,1449793
MAR MEDITERRANEO,71,481776,2150834,216,09,016,Miguel Hidalgo,09016,55296,38707,58925,66355,64282,58061,66355,64282,52531,60480,5357,FS,590631
MARINA NACIONAL #1,72,481481,2149520,217,09,016,Miguel Hidalgo,09016,71885,58061,61603,58061,53568,55642,60826,66960,69120,41126,66960,84672,748484
MARINA NACIONAL #3,73,480760,2150404,218,09,016,Miguel Hidalgo,09016,47002,164506,163382,157594,166061,149990,107827,190166,168653,125798,141955,106445,1689379
MARINA NACIONAL #4,74,480221,2151033,219,09,016,Miguel Hidalgo,09016,152064,149990,152669,165888,168739,162086,182477,203558,199066,191117,192845,193536,2114035
MARTIRES DE TACUBAYA ,75,480664,2144482,220,09,014,Benito Ju?írez,09014,105062,89510,91066,69120,80352,70157,35942,FS,FS,FS,FS,FS,541209
MIGUEL ALEMAN,76,485070,2143994,224,09,014,Benito Ju?írez,09014,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
MIRAFLORES,77,480622,2143758,228,09,014,Benito Ju?írez,09014,99533,24192,101779,118886,93744,79834,74650,77674,110592,101606,80352,101606,1064448
MIRAVALLE,78,485274,2140695,229,09,014,Benito Ju?írez,09014,FS,87091,91066,94003,101779,91930,110592,109814,88474,89510,77674,FS,941933
MODERNA,79,485903,2144382,230,09,014,Benito Ju?írez,09014,74650,53222,32141,44237,48211,41126,44237,40176,35942,29030,34819,29030,506821
MOLINO DEL REY ,80,479642,2147289,231,09,016,Miguel Hidalgo,09016,63590,43546,50890,55296,45533,48384,49766,50890,52531,43546,69638,70157,643767
NATIVITAS,81,485550,2142726,236,09,014,Benito Ju?írez,09014,41472,33869,16070,38707,37498,36288,49766,48211,44237,26611,FS,FS,372729
NATIVITAS ,82,485550,2142726,236,09,014,Benito Ju?írez,09014,157594,137894,104458,157594,152669,62899,116122,133920,121651,133056,149990,125798,1553645
NORMANDIA,83,485856,2141928,247,09,007,Iztapalapa,09007,85709,82253,80352,110592,34819,53222,47002,53568,52531,41126,32141,FS,673315
NUEVO MIGUEL ALEMAN,84,485108,2143877,249,09,014,Benito Ju?írez,09014,118886,87091,123206,121651,125885,106445,116122,107136,129946,113702,58925,72576,1281571
ORTIZ RUBIO ,85,485111,2142220,253,09,014,Benito Ju?írez,09014,143770,123379,128563,88474,101779,77414,107827,117850,107827,108864,117850,106445,1330042
P. MARISCAL SUCRE ,86,483060,2143897,254,09,014,Benito Ju?írez,09014,52531,24192,160704,138240,160704,24192,188006,160704,174182,149990,163382,133056,1529883
PARQUE DE LOS VENADOS,87,483779,2141901,270,09,014,Benito Ju?írez,09014,129946,140314,158026,182477,171418,154829,163123,155347,160358,140314,128563,55642,1740357
PARROQUIA #1,88,483206,2141726,271,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PARROQUIA #2,89,483206,2141726,272,09,014,Benito Ju?írez,09014,0,2419,2678,2765,2678,FE,2765,5357,5530,4838,5357,4838,39225
PERIODISTA,90,477073,2150067,312,09,016,Miguel Hidalgo,09016,129946,101606,107136,105062,74995,108864,107827,120528,129946,106445,125885,116122,1334362
PIRULERA ,91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47002,53222,80352,110592,96422,125798,135475,139277,146534,123379,139277,123379,1320709
POPOTLA ARBOL,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
PORTALES ,93,484686,2140946,317,09,014,Benito Ju?írez,09014,182477,152410,171418,141005,136598,125798,143770,139277,80179,33869,FS,FS,1306801
RADIO MIL,94,484258,2143551,353,09,014,Benito Ju?írez,09014,113357,99187,74995,121651,117850,111283,121651,120528,77414,FS,FS,FS,957916
RIO SAN JOAQUIN,95,477902,2150276,363,09,016,Miguel Hidalgo,09016,55296,7258,FS,19354,40176,38707,52531,120528,71885,116122,26784,16934,565575
SALESIANO,96,481404,2150143,379,09,016,Miguel Hidalgo,09016,91238,19354,FS,16589,34819,125798,96768,96422,85709,70157,42854,62899,742607
SAN FELIPE POPOTLA,97,481648,2151031,380,09,016,Miguel Hidalgo,09016,129946,111283,72317,88474,85709,79834,88474,83030,16589,45965,83030,65318,949969
SAN JOAQUIN TACUBA,98,478238,2150738,386,09,016,Miguel Hidalgo,09016,154829,101606,128563,124416,136598,120960,105062,152669,110592,36288,83030,74995,1329608
TACUBA,99,480210,2151387,459,09,016,Miguel Hidalgo,09016,69120,9677,FS,FS,FS,FE,FE,FE,FE,FE,FE,FE,78797
TIZAPAN,100,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,63590,82253,96422,88474,91066,82253,80179,88387,74650,96768,80352,89510,1013904
VERONICA ,101,481682,2148727,555,09,016,Miguel Hidalgo,09016,132710,133056,158026,160358,133920,118541,165888,104458,165888,145152,160704,140314,1719015
VIADUCTO ,102,481343,2144628,556,09,014,Benito Ju?írez,09014,82944,91930,107136,121651,112493,79834,49766,131242,124416,125798,88387,FS,1115597
VISTA ALEGRE,103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ACOXPA #31,104,485192,2133795,5,09,012,Tlalpan,09012,146534,128218,141955,143770,136598,89510,102298,99101,99533,84672,93744,91930,1357863
ACOXPA #32,105,485455,2133735,6,09,012,Tlalpan,09012,240538,210470,233021,240538,216950,195955,246067,238378,240538,181440,214272,203213,2661380
AJUSCO,106,483445,2136071,14,09,003,Coyoac?ín,09003,60826,55642,45533,35942,58925,48384,47002,53568,55296,45965,85709,82253,675045
ALTILLO UNIVERSIDAD,107,481103,2138473,23,09,003,Coyoac?ín,09003,88474,77414,80352,69120,80352,77414,74650,77674,77414,72576,72317,77414,925171
AV. UNIVERSIDAD,108,481697,2139753,79,09,003,Coyoac?ín,09003,60826,53222,58925,60826,58925,53222,60826,58925,60826,53222,58925,53222,691892
BOSQUES DE TETLALMEYA,109,484033,2133858,90,09,003,Coyoac?ín,09003,124416,108864,117850,110592,120528,108864,124416,120528,113357,106445,109814,104026,1369700
CARACOL,110,482972,2134511,96,09,003,Coyoac?ín,09003,91238,79834,88387,91238,88387,79834,91238,88387,91238,29030,85709,72576,977096
CEDRAL,111,488152,2135509,103,09,003,Coyoac?ín,09003,105062,91930,101779,105062,101779,91930,107827,104458,107827,94349,104458,94349,1210810
COLONIA DEL CARMEN FRAGATA ,112,483260,2139989,127,09,003,Coyoac?ín,09003,105062,91930,115171,118886,115171,104026,118886,115171,118886,104026,115171,104026,1326412
COPILCO UNIVERSIDAD,113,480690,2137954,128,09,003,Coyoac?ín,09003,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0
COUNTRY CLUB,114,485226,2139758,129,09,003,Coyoac?ín,09003,35942,31450,34819,35942,34819,33869,35942,37498,24883,26611,34819,31450,398044
DEPORTIVO CANTIL,115,483864,2138082,133,09,003,Coyoac?ín,09003,107827,104026,112493,127181,125885,111283,127181,117850,121651,104026,125885,113702,1398990
DEPORTIVO DURANGO ,116,483374,2135359,134,09,003,Coyoac?ín,09003,99533,87091,96422,99533,96422,87091,99533,96422,99533,87091,96422,87091,1132184
DIRECTO #18,117,489804,2135343,140,09,013,Xochimilco,09013,88474,77414,85709,88474,85709,70157,55296,72317,77414,45965,83030,82253,912212
DIRECTO #19,118,481368,2134327,141,09,012,Tlalpan,09012,47002,41126,45533,47002,45533,41126,47002,34819,DT,FS,FS,FS,349143
DIRECTO #20-B ,119,480015,2134312,142,09,003,Coyoac?ín,09003,165888,157248,125885,152064,168739,140314,171418,56246,19354,154829,155347,140314,1607646
DIRECTO #21,120,479873,2134178,143,09,012,Tlalpan,09012,102298,91930,91066,88474,83030,82253,88474,80352,94003,72576,64282,89510,1028248
DIRECTO #24,121,482128,2135810,145,09,003,Coyoac?ín,09003,110592,96768,93744,96768,99101,89510,105062,101779,105062,91930,93744,84672,1168732
DIRECTO #25,122,483719,2134751,146,09,003,Coyoac?ín,09003,107827,94349,101779,105062,93744,84672,99533,96422,88474,72576,77674,79834,1101946
EDUCACION #1,123,485357,2138170,147,09,003,Coyoac?ín,09003,94003,82253,91066,94003,91066,82253,94003,69638,71885,62899,69638,62899,965606
