GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,28715994,
2014,,,,,,,,,,,,,,,,,,,,,418997351,
,,519,,,,,,,,,,,,,,,,,,,458681917,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
VERONICA ,140,481682,2148727,555,09,016,Miguel Hidalgo,09016,149990,142733,160704,98496,117850,111456,123206,117850,111456,107136,145152,147312,1533341,0.04862 
VIADUCTO ,141,481343,2144628,556,09,014,Benito Ju?írez,09014,131242,116122,136598,124416,131242,127008,131242,141955,137376,123206,64800,80352,1445559,0.04584 
VISTA ALEGRE,142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,24106,18144,32141,74391,0.00236 
ACOXPA #31,143,485192,2133795,5,09,012,Tlalpan,09012,99101,91930,117850,108864,86046,87798,109814,109814,106272,109814,106272,109814,1243389,0.03943 
ACOXPA #32,144,485455,2133735,6,09,012,Tlalpan,09012,208915,193536,206237,191808,145322,160607,190166,200880,199584,104458,FS,FS,1801513,0.05713 
AJUSCO,145,483445,2136071,14,09,003,Coyoac?ín,09003,88387,82253,91066,80352,63100,68525,83030,88387,80352,85709,82944,88387,982492,0.03115 
ALTILLO UNIVERSIDAD,146,481103,2138473,23,09,003,Coyoac?ín,09003,104458,96768,104458,95904,72661,81374,96422,101779,85536,99101,95904,99101,1133466,0.03594 
AV. UNIVERSIDAD,147,481697,2139753,79,09,003,Coyoac?ín,09003,56246,77414,112493,103680,80309,96364,112493,131242,129600,125885,127008,107136,1259870,0.03995 
BOSQUES DE TETLALMEYA,148,484033,2133858,90,09,003,Coyoac?ín,09003,72317,60480,72317,90720,70749,23556,29462,29462,36288,74995,98496,123206,782048,0.02480 
CARACOL,149,482972,2134511,96,09,003,Coyoac?ín,09003,74995,70157,74995,75168,59276,62101,80352,83030,72576,40176,38880,40176,771882,0.02448 
CEDRAL,150,488152,2135509,103,09,003,Coyoac?ín,09003,37498,36288,37498,36288,26770,40687,50890,50890,49248,50890,49248,50890,517085,0.01640 
COLONIA DEL CARMEN FRAGATA ,151,483260,2139989,127,09,003,Coyoac?ín,09003,133920,123379,128563,116640,91782,128485,158026,158026,152928,152669,155520,158026,1657964,0.05257 
COPILCO UNIVERSIDAD,152,480690,2137954,128,09,003,Coyoac?ín,09003,72317,45965,58925,57024,45891,51394,64282,64282,62208,64282,62208,64282,713060,0.02261 
COUNTRY CLUB,153,485226,2139758,129,09,003,Coyoac?ín,09003,34819,33869,37498,57024,42067,47111,58925,58925,44064,58925,54432,58925,586584,0.01860 
DEPORTIVO CANTIL,154,483864,2138082,133,09,003,Coyoac?ín,09003,123206,113702,123206,80352,63100,70667,80352,88387,82944,77674,85536,85709,1074835,0.03408 
DEPORTIVO DURANGO ,155,483374,2135359,134,09,003,Coyoac?ín,09003,88387,84672,91066,72576,65012,70667,85709,91066,80352,85709,85536,88387,989139,0.03137 
DIRECTO #18,156,489804,2135343,140,09,013,Xochimilco,09013,72317,65318,66960,62208,47803,53536,64282,69638,49248,56246,57024,58925,723505,0.02294 
DIRECTO #19,157,481368,2134327,141,09,012,Tlalpan,09012,FS,FS,FS,FS,FS,FS,FS,FS,54432,56246,54432,56246,221356,0.00702 
DIRECTO #20-B ,158,480015,2134312,142,09,003,Coyoac?ín,09003,133920,123379,123206,116640,91782,100647,120528,123206,111456,112493,114048,117850,1389155,0.04405 
DIRECTO #21,159,479873,2134178,143,09,012,Tlalpan,09012,56246,53222,77674,72576,57364,62101,77674,77674,72576,72317,72576,72317,824317,0.02614 
DIRECTO #24,160,482128,2135810,145,09,003,Coyoac?ín,09003,101779,96768,115171,114048,87958,96364,120528,120528,116640,117850,119232,120528,1327394,0.04209 
DIRECTO #25,161,483719,2134751,146,09,003,Coyoac?ín,09003,115171,106445,115171,103680,68837,81374,91066,91066,82944,88387,77760,85709,1107610,0.03512 
EDUCACION #1,162,485357,2138170,147,09,003,Coyoac?ín,09003,FE,FE,83030,57024,42067,55677,69638,69638,67392,69638,67392,96422,677918,0.02150 
EDUCACION #2 (N) ,163,486192,2137920,148,09,003,Coyoac?ín,09003,56246,50803,61603,59616,45891,51394,64282,66960,62208,61603,62208,56246,699060,0.02217 
HUIPULCO ,164,485681,2132491,176,09,012,Tlalpan,09012,187488,169344,187488,155520,114728,132768,168739,168739,158112,160704,163296,168739,1935665,0.06138 
ISSSTE COAPA #1,165,487057,2133526,179,09,012,Tlalpan,09012,128563,120960,117850,103680,87958,92081,128563,128563,121824,99101,119232,125885,1374260,0.04358 
ISSSTE COAPA #2,166,488733,2133590,180,09,012,Tlalpan,09012,128563,118541,131242,127008,93694,2141,FS,45533,46656,45533,57024,66960,862895,0.02736 
ISSSTE COAPA #3,167,487084,2134763,181,09,003,Coyoac?ín,09003,107136,82253,107136,98496,76485,87798,112493,69638,44064,FE,111456,115171,1012126,0.03209 
ISSSTE COAPA #4,168,487494,2135343,182,09,003,Coyoac?ín,09003,128563,118541,131242,121824,93694,115637,158026,158026,152928,158026,152928,158026,1647461,0.05224 
LA CIENEGA,169,483898,2137741,205,09,003,Coyoac?ín,09003,152669,142733,155347,139968,108991,124202,152669,155347,150336,155347,145152,152669,1735430,0.05503 
LOS COYOTES ,170,487314,2135852,214,09,003,Coyoac?ín,09003,115171,104026,123206,77760,15297,68525,85709,85709,82944,85709,82944,85709,1012709,0.03211 
LOS REYES COYOACAN,171,483778,2138641,215,09,003,Coyoac?ín,09003,125885,116122,125885,116640,91782,92081,115171,117850,106272,144634,139968,141955,1434245,0.04548 
METRO C.U.,172,481622,2136504,223,09,003,Coyoac?ín,09003,139277,125798,139277,132192,97518,81374,101779,101779,103680,107136,101088,32141,1263039,0.04005 
MULTIF. COAPA #7 ,173,486679,2133212,233,09,012,Tlalpan,09012,112493,106445,115171,108864,84134,FS,66960,99101,98496,101779,82944,107136,1083523,0.03436 
MULTIF. COAPA #8 ,174,487734,2132727,234,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
NAHUATLACAS ,175,483445,2136059,235,09,003,Coyoac?ín,09003,125885,118541,149990,137376,105167,81374,131242,141955,137376,141955,137376,141955,1550192,0.04916 
PASEOS DE TAXQUENA,176,486893,2138915,273,09,003,Coyoac?ín,09003,93744,84672,91066,90720,68837,77091,99101,99101,93312,96422,93312,96422,1083800,0.03437 
PEDREGAL DE CARRASCO ,177,482587,2134705,276,09,003,Coyoac?ín,09003,125885,101606,117850,114048,89870,107071,107136,109814,127008,117850,124416,125885,1368439,0.04339 
PEDREGAL DE SAN FRANCISCO,178,482687,2138340,277,09,003,Coyoac?ín,09003,RE,33869,91066,64800,47803,70667,88387,91066,85536,88387,85536,77674,824791,0.02615 
PEDREGAL DE SANTO DOMINGO,179,482109,2136073,278,09,003,Coyoac?ín,09003,101779,84672,83030,90720,84134,94223,112493,117850,95904,96422,98496,101779,1161502,0.03683 
PEDREGAL IMAN,180,481901,2135103,279,09,003,Coyoac?ín,09003,58925,53222,58925,64800,49715,124202,155347,26784,FS,FS,FS,FS,591920,0.01877 
PERIFERICO #1,181,485573,2136312,293,09,003,Coyoac?ín,09003,123206,82253,93744,44064,66924,64243,64282,64282,114048,117850,108864,85709,1029469,0.03264 
PERIFERICO #2,182,486493,2134490,304,09,012,Tlalpan,09012,125885,116122,125885,121824,93694,104930,128563,131242,127008,128563,127008,133920,1464644,0.04644 
PERIFERICO #3,183,484822,2133935,305,09,012,Tlalpan,09012,83030,74995,85709,80352,61188,68525,85709,88387,82944,85709,85536,85709,967793,0.03069 
PERIFERICO #4,184,484272,2133665,306,09,012,Tlalpan,09012,115171,84672,104458,90720,78397,92081,112493,117850,98496,115171,111456,117850,1238815,0.03928 
PERIFERICO #10,185,486333,2132216,294,09,013,Xochimilco,09013,58925,53222,58925,57024,42067,111354,136598,141955,132192,131242,134784,139277,1197565,0.03797 
PERIFERICO #11,186,488634,2132855,295,09,013,Xochimilco,09013,120528,108864,120528,116640,86046,92081,117850,120528,116640,117850,114048,115171,1346774,0.04271 
PERIFERICO #12,187,488153,2133115,296,09,012,Tlalpan,09012,115171,104026,115171,111456,82221,8566,10714,10714,10368,10714,10368,10714,600203,0.01903 
PERIFERICO #13,188,486343,2136134,297,09,003,Coyoac?ín,09003,85709,77414,85709,82944,61188,98505,123206,123206,116640,123206,116640,123206,1217573,0.03861 
PERIFERICO #14,189,488083,2134134,298,09,003,Coyoac?ín,09003,109814,101606,109814,101088,78397,92081,117850,117850,108864,117850,108864,117850,1281928,0.04065 
PERIFERICO #15,190,485969,2135229,299,09,003,Coyoac?ín,09003,166061,149990,168739,152928,120464,117778,152669,160704,139968,155347,150336,149990,1784974,0.05660 
PERIFERICO #16,191,489444,2134015,300,09,013,Xochimilco,09013,141955,123379,136598,132192,97518,109212,136598,136598,129600,133920,129600,133920,1541090,0.04887 
PERIFERICO #17,192,489484,2134564,301,09,013,Xochimilco,09013,149990,137894,147312,137376,107079,12849,16070,16070,15552,16070,15552,16070,787884,0.02498 
POZO 20 DE AGOSTO ,193,487195,2138577,318,09,003,Coyoac?ín,09003,160704,147571,160704,147744,114728,87798,21427,24106,75168,FS,FS,26784,966734,0.03065 
PRADOS CHURUBUSCO ,194,486699,2140007,320,09,003,Coyoac?ín,09003,107136,96768,99101,98496,72661,98505,176774,187488,178848,192845,186624,192845,1688091,0.05353 
PREPARATORIA #5 (N) ,195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,112493,104026,112493,108864,86046,94223,120528,120528,114048,117850,95904,117850,1304853,0.04138 
REY MOCTEZUMA,196,483541,2137081,360,09,003,Coyoac?ín,09003,101779,94349,101779,93312,72661,25697,42854,37498,38880,32141,38880,40176,720006,0.02283 
ROMERO DE TERREROS,197,482187,2138640,364,09,003,Coyoac?ín,09003,69638,65318,72317,69984,40155,66384,109814,93744,137376,123206,41472,FS,889408,0.02820 
RUIZ CORTINEZ,198,484853,2136072,365,09,003,Coyoac?ín,09003,107136,96768,107136,103680,80309,124202,155347,155347,150336,155347,150336,155347,1541291,0.04887 
SAN FRANCISCO CULHUACAN ,199,487793,2137344,382,09,003,Coyoac?ín,09003,77674,72576,77674,72576,57364,64243,80352,80352,75168,77674,77760,80352,893765,0.02834 
SAN NICOLAS TOLENTINO,200,485838,2133075,418,09,012,Tlalpan,09012,168739,152410,168739,155520,114728,23556,32141,42854,20736,5357,5184,32141,922105,0.02924 
SANTA URSULA,201,483587,2135232,448,09,003,Coyoac?ín,09003,136598,125798,115171,108864,87958,100647,125885,131242,103680,107136,101088,107136,1351203,0.04285 
SANTA URSULA COAPA,202,483956,2134956,449,09,003,Coyoac?ín,09003,133920,147571,166061,155520,108991,147758,120528,117850,95904,109814,98496,166061,1568474,0.04974 
TERRANOVA,203,480277,2137821,495,09,003,Coyoac?ín,09003,69638,62899,64282,62208,42067,47111,77674,77674,72576,74995,75168,77674,803966,0.02549 
VILLA OLIMPICA #1,204,480489,2134541,563,09,003,Coyoac?ín,09003,133920,125798,136598,127008,97518,87798,112493,112493,103680,109814,106272,104458,1357850,0.04306 
VIVEROS DEL RELOJ #1,205,485383,2135593,568,09,003,Coyoac?ín,09003,107136,94349,107136,64800,53540,59960,80352,91066,64800,72317,72576,74995,943027,0.02990 
VIVEROS DEL RELOJ #2,206,485353,2136042,569,09,003,Coyoac?ín,09003,77674,72576,80352,88128,66924,64243,18749,34819,FS,FS,FS,FS,503465,0.01596 
NORMANDIA,207,485856,2141928,247,09,007,Iztapalapa,09007,FE,FE,FE,62208,45891,51394,21427,21427,20736,21427,20736,21427,286673,0.00909 
ZAPOTECAS,208,483267,2136640,577,09,003,Coyoac?ín,09003,5357,74995,109814,101088,74573,83515,99101,101779,90720,117850,90720,91066,1040578,0.03300 
TULYEHUALCO SUR #1 ,209,489324,2133515,512,09,012,Tlalpan,09012,184668,165530,146131,146626,163274,85879,197107,227435,163649,27459,150073,233786,1891617,0.05998 
TULYEHUALCO SUR #2 ,210,488938,2133322,517,09,012,Tlalpan,09012,158287,205380,175899,157905,129583,120867,117032,49278,47276,15691,29181,FS,1206379,0.03825 
TULYEHUALCO SUR #3 ,211,488153,2133115,519,09,012,Tlalpan,09012,117250,122615,121776,104330,103666,3181,FS,FS,FS,FS,FS,FS,572818,0.01816 
TULYEHUALCO SUR #4 ,212,487881,2132804,525,09,013,Xochimilco,09013,FE,FE,259789,225578,246207,225830,215586,303246,283658,313820,325159,317281,2716154,0.08613 
TULYEHUALCO SUR #5 ,213,487503,2132636,526,09,013,Xochimilco,09013,120181,95026,86596,84592,103666,3181,3080,3791,3637,7845,4169,8350,524114,0.01662 
TULYEHUALCO SUR #6 ,214,487208,2132493,527,09,013,Xochimilco,09013,237431,236033,202960,200201,194374,66795,64676,79602,76369,82378,87543,87670,1616032,0.05124 
TULYEHUALCO SUR #7 ,215,486933,2132236,528,09,013,Xochimilco,09013,143631,116484,121776,121248,124399,63614,52357,45487,43640,35305,41687,25049,934677,0.02964 
TULYEHUALCO SUR #8 ,216,486105,2132113,529,09,013,Xochimilco,09013,96731,91961,81184,81772,98483,63614,80075,94764,83643,90223,95880,100194,1058524,0.03357 
TULYEHUALCO SUR #9 ,217,485351,2132095,530,09,012,Tlalpan,09012,117250,116484,83890,87412,82933,104963,104713,98555,94553,145142,158411,158641,1352947,0.04290 
TULYEHUALCO SUR #10 ,218,486333,2132216,513,09,013,Xochimilco,09013,131906,150203,132600,129707,134766,168577,150910,193319,178195,188292,195929,196214,1950618,0.06185 
TULYEHUALCO SUR #11 ,219,484473,2132617,514,09,012,Tlalpan,09012,164149,180857,127188,163544,134766,219469,203267,231225,232745,227519,216773,254660,2356162,0.07471 
TULYEHUALCO SUR #12 ,220,484107,2133070,515,09,012,Tlalpan,09012,149493,147138,97421,93051,88116,222649,175548,FS,FS,FS,FS,FS,973416,0.03087 
TULYEHUALCO SUR #13 ,221,486343,2136109,516,09,003,Coyoac?ín,09003,82075,42915,29767,39476,98483,101783,110873,140251,127282,137296,137567,137767,1185535,0.03759 
TULYEHUALCO SUR #23 ,222,489609,2135481,518,09,013,Xochimilco,09013,117250,174726,162368,160724,145132,197204,215586,219854,232745,239288,FE,FE,1864877,0.05913 
TULYEHUALCO SUR #33 ,223,489692,2133900,520,09,013,Xochimilco,09013,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0,0.00000 
TULYEHUALCO SUR #34 ,224,489568,2136213,521,09,013,Xochimilco,09013,61556,49046,54123,53575,57016,194023,255623,276712,294567,325588,346002,333980,2301811,0.07299 
TULYEHUALCO SUR #35 ,225,489834,2135709,522,09,013,Xochimilco,09013,105525,113419,100127,98690,95891,92240,89314,109927,138192,247133,262628,263010,1716096,0.05442 
TULYEHUALCO SUR #36 ,226,484773,2132258,523,09,012,Tlalpan,09012,102593,82765,197548,169184,98483,168577,80075,FS,FS,FS,FS,FS,899225,0.02851 
TULYEHUALCO SUR #38 ,227,489569,2136221,524,09,013,Xochimilco,09013,149493,128745,110951,115609,124399,92240,89314,109927,105462,113760,120892,121068,1381860,0.04382 
XOCHIMILCO #28 ,228,484437,2133089,570,09,012,Tlalpan,09012,108561,82912,116688,83588,93142,98496,137372,165964,166522,177540,142469,145132,1518386,0.04815 
XOCHIMILCO #29 ,229,484599,2133433,571,09,012,Tlalpan,09012,102175,82912,124137,119049,114637,109949,143478,180396,166522,181318,142469,151582,1618624,0.05133 
XOCHIMILCO #30 ,230,484641,2133825,572,09,012,Tlalpan,09012,100046,79596,114206,108917,119413,84753,119056,147925,138177,139766,120307,116106,1388268,0.04402 
ZAPATA #14 ,231,488083,2134134,573,09,003,Coyoac?ín,09003,68116,53064,114206,121582,121801,114531,82423,RH,RH,RH,47490,125781,848994,0.02692 
ZAPATA #15 ,232,483077,2134102,574,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0,0.00000 
ZAPATA #16 ,233,489444,2134015,575,09,013,Xochimilco,09013,108561,87887,124137,126648,114637,130565,140425,111846,127548,132211,123473,112881,1440819,0.04569 
ARENAL,234,485285,2131689,37,09,013,Xochimilco,09013,109814,113702,112493,114048,131242,127008,128563,125885,111456,123206,116640,104458,1418515,0.04498 
ARTESANIAS O VILLA OLIMPICA,235,480679,2133319,40,09,012,Tlalpan,09012,61603,79834,83030,82944,80352,82944,88387,83030,77760,85709,80352,32141,918086,0.02911 
BATAM ,236,477520,2137686,85,09,008,La Magdalena Contreras,09008,8035,7258,8035,7776,8035,7776,8035,8035,7776,8035,25920,26784,131500,0.00417 
BELISARIO DOMINGUEZ,237,481265,2133300,86,09,012,Tlalpan,09012,69638,48384,69638,67392,69638,67392,69638,69638,67392,69638,67392,69638,805418,0.02554 
BOSQUE TLALPAN #1,238,479688,2133363,88,09,012,Tlalpan,09012,77674,87091,112493,46656,58925,77760,91066,83030,18144,88387,59616,69638,870480,0.02760 
BOSQUE TLALPAN #2,239,479648,2133076,89,09,012,Tlalpan,09012,26784,29030,42854,18144,FS,FS,21427,42854,10368,53568,12960,FS,257989,0.00818 
CANAL #13,240,478437,2134424,95,09,012,Tlalpan,09012,74995,70157,77674,10368,FS,57024,224986,171418,222912,56246,20736,227664,1214180,0.03850 
CLUB DE GOLF #1 ,241,483400,2131600,122,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CLUB DE GOLF #2 ,242,483400,2131600,123,09,012,Tlalpan,09012,37498,33869,37498,36288,37498,36288,37498,37498,36288,37498,36288,37498,441507,0.01400 
CLUB DE GOLF #3 ,243,483400,2131600,124,09,012,Tlalpan,09012,24106,14515,16070,15552,16070,15552,16070,16070,15552,16070,15552,16070,197249,0.00625 
CLUB DE GOLF #4 ,244,483400,2131600,125,09,012,Tlalpan,09012,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,0,0.00000 
DALIAS,245,481889,2141303,132,09,014,Benito Ju?írez,09014,18749,16934,18749,18144,18749,23328,26784,26784,23328,24106,23328,40176,279159,0.00885 
DEPORTIVO VIVANCO ,246,483427,2139343,137,09,003,Coyoac?ín,09003,74995,72576,88387,69984,66960,36288,5357,FS,2592,74995,75168,85709,653011,0.02071 
DEPORTIVO XOCHITL ,247,481054,2132826,138,09,012,Tlalpan,09012,64282,36288,37498,31104,37498,33696,37498,8035,FS,FS,FS,FS,285899,0.00907 
EL CAMINERO ,248,481103,2138473,150,09,003,Coyoac?ín,09003,128563,106445,69638,85536,123206,124416,141955,136598,108864,136598,137376,147312,1446507,0.04587 
EL TREBOL,249,482401,2131586,151,09,012,Tlalpan,09012,42854,62899,58925,69984,72317,69984,72317,72317,67392,66960,57024,69638,782611,0.02482 
EL ZAPOTE,250,481267,2133874,152,09,012,Tlalpan,09012,74995,19354,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,94349,0.00299 
FOVISSSTE,251,480685,2132104,156,09,012,Tlalpan,09012,FS,FS,FS,FS,FS,FS,FS,FS,FS,FE,FS,FS,0,0.00000 
FUENTES BROTANTES #1,252,481550,2132467,159,09,012,Tlalpan,09012,8035,19354,26784,23328,24106,28512,32141,40176,46656,53568,38880,37498,379038,0.01202 
FUENTES BROTANTES #2,253,481296,2132279,160,09,012,Tlalpan,09012,18749,29030,37498,36288,34819,46656,56246,53568,49248,53568,49248,32141,497059,0.01576 
FUENTES DEL PEDREGAL ,254,476178,2134095,161,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,34819,69638,67392,69638,67392,69638,378517,0.01200 
GALEANA TLALPAN,255,482632,2132332,162,09,012,Tlalpan,09012,24106,21773,29462,10368,2678,23328,131242,133920,129600,26784,7776,13392,554429,0.01758 
HIDALGO TLALPAN,256,480912,2132969,172,09,012,Tlalpan,09012,93744,70157,80352,93312,85709,80352,99101,88387,80352,61603,59616,64282,956967,0.03035 
ISSFAM,257,483120,2131330,178,09,012,Tlalpan,09012,83030,72576,85709,75168,83030,80352,69638,80352,54432,85709,80352,85709,936057,0.02968 
JARDIN DE LA MONTANA #1,258,479273,2133860,191,09,012,Tlalpan,09012,2678,12096,24106,23328,21427,18144,13392,18749,23328,32141,38880,37498,265767,0.00843 
JARDIN DE LA MONTANA #2,259,478378,2133978,192,09,012,Tlalpan,09012,21427,19354,21427,20736,21427,20736,21427,21427,20736,21427,80352,83030,373506,0.01184 
LIMANTITLA,260,481534,2132038,211,09,012,Tlalpan,09012,69638,74995,77674,80352,74995,51840,32141,69638,82944,72317,20736,FS,707270,0.02243 
#37,261,483038,2133008,1,09,012,Tlalpan,09012,80352,65318,FS,46656,85709,80352,42854,72317,67392,61603,64800,48211,715564,0.02269 
PADIERNA #1,262,476778,2134389,255,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,RH,RH,28512,72317,69984,72317,243130,0.00771 
PADIERNA #2,263,476720,2134847,256,09,012,Tlalpan,09012,5357,14515,16070,10368,48211,64800,29462,5357,23328,5357,20736,53568,297129,0.00942 
PADIERNA #3,264,477226,2134706,257,09,012,Tlalpan,09012,64282,62899,69638,67392,61603,59616,61603,61603,57024,58925,57024,58925,740534,0.02348 
PADIERNA #4,265,476884,2135388,258,09,008,La Magdalena Contreras,09008,61603,53222,58925,57024,58925,54432,58925,58925,54432,58925,54432,58925,688695,0.02184 
PADIERNA #5,266,477814,2133790,259,09,012,Tlalpan,09012,120528,101606,109814,111456,128563,124416,136598,107136,59616,152669,147744,152669,1452815,0.04607 
PADIERNA PICACHO,267,476943,2133837,260,09,012,Tlalpan,09012,10714,9677,10714,10368,10714,10368,10714,10714,10368,10714,10368,10714,126147,0.00400 
PEDREGAL #2,268,478376,2140393,274,09,010,?ülvaro Obreg??n,09010,29462,24192,26784,25920,26784,25920,29462,16070,10368,10714,25920,26784,278380,0.00883 
PEDREGAL AGUILAS,269,482211,2130826,275,09,012,Tlalpan,09012,80352,65318,93744,82944,139277,51840,53568,53568,51840,37498,25920,29462,765331,0.02427 
PENA POBRE,270,479896,2133084,280,09,012,Tlalpan,09012,29462,26611,29462,28512,29462,28512,29462,29462,25920,26784,28512,29462,341623,0.01083 
PERIFERICO #5,271,483200,2133848,307,09,012,Tlalpan,09012,93744,82253,77674,80352,93744,88128,91066,91066,88128,91066,88128,91066,1056415,0.03350 
PERIFERICO #6,272,484192,2132586,308,09,012,Tlalpan,09012,26784,45965,93744,90720,104458,119232,120528,109814,121824,117850,124416,131242,1206577,0.03826 
PERIFERICO #7,273,483602,2132446,309,09,012,Tlalpan,09012,58925,50803,56246,51840,37498,36288,37498,37498,36288,37498,36288,37498,514168,0.01630 
R-1,274,483430,2130663,333,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
R-2,275,483177,2130602,338,09,012,Tlalpan,09012,13392,16934,8035,64800,72317,41472,42854,61603,59616,66960,59616,48211,555810,0.01762 
R-3,276,483552,2130452,346,09,012,Tlalpan,09012,34819,33869,42854,36288,37498,41472,40176,58925,57024,77674,67392,58925,586916,0.01861 
R-4,277,483815,2130811,347,09,012,Tlalpan,09012,10714,29030,56246,59616,53568,62208,83030,85709,82944,83030,82944,64282,753321,0.02389 
R-5,278,484339,2131154,348,09,012,Tlalpan,09012,32141,43546,66960,72576,61603,64800,66960,66960,64800,69638,67392,53568,730944,0.02318 
R-6,279,485210,2132061,349,09,013,Xochimilco,09013,26784,21773,26784,25920,2678,FS,FS,FS,FS,FS,FS,FS,103939,0.00330 
R-7,280,484935,2131404,350,09,012,Tlalpan,09012,FS,FS,FS,25920,53568,57024,56246,56246,54432,58925,33696,10714,406771,0.01290 
R-8,281,484693,2131234,351,09,012,Tlalpan,09012,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,0,0.00000 
R-9,282,484129,2130853,352,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
R-10,283,483792,2130536,334,09,012,Tlalpan,09012,5357,4838,5357,5184,5357,5184,5357,5357,5184,5357,5184,5357,63073,0.00200 
REINO AVENTURA ,284,477889,2133563,358,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,64282,64282,62208,64282,62208,64282,381544,0.01210 
SAN FERNANDO TLALPAN ,285,481638,2133393,381,09,012,Tlalpan,09012,69638,111283,26784,FS,131242,77760,88387,80352,FS,FE,64800,72317,722563,0.02291 
SAN JERONIMO #3 (ANZALDO) ,286,476723,2136300,385,09,008,La Magdalena Contreras,09008,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN PEDRO MARTIR #1,287,483072,2129627,420,09,012,Tlalpan,09012,91066,72576,91066,77760,83030,77760,80352,88387,77760,83030,85536,91066,999389,0.03169 
SAN RAMON,288,477947,2137711,423,09,008,La Magdalena Contreras,09008,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,29462,29462,0.00093 
SANTA CATARINA COYOACAN ,289,480791,2133270,439,09,012,Tlalpan,09012,37498,41126,50890,41472,45533,90720,56246,50890,51840,56246,54432,45533,622426,0.01974 
SUR #27 BIS ,290,483401,2133291,458,09,012,Tlalpan,09012,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
TLALCOLIGIA ,291,481921,2130816,499,09,012,Tlalpan,09012,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,62208,FS,62208,0.00197 
TOPILEJO ,292,486705,2123955,500,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TORIELLO ,293,483222,2133095,501,09,012,Tlalpan,09012,74995,67738,74995,72576,74995,72576,74995,74995,72576,74995,72576,74995,883007,0.02800 
VIADUCTO TLALPAN #1,294,483438,2132139,557,09,012,Tlalpan,09012,128563,113702,125885,124416,96422,93312,107136,107136,103680,107136,80352,FE,1187740,0.03766 
VIADUCTO TLALPAN #2,295,483032,2131706,558,09,012,Tlalpan,09012,FS,FS,FS,2592,163382,152928,214272,214272,189216,214272,132192,219629,1502755,0.04765 
VILLA OLIMPICA #2,296,480443,2134197,564,09,012,Tlalpan,09012,48211,43546,48211,46656,48211,46656,48211,48211,46656,48211,46656,48211,567647,0.01800 
VILLA OLIMPICA #3,297,479950,2133465,565,09,012,Tlalpan,09012,83030,74995,83030,80352,83030,80352,83030,83030,80352,83030,80352,83030,977613,0.03100 
SAN LUCAS XOCHIMANCA,298,487902,2127087,393,09,013,Xochimilco,09013,112493,99187,115171,106272,65012,72808,101779,139277,134784,139277,134784,139277,1360121,0.04313 
MIRADOR #1,299,494077,2127688,225,09,013,Xochimilco,09013,147312,113702,160704,145152,103255,137051,182131,152669,165888,168739,163296,166061,1805960,0.05727 
MIRADOR #2,300,494205,2127862,226,09,013,Xochimilco,09013,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
MIRADOR #3,301,494228,2127235,227,09,013,Xochimilco,09013,93744,84672,85709,98496,78397,85657,107136,109814,106272,109814,114048,109814,1183573,0.03753 
MONTE SUR #1 ,302,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69638,62899,64282,64800,51627,57818,61603,61603,62208,64282,59616,61603,741979,0.02353 
