GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,28715994,
2014,,,,,,,,,,,,,,,,,,,,,418997351,
,,519,,,,,,,,,,,,,,,,,,,458681917,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
SANTA CATARINA AZCAPOTZALCO,28,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
AHUIZOTLA,29,478008,2153563,13,09,002,Azcapotzalco,09002,136598,123379,136598,134784,139277,134784,139277,139277,134784,139277,134784,139277,1632096,0.05175 
TRABAJADORES DEL HIERRO ,30,484108,2153620,503,09,002,Azcapotzalco,09002,141955,128218,141955,137376,141955,137376,141955,141955,137376,141955,137376,139277,1668729,0.05292 
VILLAS AZCAPOTZALCO,31,479576,2155276,566,09,002,Azcapotzalco,09002,99101,89510,99101,95904,99101,95904,99101,99101,95904,99101,95904,99101,1166833,0.03700 
CHARCO CH-1 ,32,500847,2167840,114,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CHARCO CH-2 ,33,500736,2167827,115,15,033,Ecatepec de Morelos,15033,96998,84269,72677,123481,130662,120685,127305,84535,104258,109915,87844,94973,1237602,0.03924 
CHARCO CH-3 ,34,500412,2167644,116,15,033,Ecatepec de Morelos,15033,142643,125199,134586,142690,150988,139458,143910,141800,139011,33820,FS,FS,1294105,0.04104 
CHARCO CH-4 LA CURVA ,35,500369,2167720,117,15,033,Ecatepec de Morelos,15033,142643,125199,137278,139945,148084,136776,146677,144527,141684,149372,145492,157299,1714976,0.05438 
CHARCO CH-5 ,36,499937,2167754,118,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
GRAN CANAL GC-1,37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136938,120384,131895,137201,145181,134094,141142,133619,130991,138099,134512,142459,1626515,0.05158 
GRAN CANAL GC-2,38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136938,120384,131895,153666,162602,150186,132840,128166,104258,163464,161963,172138,1718500,0.05449 
GRAN CANAL GC-3,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,193995,168537,185729,175618,185831,171641,185422,179977,176437,174737,170199,186978,2155101,0.06834 
GRAN CANAL GC-4,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,188289,163722,180346,178362,191638,177004,182654,171796,168417,177556,172944,184010,2136738,0.06776 
SAN CRISTOBAL SC-1,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,105556,91492,99594,101529,107434,99230,105165,103623,101585,104279,104315,112780,1236582,0.03921 
SAN CRISTOBAL SC-2,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
SAN CRISTOBAL SC-3,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,151202,132422,145353,161898,136470,166277,174352,155435,139011,160646,164708,175106,1862880,0.05907 
SAN CRISTOBAL SC-4,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,182584,158906,172270,175618,191638,177004,185422,147254,144358,149372,148237,160267,1992930,0.06320 
TEPEXPAN NORTE TN-1,45,501040,2168028,488,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
