GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,20196895,
1991,,,,,,,,,,,,,,,,,,,,,527144288,
,,488,,,,,,,,,,,,,,,,,,,552661004,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,72317,91930,107136,103680,147312,101088,104458,107136,95904,104458,101088,104458,1240963,
AHUIZOTLA,2,478008,2153563,13,09,002,Azcapotzalco,09002,34819,26611,29462,25920,34819,25920,29462,40176,38880,42854,41472,42854,413251,
ATORON #6,3,482692,2154553,44,09,002,Azcapotzalco,09002,REPAR.,REPAR.,REPAR.,REPOS.,REPOS.,REPOS.,REPOS.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,0,
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,131242,137894,155347,145152,104458,114048,107136,139277,137376,141955,139968,133920,1587773,
CAMPAMENTO AZCAPOTZALCO,5,480744,2154714,91,09,002,Azcapotzalco,09002,96422,67738,101779,98496,96422,98496,96422,96422,98496,93744,88128,91066,1123632,
CLAVERIA,6,480901,2152320,120,09,002,Azcapotzalco,09002,53568,45965,56246,54432,42854,41472,37498,50890,33696,34819,33696,34819,519955,
DEPORTIVO FERRERIA,7,482973,2152823,135,09,002,Azcapotzalco,09002,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,18144,69638,66960,62208,72317,69984,74995,434246,
DEPORTIVO REYNOSA,8,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,174096,208051,147312,189216,233021,202176,184810,208915,191808,208915,199584,144634,2292538,
HOGAR Y SEGURIDAD,9,482157,2152446,173,09,002,Azcapotzalco,09002,85709,72576,58925,59616,5357,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,282182,
JARDIN SAN ALVARO,10,480945,2151587,196,09,016,Miguel Hidalgo,09016,112493,101606,88387,93312,109814,98496,99101,96422,82944,99101,85536,77674,1144886,
NUEVA SANTA MARIA,11,482650,2152058,248,09,002,Azcapotzalco,09002,99101,89510,115171,111456,96422,82944,85709,91066,90720,96422,93312,93744,1145578,
OBRERO POPULAR,12,481957,2152026,250,09,002,Azcapotzalco,09002,99101,101606,112493,103680,109814,93312,18749,91066,103680,64282,77760,107136,1082678,
PANTACO #1,13,482283,2154851,263,09,002,Azcapotzalco,09002,133920,99187,120528,114048,120528,106272,101779,107136,88128,101779,101088,93744,1288138,
PANTACO #2,14,482419,2154039,264,09,002,Azcapotzalco,09002,POZ.PAR,POZ.PAR,POZ.PAR,57024,61603,64800,61603,53568,57024,56246,51840,88387,552096,
PANTACO #3,15,482304,2153389,265,09,002,Azcapotzalco,09002,69638,74995,74995,114048,112493,93312,80352,99101,98496,104458,101088,101779,1124755,
PETROLERA,16,479198,2154207,313,09,002,Azcapotzalco,09002,24106,43546,48211,44064,50890,49248,45533,50890,49248,56246,41472,53568,557021,
PRADOS DEL ROSARIO,17,478144,2155925,321,09,002,Azcapotzalco,09002,80352,70157,85709,82944,80352,54432,42854,61603,101088,115171,145152,149990,1069805,
PRO-HOGAR,18,483605,2152928,323,09,002,Azcapotzalco,09002,107136,96768,99101,95904,115171,88128,61603,69638,85536,80352,77760,72317,1049414,
PROVIDENCIA,19,478144,2155181,324,09,002,Azcapotzalco,09002,74995,70157,66960,54432,66960,31104,42854,50890,51840,85709,80352,32141,708394,
PRESIDENTE MADERO,20,478895,2155313,322,09,002,Azcapotzalco,09002,136598,123379,155347,150336,133920,132192,136598,139277,134784,144634,132192,96422,1615680,
SANTA CATARINA AZCAPOTZALCO,21,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,34819,65318,69638,67392,29462,44064,40176,48211,31104,50890,69984,69638,620698,
SAN JUAN TLIHUACA,22,478946,2154626,388,09,002,Azcapotzalco,09002,45533,41126,45533,44064,50890,49248,50890,50890,46656,32141,31104,32141,520214,
SAN MARTIN XOCHINAHUAC #1,23,479995,2155926,415,09,002,Azcapotzalco,09002,48211,45965,64282,72576,69638,33696,37498,26784,23328,32141,33696,29462,517277,
SAN MARTIN XOCHINAHUAC #2,24,478781,2155913,416,09,002,Azcapotzalco,09002,107136,99187,109814,67392,117850,77760,77674,77674,101088,120528,116640,120528,1193270,
SAN MIGUEL AMANTLA,25,478540,2153210,417,09,002,Azcapotzalco,09002,123206,111283,117850,116640,109814,77760,77674,80352,88128,101779,98496,101779,1204762,
SAN PEDRO XALPA #1,26,478126,2154207,421,09,002,Azcapotzalco,09002,34819,31450,34819,54432,56246,33696,34819,32141,41472,50890,49248,50890,504922,
SAN PEDRO XALPA #2,27,477447,2154531,422,09,002,Azcapotzalco,09002,149990,135475,141955,90720,64282,51840,53568,58925,72576,64282,72576,69638,1025827,
TRABAJADORES DEL HIERRO,28,484108,2153620,503,09,002,Azcapotzalco,09002,99101,89510,115171,111456,88387,93312,96422,96422,88128,91066,88128,96422,1153526,
VALLE DEL TEPEYAC,29,485252,2154857,535,09,005,Gustavo A. Madero,09005,0,0,195523,199584,211594,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,606701,
VILLAS AZCAPOTZALCO,30,479576,2155276,566,09,002,Azcapotzalco,09002,96422,111283,115171,114048,85709,85536,88387,80352,85536,93744,90720,88387,1135296,
ABASOLO JARDIN ,31,484606,2150489,2,09,015,Cuauht??moc,09015,135475,133920,108864,378259,109926,131155,114048,101606,346810,100786,63590,0,1724440,1724440.0 
ACACIAS,32,481862,2140960,4,09,014,Benito Ju?írez,09014,102298,109814,67738,279850,81327,91238,57024,43546,191808,55741,69120,66960,1216463,
ALAMEDA DE SANTA MARIA,33,483553,2150442,15,09,015,Cuauht??moc,09015,163123,160704,142733,466560,135587,162518,165888,152410,480816,139730,152064,149990,2472123,
ALAMEDA DE TACUBAYA,34,480571,2145040,16,09,016,Miguel Hidalgo,09016,176947,163382,154829,495158,143898,188179,137376,116122,441677,128356,193536,184810,2524270,
ALAMOS JARDIN #1,35,485190,2144841,17,09,014,Benito Ju?írez,09014,52531,58925,48384,159840,46451,59875,41472,45965,147312,42810,77414,80352,861331,
ALAMOS JARDIN #2,36,485124,2145120,18,09,014,Benito Ju?írez,09014,157594,152669,137894,448157,130239,165370,145152,89510,400032,116253,127181,133920,2203970,
ALBERT Y BERLIN,37,485377,2141715,19,09,014,Benito Ju?írez,09014,165888,163382,140314,469584,136466,171072,134784,96768,402624,117007,171418,160704,2330011,
ALGARIN,38,485104,2145574,21,09,015,Cuauht??moc,09015,118886,115171,101606,335664,97547,122602,98496,21773,242870,70581,71885,107136,1504218,
