GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,31801164,
2015,,,,,,,,,,,,,,,,,,,,,454408121,
,,519,,,,,,,,,,,,,,,,,,,496149180,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,45533,130637,144634,139968,144634,139968,144634,144634,139968,144634,116640,FE,1435884,0.04553 
CAMPAMENTO AZCAPOTZALCO,2,480744,2154714,91,09,002,Azcapotzalco,09002,176774,162086,141955,173664,179453,173664,179453,174096,173664,176774,173664,179453,2064700,0.06547 
CAMPO ENCANTADO,3,479219,2153704,93,09,002,Azcapotzalco,09002,144634,130637,144634,139968,144634,139968,144634,37498,RH,RH,RH,RH,1026607,0.03255 
CLAVERIA ,4,480901,2152320,120,09,002,Azcapotzalco,09002,144634,130637,144634,139968,144634,139968,144634,144634,139968,144634,139968,144634,1702947,0.05400 
DEPORTIVO FERRERIA,5,482973,2152823,135,09,002,Azcapotzalco,09002,99101,89510,99101,95904,99101,95904,99101,99101,95904,99101,95904,99101,1166833,0.03700 
DEPORTIVO REYNOSA ,6,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,112493,12096,133920,129600,FS,72576,133920,53568,129600,96422,RH,RH,874195,0.02772 
HOGAR Y SEGURIDAD ,7,482157,2152446,173,09,002,Azcapotzalco,09002,139277,128218,141955,137376,141955,137376,141955,141955,137376,141955,137376,141955,1668729,0.05292 
JARDIN SAN ALVARO ,8,480945,2151587,196,09,016,Miguel Hidalgo,09016,83030,74995,83030,80352,83030,80352,83030,88387,85536,88387,85536,88387,1004052,0.03184 
LA PASTORA,9,482599,2159283,207,09,005,Gustavo A. Madero,09005,RH,RH,RH,RH,RH,62208,107136,107136,103680,107136,103680,107136,698112,0.02214 
