GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,9867117
2001,,,,,,,,,,,,,,,,,,,,,453756475
,,460,,,,,,,,,,,,,,,,,,,471910993
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AHUIZOTLA,1,478008,2153563,13,09,002,Azcapotzalco,09002,96768,87091,89510,102298,101779,91930,105062,101779,79834,87696,84672,79834,1108253
AZCAPOTZALCO #1,2,478498,2156819,81,09,002,Azcapotzalco,09002,187488,133056,145152,154829,149990,130637,138240,136598,120960,136080,128218,104026,1665274
CAMPAMENTO AZCAPOTZALCO,3,480744,2154714,91,09,002,Azcapotzalco,09002,84672,62899,2419,2765,2678,60480,69120,66960,45965,57456,36288,38707,530410
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,157248,118541,120960,143770,131242,118541,118886,128563,87091,127008,116122,118541,1486512
CLAVERIA ,5,480901,2152320,120,09,002,Azcapotzalco,09002,184464,120960,140314,174182,144634,137894,141005,158026,142733,160272,137894,140314,1782691
DEPORTIVO FERRERIA,6,482973,2152823,135,09,002,Azcapotzalco,09002,FE,FE,FE,FE,FE,FE,RH,FE,FE,RH,RH,RH,0
DEPORTIVO REYNOSA ,7,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,178416,135475,135475,152064,152669,125798,121651,133920,118541,123984,169344,166925,1714262
HOGAR Y SEGURIDAD ,8,482157,2152446,173,09,002,Azcapotzalco,09002,181440,133056,133056,135475,147312,135475,163123,158026,120960,130032,104026,116122,1658102
JARDIN SAN ALVARO ,9,480945,2151587,196,09,016,Miguel Hidalgo,09016,78624,58061,60480,66355,66960,62899,71885,69638,50803,60480,53222,58061,757469
NUEVA SANTA MARIA ,10,482650,2152058,248,09,002,Azcapotzalco,09002,136080,120960,120960,138240,139277,133056,146534,147312,113702,111888,104026,108864,1520899
OBRERO POPULAR ,11,481957,2152026,250,09,002,Azcapotzalco,09002,175392,130637,140314,105062,104458,94349,113357,125885,94349,105840,77414,82253,1349309
PANTACO #1 ,12,482283,2154851,263,09,002,Azcapotzalco,09002,39312,113702,130637,129946,147312,113702,135475,133920,113702,157248,101606,87091,1403654
PANTACO #2 ,13,482419,2154039,264,09,002,Azcapotzalco,09002,136080,111283,142733,143770,163382,125798,143770,149990,118541,163296,130637,94349,1623629
PANTACO #3 ,14,482304,2153389,265,09,002,Azcapotzalco,09002,123984,84672,84672,99533,109814,79834,82944,99101,77414,105840,84672,62899,1095379
PARQUE TEZOZOMOC,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,247968,133056,191117,185242,184810,169344,196301,190166,106445,136080,159667,149990,2050186
PETROLERA,16,479198,2154207,313,09,002,Azcapotzalco,09002,42336,31450,33869,41472,42854,33869,38707,34819,24192,36288,29030,24192,413078
PRADOS DEL ROSARIO,17,478144,2155925,321,09,002,Azcapotzalco,09002,84672,62899,53222,60826,61603,53222,60826,58925,43546,54432,50803,50803,695779
PRESIDENTE MADERO ,18,478895,2155313,322,09,002,Azcapotzalco,09002,78624,60480,62899,71885,72317,53222,60826,50890,53222,60480,53222,50803,728870
PRO-HOGAR,19,483605,2152928,323,09,002,Azcapotzalco,09002,139104,94349,108864,121651,115171,101606,110592,115171,79834,93744,58061,FE,1138147
PROVIDENCIA ,20,478144,2155181,324,09,002,Azcapotzalco,09002,151200,116122,116122,132710,133920,120960,124416,133920,108864,133056,120960,116122,1508371
SAN JUAN TLIHUACA ,21,478946,2154626,388,09,002,Azcapotzalco,09002,136080,113702,111283,129946,133920,113702,138240,131242,104026,130032,108864,106445,1457482
SAN MARTIN XOCHINAHUAC #1 ,22,479995,2155926,415,09,002,Azcapotzalco,09002,90720,65318,70157,88474,88387,65318,74650,69638,45965,57456,50803,41126,808013
SAN MARTIN XOCHINAHUAC #2 ,23,478781,2155913,416,09,002,Azcapotzalco,09002,226800,157248,179021,185242,168739,176602,179712,192845,159667,54432,133056,130637,1944000
SAN MIGUEL AMANTLA,24,478540,2153210,417,09,002,Azcapotzalco,09002,111888,82253,87091,99533,99101,84672,99533,99101,70157,87696,58061,60480,1039565
SAN PEDRO XALPA #1,25,478126,2154207,421,09,002,Azcapotzalco,09002,21168,16934,19354,19354,21427,16934,19354,18749,12096,15120,12096,9677,202262
SAN PEDRO XALPA #2,26,477447,2154531,422,09,002,Azcapotzalco,09002,169344,125798,31450,154829,139277,111283,135475,131242,116122,139104,104026,91930,1449878
SANTA CATARINA AZCAPOTZALCO,27,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0
TRABAJADORES DEL HIERRO ,28,484108,2153620,503,09,002,Azcapotzalco,09002,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0
VILLAS AZCAPOTZALCO,29,479576,2155276,566,09,002,Azcapotzalco,09002,93744,82253,82253,94003,91066,84672,96768,93744,65318,75600,62899,55642,977962
ABASOLO JARDIN ,30,484606,2150489,2,09,015,Cuauht??moc,09015,102816,142733,133056,154829,107136,142733,124416,80352,120960,154224,123379,101606,1488240
ACACIAS,31,481862,2140960,4,09,014,Benito Ju?írez,09014,96768,82253,55642,80179,85709,60480,91238,74995,70157,111888,72576,58061,939946
ALAMEDA DE SANTA MARIA,32,483553,2150442,15,09,015,Cuauht??moc,09015,154224,135475,142733,143770,93744,29030,13824,21427,4838,3024,2419,4838,749347
ALAMEDA DE TACUBAYA,33,480571,2145040,16,09,016,Miguel Hidalgo,09016,48384,38707,50803,60826,8035,21773,49766,72317,65318,87696,55642,70157,629424
ALAMOS JARDIN #1,34,485190,2144841,17,09,014,Benito Ju?írez,09014,117936,82253,53222,88474,96422,87091,99533,101779,96768,114912,104026,101606,1144022
ALAMOS JARDIN #2,35,485124,2145120,18,09,014,Benito Ju?írez,09014,139104,113702,130637,127181,42854,53222,143770,144634,130637,163296,125798,123379,1438214
ALBERT Y BERLIN,36,485377,2141715,19,09,014,Benito Ju?írez,09014,187488,149990,133056,160358,158026,140314,163123,166061,147571,181440,145152,147571,1880150
ALGARIN,37,485104,2145574,21,09,015,Cuauht??moc,09015,142128,113702,111283,124416,120528,108864,118886,120528,108864,139104,113702,113702,1435709
ALTAVISTA,38,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,105840,82253,84672,88474,40176,45965,58061,77674,77414,102816,77414,65318,906077
ANTONIO M. ANZA,39,483287,2146238,36,09,015,Cuauht??moc,09015,RH,RE,RH,8294,72317,65318,74650,53568,41126,54432,45965,38707,454378
ARENAL SAN ANGEL,40,480917,2139244,38,09,003,Coyoac?ín,09003,166320,130637,118541,102298,107136,89510,94003,131242,94349,154224,125798,77414,1391472
ARNAIZ ROSENDO ,41,480411,2143138,39,09,014,Benito Ju?írez,09014,123984,91930,96768,105062,104458,94349,107827,85709,101606,114912,99187,91930,1217722
AXOTLA,42,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,42336,31450,31450,35942,26784,26611,27648,29462,21773,36288,31450,24192,365386
BENJAMIN FRANKLIN,43,480957,2145692,87,09,016,Miguel Hidalgo,09016,42336,33869,31450,35942,34819,33869,35942,34819,33869,42336,31450,33869,424570
CAMPOS ELISEOS ,44,478852,2148058,94,09,016,Miguel Hidalgo,09016,145152,116122,116122,124416,125885,116122,118886,123206,111283,136080,111283,104026,1448582
CASA AMARILLA,45,480065,2145785,98,09,016,Miguel Hidalgo,09016,148176,130637,101606,102298,117850,74995,94003,64282,79834,120960,106445,55642,1196726
CEDROS Y MOLIERE,46,478706,2148642,104,09,016,Miguel Hidalgo,09016,187488,140314,152410,135475,109814,128218,116122,128563,82253,139104,101606,116122,1537488
CHAPULTEPEC MORALES,47,480327,2148642,113,09,016,Miguel Hidalgo,09016,108864,111283,149990,165888,160704,142733,185242,174096,157248,181440,154829,152410,1844726
CICERON,48,478413,2148337,119,09,016,Miguel Hidalgo,09016,66528,50803,50803,60826,58925,48384,60826,58925,53222,63504,48384,50803,671933
DIAGONAL SAN ANTONIO,49,484551,2144735,139,09,014,Benito Ju?írez,09014,99792,77414,74995,82944,72317,62899,66355,72317,67738,102816,74995,70157,924739
DIRECTO #22,50,477696,2134789,144,09,012,Tlalpan,09012,123984,84672,79834,107827,107136,89510,124416,117850,91930,120960,96768,72576,1217462
