GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,32769059,
2016,,,,,,,,,,,,,,,,,,,,,431098377,
,,519,,,,,,,,,,,,,,,,,,,473667273,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
SANTA CATARINA AZCAPOTZALCO,28,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
AHUIZOTLA,29,478008,2153563,13,09,002,Azcapotzalco,09002,80352,75168,80352,77760,80352,77760,80352,88387,80352,69638,67392,69638,927503,0.02941 
TRABAJADORES DEL HIERRO ,30,484108,2153620,503,09,002,Azcapotzalco,09002,139277,130291,34819,31104,125885,121824,125885,125885,121824,125885,93312,96422,1272413,0.04035 
VILLAS AZCAPOTZALCO,31,479576,2155276,566,09,002,Azcapotzalco,09002,13392,87696,93744,90720,61603,FE,FE,40176,72576,64282,64800,66960,655949,0.02080 
CHARCO CH-1 ,32,500847,2167840,114,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CHARCO CH-2 ,33,500736,2167827,115,15,033,Ecatepec de Morelos,15033,124588,118289,109814,99495,140661,137382,145591,146077,138723,137262,136767,136578,1571227,0.04982 
CHARCO CH-3 ,34,500412,2167644,116,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CHARCO CH-4 LA CURVA ,35,500369,2167720,117,15,033,Ecatepec de Morelos,15033,160184,152086,141955,146316,149640,145968,154884,155207,147578,162219,161633,161410,1839080,0.05832 
CHARCO CH-5 ,36,499937,2167754,118,15,033,Ecatepec de Morelos,15033,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
GRAN CANAL GC-1,37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136453,129555,120528,96569,98762,97312,92930,103471,97402,109186,108792,108641,1299601,0.04121 
