GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,32769059,
2016,,,,,,,,,,,,,,,,,,,,,431098377,
,,519,,,,,,,,,,,,,,,,,,,473667273,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
SAN FELIPE POPOTLA,136,481648,2151031,380,09,016,Miguel Hidalgo,09016,72317,30067,58925,82944,80352,85536,88387,88387,85536,88387,85536,88387,934761,0.02964 
SAN JOAQUIN TACUBA,137,478238,2150738,386,09,016,Miguel Hidalgo,09016,160704,150336,152669,142560,149990,142560,147312,83030,44064,FS,FS,FS,1173225,0.03720 
TACUBA,138,480210,2151387,459,09,016,Miguel Hidalgo,09016,66960,62640,66960,64800,66960,64800,66960,66960,64800,66960,64800,66960,790560,0.02507 
TIZAPAN,139,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,120528,120269,120528,127008,133920,69984,FE,FE,31104,PA,PA,PA,723341,0.02294 
VERONICA ,140,481682,2148727,555,09,016,Miguel Hidalgo,09016,120528,112752,117850,108864,112493,142560,149990,149990,114048,144634,142560,147312,1563581,0.04958 
VIADUCTO ,141,481343,2144628,556,09,014,Benito Ju?írez,09014,141955,127786,139277,147744,168739,160704,163382,168739,163296,168739,FE,168739,1719100,0.05451 
VISTA ALEGRE,142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32141,30067,32141,31104,32141,31104,32141,32141,31104,32141,31104,32141,379470,0.01203 
ACOXPA #31,143,485192,2133795,5,09,012,Tlalpan,09012,109814,102730,109814,98496,104458,77760,104458,104458,101088,104458,101088,104458,1223080,0.03878 
ACOXPA #32,144,485455,2133735,6,09,012,Tlalpan,09012,168739,157853,171418,184032,125885,124416,125885,125885,121824,125885,121824,128563,1682209,0.05334 
AJUSCO,145,483445,2136071,14,09,003,Coyoac?ín,09003,69638,67651,91066,98496,83030,101088,107136,101779,98496,107136,106272,109814,1141602,0.03620 
ALTILLO UNIVERSIDAD,146,481103,2138473,23,09,003,Coyoac?ín,09003,74995,75168,77674,72576,74995,72576,72317,74995,72576,74995,72576,74995,890438,0.02824 
AV. UNIVERSIDAD,147,481697,2139753,79,09,003,Coyoac?ín,09003,FS,FS,FS,FS,FS,FS,45533,10714,10368,FS,FS,FS,66615,0.00211 
BOSQUES DE TETLALMEYA,148,484033,2133858,90,09,003,Coyoac?ín,09003,83030,77674,83030,41472,80352,64800,66960,58925,72576,80352,69984,115171,894326,0.02836 
CARACOL,149,482972,2134511,96,09,003,Coyoac?ín,09003,37498,32573,37498,36288,34819,36288,34819,45533,33696,37498,36288,34819,437617,0.01388 
CEDRAL,150,488152,2135509,103,09,003,Coyoac?ín,09003,85709,80179,FS,41472,85709,82944,85709,85709,82944,85709,82944,85709,884737,0.02805 
COLONIA DEL CARMEN FRAGATA ,151,483260,2139989,127,09,003,Coyoac?ín,09003,152669,145325,147312,150336,155347,147744,123206,109814,111456,117850,116640,123206,1600905,0.05076 
COPILCO UNIVERSIDAD,152,480690,2137954,128,09,003,Coyoac?ín,09003,61603,57629,64282,59616,61603,62208,61603,64282,62208,64282,62208,64282,745806,0.02365 
COUNTRY CLUB,153,485226,2139758,129,09,003,Coyoac?ín,09003,91066,92707,50890,72576,83030,69984,42854,48211,57024,48211,46656,48211,751420,0.02383 
DEPORTIVO CANTIL,154,483864,2138082,133,09,003,Coyoac?ín,09003,83030,80179,93744,90720,93744,90720,93744,93744,90720,93744,90720,93744,1088553,0.03452 
DEPORTIVO DURANGO ,155,483374,2135359,134,09,003,Coyoac?ín,09003,141955,135302,93744,139968,117850,127008,99101,96422,111456,74995,77760,80352,1295913,0.04109 
DIRECTO #18,156,489804,2135343,140,09,013,Xochimilco,09013,58925,55123,61603,62208,64282,62208,64282,64282,64800,64282,62208,64282,748485,0.02373 
DIRECTO #19,157,481368,2134327,141,09,012,Tlalpan,09012,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,FE,0,0.00000 
DIRECTO #20-B ,158,480015,2134312,142,09,003,Coyoac?ín,09003,83030,127786,136598,129600,139277,124416,117850,117850,119232,104458,98496,99101,1397694,0.04432 
DIRECTO #21,159,479873,2134178,143,09,012,Tlalpan,09012,109814,102730,107136,103680,109814,106272,109814,64282,59616,61603,59616,61603,1055980,0.03348 
DIRECTO #24,160,482128,2135810,145,09,003,Coyoac?ín,09003,85709,72662,109814,103680,93744,88128,61603,56246,67392,64282,72576,85709,961545,0.03049 
DIRECTO #25,161,483719,2134751,146,09,003,Coyoac?ín,09003,83030,80179,64282,80352,85709,85536,93744,83030,82944,93744,85536,85709,1003795,0.03183 
EDUCACION #1,162,485357,2138170,147,09,003,Coyoac?ín,09003,48211,45101,48211,46656,48211,49248,45533,45533,46656,48211,54432,53568,579571,0.01838 
EDUCACION #2 (N) ,163,486192,2137920,148,09,003,Coyoac?ín,09003,80352,75168,80352,75168,80352,75168,74995,74995,72576,80352,54432,66960,890870,0.02825 
HUIPULCO ,164,485681,2132491,176,09,012,Tlalpan,09012,136598,130291,139277,134784,139277,134784,136598,136598,132192,139277,134784,136598,1631058,0.05172 
ISSSTE COAPA #1,165,487057,2133526,179,09,012,Tlalpan,09012,117850,110246,104458,101088,120528,119232,120528,120528,119232,123206,119232,120528,1396656,0.04429 
ISSSTE COAPA #2,166,488733,2133590,180,09,012,Tlalpan,09012,99101,67651,66960,103680,99101,69984,99101,93744,93312,99101,93312,48211,1033258,0.03276 
ISSSTE COAPA #3,167,487084,2134763,181,09,003,Coyoac?ín,09003,83030,82685,96422,82944,88387,85536,85709,85709,82944,88387,80352,83030,1025135,0.03251 
ISSSTE COAPA #4,168,487494,2135343,182,09,003,Coyoac?ín,09003,107136,100224,77674,57024,83030,101088,101779,101779,98496,101779,98496,101779,1130284,0.03584 
LA CIENEGA,169,483898,2137741,205,09,003,Coyoac?ín,09003,136598,130291,107136,132192,136598,129600,136598,136598,132192,136598,103680,136598,1554679,0.04930 
LOS COYOTES ,170,487314,2135852,214,09,003,Coyoac?ín,09003,80352,105235,125885,124416,117850,127008,69638,107136,82944,72317,69984,74995,1157760,0.03671 
LOS REYES COYOACAN,171,483778,2138641,215,09,003,Coyoac?ín,09003,117850,80179,158026,145152,144634,155520,155347,141955,121824,136598,132192,101779,1591056,0.05045 
METRO C.U.,172,481622,2136504,223,09,003,Coyoac?ín,09003,34819,102730,112493,108864,112493,85536,50890,26784,51840,50890,38880,34819,811038,0.02572 
MULTIF. COAPA #7 ,173,486679,2133212,233,09,012,Tlalpan,09012,107136,100224,96422,106272,77674,93312,74995,104458,80352,72317,67392,91066,1071620,0.03398 
MULTIF. COAPA #8 ,174,487734,2132727,234,09,013,Xochimilco,09013,RE,RE,RE,90720,125885,121824,125885,125885,121824,125885,121824,125885,1085617,0.03442 
NAHUATLACAS ,175,483445,2136059,235,09,003,Coyoac?ín,09003,56246,112752,222307,217728,179453,129600,77674,83030,134784,123206,114048,56246,1507074,0.04779 
PASEOS DE TAXQUENA,176,486893,2138915,273,09,003,Coyoac?ín,09003,69638,65146,69638,67392,69638,67392,69638,69638,67392,69638,67392,69638,822180,0.02607 
PEDREGAL DE CARRASCO ,177,482587,2134705,276,09,003,Coyoac?ín,09003,139277,127786,83030,80352,139277,134784,139277,141955,134784,141955,134784,144634,1541895,0.04889 
PEDREGAL DE SAN FRANCISCO,178,482687,2138340,277,09,003,Coyoac?ín,09003,91066,85190,91066,88128,91066,90720,91066,91066,88128,91066,88128,91066,1077756,0.03418 
PEDREGAL DE SANTO DOMINGO,179,482109,2136073,278,09,003,Coyoac?ín,09003,88387,90202,184810,85536,58925,54432,66960,56246,77760,85709,75168,56246,980381,0.03109 
PEDREGAL IMAN,180,481901,2135103,279,09,003,Coyoac?ín,09003,155347,97718,48211,108864,125885,95904,99101,107136,106272,80352,103680,107136,1235606,0.03918 
PERIFERICO #1,181,485573,2136312,293,09,003,Coyoac?ín,09003,50890,55123,58925,46656,32141,49248,45533,42854,51840,48211,46656,42854,570931,0.01810 
PERIFERICO #2,182,486493,2134490,304,09,012,Tlalpan,09012,149990,140314,149990,114048,120528,114048,117850,147312,147744,149990,145152,147312,1644278,0.05214 
PERIFERICO #3,183,484822,2133935,305,09,012,Tlalpan,09012,83030,30067,34819,31104,34819,31104,34819,48211,44064,45533,44064,45533,507167,0.01608 
PERIFERICO #4,184,484272,2133665,306,09,012,Tlalpan,09012,133920,122774,131242,124416,131242,127008,128563,136598,129600,133920,129600,133920,1562803,0.04956 
PERIFERICO #10,185,486333,2132216,294,09,013,Xochimilco,09013,136598,145325,155347,150336,152669,152928,155347,40176,FE,FE,FE,FE,1088726,0.03452 
PERIFERICO #11,186,488634,2132855,295,09,013,Xochimilco,09013,FE,105235,112493,108864,112493,108864,112493,112493,108864,112493,108864,112493,1215649,0.03855 
PERIFERICO #12,187,488153,2133115,296,09,012,Tlalpan,09012,109814,97718,104458,59616,120528,116640,120528,104458,101088,104458,101088,104458,1244852,0.03947 
PERIFERICO #13,188,486343,2136134,297,09,003,Coyoac?ín,09003,88387,82685,91066,85536,85709,85536,88387,88387,85536,85709,85536,88387,1040861,0.03301 
PERIFERICO #14,189,488083,2134134,298,09,003,Coyoac?ín,09003,112493,100224,109814,106272,109814,106272,107136,107136,103680,107136,106272,109814,1286063,0.04078 
PERIFERICO #15,190,485969,2135229,299,09,003,Coyoac?ín,09003,155347,130291,141955,137376,141955,134784,139277,141955,132192,139277,134784,139277,1668470,0.05291 
PERIFERICO #16,191,489444,2134015,300,09,013,Xochimilco,09013,123206,115258,125885,124416,123206,119232,120528,120528,127008,128563,127008,131242,1486080,0.04712 
PERIFERICO #17,192,489484,2134564,301,09,013,Xochimilco,09013,152669,140314,152669,132192,160704,155520,160704,163382,121824,125885,121824,125885,1713572,0.05434 
POZO 20 DE AGOSTO ,193,487195,2138577,318,09,003,Coyoac?ín,09003,176774,165370,176774,142560,152669,147744,149990,144634,137376,144634,139968,141955,1820448,0.05773 
PRADOS CHURUBUSCO ,194,486699,2140007,320,09,003,Coyoac?ín,09003,160704,110246,101779,124416,109814,108864,107136,104458,106272,101779,98496,96422,1330386,0.04219 
PREPARATORIA #5 (N) ,195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123206,115258,123206,119232,123206,116640,120528,123206,119232,120528,119232,120528,1444002,0.04579 
REY MOCTEZUMA,196,483541,2137081,360,09,003,Coyoac?ín,09003,117850,147830,149990,139968,136598,121824,117850,88387,93312,64282,28512,10714,1217117,0.03859 
ROMERO DE TERREROS,197,482187,2138640,364,09,003,Coyoac?ín,09003,66960,72662,56246,75168,45533,75168,64282,61603,54432,61603,62208,66960,762825,0.02419 
RUIZ CORTINEZ,198,484853,2136072,365,09,003,Coyoac?ín,09003,80352,45101,83030,80352,101779,88128,109814,117850,114048,109814,108864,109814,1148946,0.03643 
SAN FRANCISCO CULHUACAN ,199,487793,2137344,382,09,003,Coyoac?ín,09003,13392,42595,64282,59616,61603,62208,58925,61603,59616,66960,59616,58925,669341,0.02122 
SAN NICOLAS TOLENTINO,200,485838,2133075,418,09,012,Tlalpan,09012,144634,120269,133920,114048,42854,101088,149990,101779,106272,141955,127008,147312,1431129,0.04538 
SANTA URSULA,201,483587,2135232,448,09,003,Coyoac?ín,09003,120528,112752,120528,116640,85709,98496,88387,112493,90720,91066,98496,72317,1208132,0.03831 
SANTA URSULA COAPA,202,483956,2134956,449,09,003,Coyoac?ín,09003,50890,57629,64282,59616,61603,62208,80352,72317,69984,61603,59616,61603,761703,0.02415 
TERRANOVA,203,480277,2137821,495,09,003,Coyoac?ín,09003,42854,55123,56246,51840,53568,51840,53568,53568,57024,56246,57024,58925,647826,0.02054 
VILLA OLIMPICA #1,204,480489,2134541,563,09,003,Coyoac?ín,09003,112493,105235,112493,108864,112493,108864,112493,112493,108864,109814,106272,109814,1320192,0.04186 
VIVEROS DEL RELOJ #1,205,485383,2135593,568,09,003,Coyoac?ín,09003,34819,32573,34819,54432,66960,57024,58925,64282,49248,45533,57024,48211,603850,0.01915 
VIVEROS DEL RELOJ #2,206,485353,2136042,569,09,003,Coyoac?ín,09003,93744,92707,96422,95904,99101,88128,96422,99101,95904,96422,90720,91066,1135641,0.03601 
NORMANDIA,207,485856,2141928,247,09,007,Iztapalapa,09007,21427,20045,21427,20736,21427,20736,21427,21427,FS,FE,FE,FE,168652,0.00535 
ZAPOTECAS,208,483267,2136640,577,09,003,Coyoac?ín,09003,99101,100224,109814,103680,115171,114048,104458,104458,101088,104458,95904,96422,1248826,0.03960 
TULYEHUALCO SUR #1 ,209,489324,2133515,512,09,012,Tlalpan,09012,54416,51369,54978,97565,62997,157507,177554,179609,177557,156967,175953,192895,1539367,0.04881 
TULYEHUALCO SUR #2 ,210,488938,2133322,517,09,012,Tlalpan,09012,163247,154108,159937,199565,176393,174087,169483,161281,166459,153399,151319,92875,1922153,0.06095 
TULYEHUALCO SUR #3 ,211,488153,2133115,519,09,012,Tlalpan,09012,232503,224157,214915,186261,197392,194812,181589,172278,FE,57079,144281,146457,1951724,0.06189 
TULYEHUALCO SUR #4 ,212,487881,2132804,525,09,013,Xochimilco,09013,281972,266186,284888,248348,239390,236261,230013,208933,210849,203343,200586,235761,2846530,0.09026 
TULYEHUALCO SUR #5 ,213,487503,2132636,526,09,013,Xochimilco,09013,FS,FS,FS,FS,FS,41449,129130,120961,92477,117725,116129,117880,735751,0.02333 
TULYEHUALCO SUR #6 ,214,487208,2132493,527,09,013,Xochimilco,09013,69256,51369,49980,35478,41998,58029,197730,238257,184955,242585,253372,253621,1676630,0.05317 
TULYEHUALCO SUR #7 ,215,486933,2132236,528,09,013,Xochimilco,09013,24734,42029,49980,106435,180593,178232,169483,153950,173858,167669,165395,167890,1580248,0.05011 
TULYEHUALCO SUR #8 ,216,486105,2132113,529,09,013,Xochimilco,09013,84097,56039,44982,75391,29399,53884,76671,25658,129468,85618,31671,78587,771465,0.02446 
TULYEHUALCO SUR #9 ,217,485351,2132095,530,09,012,Tlalpan,09012,148406,144768,154939,88696,113395,99478,133165,135623,136867,135562,126686,128597,1546182,0.04903 
TULYEHUALCO SUR #10 ,218,486333,2132216,513,09,013,Xochimilco,09013,222610,214817,234908,204000,125995,95333,RH,RH,RH,RH,RH,RH,1097663,0.03481 
TULYEHUALCO SUR #11 ,219,484473,2132617,514,09,012,Tlalpan,09012,217663,200807,219913,190696,146994,157507,217907,205267,196052,210478,168914,167890,2300088,0.07294 
TULYEHUALCO SUR #12 ,220,484107,2133070,515,09,012,Tlalpan,09012,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,FS,0,0.00000 
TULYEHUALCO SUR #13 ,221,486343,2136109,516,09,003,Coyoac?ín,09003,187981,177457,189925,168522,159594,153362,153342,139288,140566,135562,133724,135741,1875064,0.05946 
TULYEHUALCO SUR #23 ,222,489609,2135481,518,09,013,Xochimilco,09013,291866,275526,294884,217304,247790,240406,217907,205267,207149,206911,165395,189323,2759728,0.08751 
TULYEHUALCO SUR #33 ,223,489692,2133900,520,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TULYEHUALCO SUR #34 ,224,489568,2136213,521,09,013,Xochimilco,09013,FS,FS,FS,93130,235191,232116,221942,205267,199751,189074,190029,192895,1759395,0.05579 
TULYEHUALCO SUR #35 ,225,489834,2135709,522,09,013,Xochimilco,09013,RH,RH,RH,62087,109196,RH,RH,95303,96177,135562,70381,46438,615144,0.01951 
TULYEHUALCO SUR #36 ,226,484773,2132258,523,09,012,Tlalpan,09012,183034,172788,184927,164087,159594,157507,153342,131957,133167,131995,105572,175034,1853004,0.05876 
TULYEHUALCO SUR #38 ,227,489569,2136221,524,09,013,Xochimilco,09013,64309,51369,39984,57652,62997,53884,72636,87972,77681,57079,144281,110736,880580,0.02792 
XOCHIMILCO #28 ,228,484437,2133089,570,09,012,Tlalpan,09012,163347,163754,190006,171078,172633,168860,172306,151211,168012,166291,175485,176491,2039474,0.06467 
XOCHIMILCO #29 ,229,484599,2133433,571,09,012,Tlalpan,09012,174485,174919,194324,171078,184964,180921,184914,165963,180013,178458,183841,193710,2167590,0.06873 
XOCHIMILCO #30 ,230,484641,2133825,572,09,012,Tlalpan,09012,122511,145145,155459,132197,135640,136696,138685,125395,136010,137899,142059,146359,1654055,0.05245 
ZAPATA #14 ,231,488083,2134134,573,09,003,Coyoac?ín,09003,126223,126537,151141,128309,127420,120614,109267,121706,132009,113564,142059,142054,1540903,0.04886 
ZAPATA #15 ,232,483077,2134102,574,09,012,Tlalpan,09012,FE,FE,51820,46658,49324,48246,50431,44257,FE,FE,FE,FE,290736,0.00922 
ZAPATA #16 ,233,489444,2134015,575,09,013,Xochimilco,09013,126223,96764,4318,15553,32883,36184,79849,129083,76005,105453,75208,81789,859312,0.02725 
ARENAL,234,485285,2131689,37,09,013,Xochimilco,09013,107136,107741,107136,88128,109814,106272,109814,112493,111456,112493,108864,83030,1264377,0.04009 
ARTESANIAS O VILLA OLIMPICA,235,480679,2133319,40,09,012,Tlalpan,09012,80352,75168,80352,77760,85709,82944,77674,83030,80352,77674,75168,74995,951178,0.03016 
BATAM ,236,477520,2137686,85,09,008,La Magdalena Contreras,09008,56246,52618,56246,59616,61603,59616,61603,61603,59616,61603,59616,64282,714268,0.02265 
BELISARIO DOMINGUEZ,237,481265,2133300,86,09,012,Tlalpan,09012,72317,FS,FS,23328,66960,31104,42854,69638,51840,72317,67392,69638,567388,0.01799 
BOSQUE TLALPAN #1,238,479688,2133363,88,09,012,Tlalpan,09012,RH,RH,FS,46656,83030,54432,74995,80352,72576,85709,82944,85709,666403,0.02113 
BOSQUE TLALPAN #2,239,479648,2133076,89,09,012,Tlalpan,09012,21427,25056,FE,FS,FS,12960,48211,5357,FE,FS,FS,13392,126403,0.00401 
CANAL #13,240,478437,2134424,95,09,012,Tlalpan,09012,83030,82685,88387,119232,83030,75168,77674,74995,75168,80352,75168,61603,976492,0.03096 
CLUB DE GOLF #1 ,241,483400,2131600,122,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
CLUB DE GOLF #2 ,242,483400,2131600,123,09,012,Tlalpan,09012,37498,35078,37498,36288,37498,36288,37498,37498,36288,37498,36288,37498,442716,0.01404 
CLUB DE GOLF #3 ,243,483400,2131600,124,09,012,Tlalpan,09012,16070,15034,16070,15552,16070,15552,16070,16070,15552,16070,15552,16070,189732,0.00602 
CLUB DE GOLF #4 ,244,483400,2131600,125,09,012,Tlalpan,09012,40176,37584,40176,38880,40176,38880,40176,40176,38880,40176,38880,40176,474336,0.01504 
DALIAS,245,481889,2141303,132,09,014,Benito Ju?írez,09014,26784,12528,13392,28512,29462,28512,29462,29462,28512,29462,28512,29462,314062,0.00996 
DEPORTIVO VIVANCO ,246,483427,2139343,137,09,003,Coyoac?ín,09003,77674,72662,80352,82944,83030,82944,80352,83030,80352,77674,82944,58925,942883,0.02990 
DEPORTIVO XOCHITL ,247,481054,2132826,138,09,012,Tlalpan,09012,69638,65146,69638,67392,69638,67392,69638,69638,67392,69638,67392,69638,822180,0.02607 
EL CAMINERO ,248,481103,2138473,150,09,003,Coyoac?ín,09003,2678,FS,FS,72576,101779,111456,120528,123206,129600,123206,36288,FE,821317,0.02604 
EL TREBOL,249,482401,2131586,151,09,012,Tlalpan,09012,40176,45101,37498,59616,69638,69984,69638,72317,31104,FE,59616,66960,621648,0.01971 
EL ZAPOTE,250,481267,2133874,152,09,012,Tlalpan,09012,56246,55123,56246,51840,37498,62208,66960,58925,57024,40176,62208,58925,663379,0.02104 
FOVISSSTE,251,480685,2132104,156,09,012,Tlalpan,09012,5357,5011,2678,5184,5357,5184,2678,FS,18144,34819,12960,34819,132191,0.00419 
FUENTES BROTANTES #1,252,481550,2132467,159,09,012,Tlalpan,09012,26784,FE,FE,33696,29462,25920,29462,29462,28512,32141,38880,34819,309138,0.00980 
FUENTES BROTANTES #2,253,481296,2132279,160,09,012,Tlalpan,09012,48211,50112,56246,51840,53568,51840,50890,53568,51840,53568,51840,56246,629769,0.01997 
FUENTES DEL PEDREGAL ,254,476178,2134095,161,09,012,Tlalpan,09012,FE,60134,64282,62208,58925,25920,18749,18749,18144,18749,18144,18749,382753,0.01214 
GALEANA TLALPAN,255,482632,2132332,162,09,012,Tlalpan,09012,37498,42595,40176,41472,45533,41472,45533,40176,38880,48211,41472,48211,511229,0.01621 
HIDALGO TLALPAN,256,480912,2132969,172,09,012,Tlalpan,09012,83030,57629,56246,54432,42854,41472,24106,24106,46656,13392,15552,158026,617501,0.01958 
ISSFAM,257,483120,2131330,178,09,012,Tlalpan,09012,104458,100224,101779,90720,101779,85536,112493,120528,51840,107136,160704,160704,1297901,0.04116 
JARDIN DE LA MONTANA #1,258,479273,2133860,191,09,012,Tlalpan,09012,64282,60134,64282,51840,40176,41472,45533,45533,44064,37498,46656,45533,587003,0.01861 
JARDIN DE LA MONTANA #2,259,478378,2133978,192,09,012,Tlalpan,09012,83030,77674,83030,62208,64282,62208,64282,64282,62208,64282,62208,66960,816654,0.02590 
LIMANTITLA,260,481534,2132038,211,09,012,Tlalpan,09012,42854,42595,48211,36288,50890,46656,45533,56246,59616,61603,90720,93744,674956,0.02140 
#37,261,483038,2133008,1,09,012,Tlalpan,09012,2678,FS,45533,77760,77674,23328,8035,FS,15552,2678,23328,53568,330134,0.01047 
PADIERNA #1,262,476778,2134389,255,09,012,Tlalpan,09012,FE,57629,61603,59616,34819,33696,34819,34819,33696,34819,33696,26784,445996,0.01414 
PADIERNA #2,263,476720,2134847,256,09,012,Tlalpan,09012,56246,70157,48211,46656,FS,FS,13392,FS,FS,FS,FE,FE,234662,0.00744 
PADIERNA #3,264,477226,2134706,257,09,012,Tlalpan,09012,61603,57629,61603,44064,37498,36288,29462,29462,28512,29462,28512,29462,473557,0.01502 
PADIERNA #4,265,476884,2135388,258,09,008,La Magdalena Contreras,09008,64282,57629,61603,62208,53568,57024,58925,61603,57024,61603,59616,64282,719367,0.02281 
PADIERNA #5,266,477814,2133790,259,09,012,Tlalpan,09012,125885,120269,117850,124416,91066,85536,107136,104458,108864,117850,116640,120528,1340498,0.04251 
PADIERNA PICACHO,267,476943,2133837,260,09,012,Tlalpan,09012,2678,FE,8035,10368,21427,31104,29462,26784,25920,26784,25920,26784,235266,0.00746 
PEDREGAL #2,268,478376,2140393,274,09,010,?ülvaro Obreg??n,09010,24106,22550,26784,25920,26784,25920,26784,26784,5184,FE,FE,18749,229565,0.00728 
PEDREGAL AGUILAS,269,482211,2130826,275,09,012,Tlalpan,09012,42854,10022,FS,36288,53568,49248,53568,50890,49248,53568,54432,50890,504576,0.01600 
PENA POBRE,270,479896,2133084,280,09,012,Tlalpan,09012,117850,120269,128563,116640,128563,108864,123206,120528,95904,FS,FS,FS,1060387,0.03362 
PERIFERICO #5,271,483200,2133848,307,09,012,Tlalpan,09012,18749,22550,24106,15552,80352,106272,109814,109814,98496,109814,103680,101779,900978,0.02857 
PERIFERICO #6,272,484192,2132586,308,09,012,Tlalpan,09012,18749,45101,58925,77760,66960,62208,42854,53568,28512,8035,49248,50890,562810,0.01785 
PERIFERICO #7,273,483602,2132446,309,09,012,Tlalpan,09012,42854,35078,29462,33696,34819,28512,26784,29462,10368,29462,31104,32141,363742,0.01153 
R-1,274,483430,2130663,333,09,012,Tlalpan,09012,83030,77674,40176,FE,FE,FE,48211,74995,72576,61603,80352,88387,627004,0.01988 
R-2,275,483177,2130602,338,09,012,Tlalpan,09012,64282,80179,91066,85536,99101,101088,69638,64282,72576,61603,59616,58925,907892,0.02879 
R-3,276,483552,2130452,346,09,012,Tlalpan,09012,74995,57629,66960,72576,64282,54432,56246,50890,54432,61603,57024,58925,729994,0.02315 
R-4,277,483815,2130811,347,09,012,Tlalpan,09012,96422,90202,96422,93312,91066,90720,93744,93744,82944,88387,90720,93744,1101427,0.03493 
R-5,278,484339,2131154,348,09,012,Tlalpan,09012,64282,60134,64282,62208,64282,5184,40176,64282,49248,FS,FS,FS,474078,0.01503 
R-6,279,485210,2132061,349,09,013,Xochimilco,09013,48211,40090,45533,23328,42854,41472,34819,42854,41472,45533,44064,42854,493084,0.01564 
R-7,280,484935,2131404,350,09,012,Tlalpan,09012,61603,55123,58925,33696,56246,51840,45533,56246,54432,58925,54432,56246,643247,0.02040 
R-8,281,484693,2131234,351,09,012,Tlalpan,09012,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,0,0.00000 
R-9,282,484129,2130853,352,09,012,Tlalpan,09012,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
R-10,283,483792,2130536,334,09,012,Tlalpan,09012,42854,42595,45533,44064,45533,44064,45533,45533,44064,69638,80352,104458,654221,0.02075 
REINO AVENTURA ,284,477889,2133563,358,09,012,Tlalpan,09012,50890,47606,50890,49248,50890,28512,13392,10714,10368,10714,10368,10714,344306,0.01092 
SAN FERNANDO TLALPAN ,285,481638,2133393,381,09,012,Tlalpan,09012,123206,97718,117850,155520,136598,121824,139277,123206,119232,117850,119232,117850,1489363,0.04723 
SAN JERONIMO #3 (ANZALDO) ,286,476723,2136300,385,09,008,La Magdalena Contreras,09008,RE,RE,RE,RE,RE,41472,83030,83030,80352,83030,80352,83030,534296,0.01694 
SAN PEDRO MARTIR #1,287,483072,2129627,420,09,012,Tlalpan,09012,80352,77674,83030,80352,77674,82944,72317,74995,77760,77674,69984,72317,927073,0.02940 
SAN RAMON,288,477947,2137711,423,09,008,La Magdalena Contreras,09008,2678,12528,29462,28512,29462,28512,29462,29462,28512,29462,28512,29462,306026,0.00970 
SANTA CATARINA COYOACAN ,289,480791,2133270,439,09,012,Tlalpan,09012,77674,50112,50890,49248,53568,46656,53568,53568,51840,58925,59616,61603,667268,0.02116 
SUR #27 BIS ,290,483401,2133291,458,09,012,Tlalpan,09012,88387,87696,88387,82944,93744,82944,80352,69638,69984,85709,69984,83030,982799,0.03116 
TLALCOLIGIA ,291,481921,2130816,499,09,012,Tlalpan,09012,77674,107741,104458,111456,107136,93312,107136,112493,111456,93744,72576,104458,1203640,0.03817 
TOPILEJO ,292,486705,2123955,500,09,013,Xochimilco,09013,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
TORIELLO ,293,483222,2133095,501,09,012,Tlalpan,09012,74995,70157,74995,72576,74995,72576,74995,74995,72576,74995,72576,74995,885426,0.02808 
VIADUCTO TLALPAN #1,294,483438,2132139,557,09,012,Tlalpan,09012,155347,170381,214272,95904,104458,77760,104458,104458,101088,101779,103680,101779,1435364,0.04552 
VIADUCTO TLALPAN #2,295,483032,2131706,558,09,012,Tlalpan,09012,50890,127786,69638,64800,64282,51840,61603,56246,62208,61603,62208,66960,800064,0.02537 
VILLA OLIMPICA #2,296,480443,2134197,564,09,012,Tlalpan,09012,74995,67651,77674,33696,48211,72576,74995,74995,72576,74995,69984,72317,814665,0.02583 
VILLA OLIMPICA #3,297,479950,2133465,565,09,012,Tlalpan,09012,88387,100224,109814,64800,26784,FS,FS,FS,10368,FS,FS,FS,400377,0.01270 
