GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,9768541
2010,,,,,,,,,,,,,,,,,,,,,330399880
,,401,,,,,,,,,,,,,,,,,,,348793042
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AHUIZOTLA,1,478008,2153563,13,09,002,Azcapotzalco,09002,133920,94349,107827,104458,94349,107827,109814,113357,99187,123206,127181,111283,1326758
AZCAPOTZALCO #1,2,478498,2156819,81,09,002,Azcapotzalco,09002,128563,125798,143770,139277,128218,143770,139277,143770,125798,133920,138240,120960,1611360
CAMPAMENTO AZCAPOTZALCO,3,480744,2154714,91,09,002,Azcapotzalco,09002,RE,RE,RE,RE,RE,19354,176774,174182,157248,174096,179712,157248,1038614
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,136598,140314,160358,155347,140314,160358,141955,33178,62899,69638,71885,62899,1335744
CLAVERIA ,5,480901,2152320,120,09,002,Azcapotzalco,09002,160704,145152,165888,160704,145152,165888,158026,165888,145152,139277,165888,145152,1862870
DEPORTIVO FERRERIA,6,482973,2152823,135,09,002,Azcapotzalco,09002,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
DEPORTIVO REYNOSA ,7,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,139277,123379,141005,136598,123379,141005,136598,141005,16934,85709,141005,123379,1449274
HOGAR Y SEGURIDAD ,8,482157,2152446,173,09,002,Azcapotzalco,09002,171418,154829,176947,171418,154829,176947,125885,27648,48384,64282,66355,58061,1397002
JARDIN SAN ALVARO ,9,480945,2151587,196,09,016,Miguel Hidalgo,09016,74995,65318,77414,74995,67738,77414,80352,82944,72576,77674,80179,70157,901757
NUEVA SANTA MARIA ,10,482650,2152058,248,09,002,Azcapotzalco,09002,160704,145152,165888,160704,145152,165888,160704,165888,145152,160704,165888,145152,1886976
OBRERO POPULAR ,11,481957,2152026,250,09,002,Azcapotzalco,09002,115171,104026,118886,112493,104026,116122,107136,24883,48384,53568,55296,48384,1008374
PANTACO #1 ,12,482283,2154851,263,09,002,Azcapotzalco,09002,FE,FE,94003,123206,113702,129946,125885,127181,113702,120528,124416,111283,1183853
PANTACO #2 ,13,482419,2154039,264,09,002,Azcapotzalco,09002,109814,101606,113357,112493,101606,116122,109814,110592,101606,109814,116122,101606,1304554
PANTACO #3 ,14,482304,2153389,265,09,002,Azcapotzalco,09002,96422,87091,99533,96422,87091,99533,96422,99533,87091,96422,99533,87091,1132186
PARQUE TEZOZOMOC,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,163382,145152,165888,160704,147571,165888,184810,190771,166925,184810,190771,166925,2033597
PETROLERA,16,479198,2154207,313,09,002,Azcapotzalco,09002,155347,140314,160358,155347,142733,160358,152669,157594,137894,101779,107827,91930,1664150
PRADOS DEL ROSARIO,17,478144,2155925,321,09,002,Azcapotzalco,09002,85709,77414,88474,85709,77414,88474,85709,88474,77414,83030,88474,77414,1003709
PRESIDENTE MADERO ,18,478895,2155313,322,09,002,Azcapotzalco,09002,101779,84672,96768,93744,84672,96768,85709,19354,38707,42854,44237,38707,827971
PRO-HOGAR,19,483605,2152928,323,09,002,Azcapotzalco,09002,96422,87091,102298,99101,89510,102298,88387,19354,RH,RH,RH,RH,684461
PROVIDENCIA ,20,478144,2155181,324,09,002,Azcapotzalco,09002,133920,91930,102298,101779,91930,105062,99101,102298,89510,99101,102298,89510,1208736
SAN JUAN TLIHUACA ,21,478946,2154626,388,09,002,Azcapotzalco,09002,141955,128218,146534,141955,128218,146534,144634,149299,130637,128563,135475,116122,1638144
SAN MARTIN XOCHINAHUAC #1 ,22,479995,2155926,415,09,002,Azcapotzalco,09002,61603,55642,63590,61603,55642,63590,56246,13824,24192,26784,27648,24192,534557
SAN MARTIN XOCHINAHUAC #2 ,23,478781,2155913,416,09,002,Azcapotzalco,09002,69638,82253,96768,91066,84672,96768,99101,99533,89510,99101,105062,91930,1105402
SAN MIGUEL AMANTLA,24,478540,2153210,417,09,002,Azcapotzalco,09002,83030,74995,85709,83030,74995,85709,96422,99533,87091,96422,99533,87091,1053562
SAN PEDRO XALPA #1,25,478126,2154207,421,09,002,Azcapotzalco,09002,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,0
SAN PEDRO XALPA #2,26,477447,2154531,422,09,002,Azcapotzalco,09002,128563,116122,113357,125885,113702,129946,123206,124416,108864,125885,129946,113702,1453594
SANTA CATARINA AZCAPOTZALCO,27,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
TRABAJADORES DEL HIERRO ,28,484108,2153620,503,09,002,Azcapotzalco,09002,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
VILLAS AZCAPOTZALCO,29,479576,2155276,566,09,002,Azcapotzalco,09002,117850,108864,127181,120528,108864,124416,107136,RN,RN,RH,RH,RH,814838
ABASOLO JARDIN ,30,484606,2150489,2,09,015,Cuauht??moc,09015,DC,DC,DC,DC,DC,DC,DC,DC,DC,FS,FS,FS,0
ACACIAS,31,481862,2140960,4,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ALAMEDA DE SANTA MARIA,32,483553,2150442,15,09,015,Cuauht??moc,09015,128563,120960,143770,136598,89510,152064,93744,152064,169344,198202,204595,157248,1746662
ALAMEDA DE TACUBAYA,33,480571,2145040,16,09,016,Miguel Hidalgo,09016,158026,159667,190771,184810,159667,171418,166061,143770,99187,128563,99533,120960,1782432
ALAMOS JARDIN #1,34,485190,2144841,17,09,014,Benito Ju?írez,09014,83030,118541,121651,123206,123379,135475,109814,63590,53222,66960,30413,53222,1082506
ALAMOS JARDIN #2,35,485124,2145120,18,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ALBERT Y BERLIN,36,485377,2141715,19,09,014,Benito Ju?írez,09014,149990,125798,141005,128563,125798,141005,32141,PA,FS,FS,FS,FS,844301
ALGARIN,37,485104,2145574,21,09,015,Cuauht??moc,09015,112493,149990,174182,168739,149990,174182,149990,105062,79834,93744,91238,82253,1531699
ALTAVISTA,38,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,139277,125798,143770,136598,45965,52531,109814,116122,91930,136598,77414,84672,1260490
AMADO NERVO ,39,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ANTONIO M. ANZA,40,483287,2146238,36,09,015,Cuauht??moc,09015,88387,36288,41472,40176,36288,41472,42854,127181,79834,107136,127181,106445,874714
ARENAL SAN ANGEL,41,480917,2139244,38,09,003,Coyoac?ín,09003,99101,99187,121651,107136,82253,52531,101779,113357,70157,99101,71885,55642,1073779
ARNAIZ ROSENDO ,42,480411,2143138,39,09,014,Benito Ju?írez,09014,93744,89510,146534,13392,31450,2765,PA,PA,PA,PA,PA,FS,377395
AV. D. CASTILLO,43,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
AXOTLA,44,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,29462,36288,41472,42854,33869,35942,10714,35942,9677,37498,24883,21773,360374
BENJAMIN FRANKLIN,45,480957,2145692,87,09,016,Miguel Hidalgo,09016,40176,31450,38707,34819,21773,13824,5357,5530,26611,34819,38707,33869,325642
CAMPESTRE,46,483850,2140451,92,09,014,Benito Ju?írez,09014,53568,45965,47002,48211,33869,52531,26784,27648,24192,40176,41472,33869,475286
CAMPOS ELISEOS ,47,478852,2148058,94,09,016,Miguel Hidalgo,09016,88387,72576,99533,85709,89510,96768,50890,82944,50803,58925,63590,58061,897696
CASA AMARILLA,48,480065,2145785,98,09,016,Miguel Hidalgo,09016,144634,123379,141005,139277,106445,127181,91066,127181,108864,112493,121651,101606,1444781
CEDROS Y MOLIERE,49,478706,2148642,104,09,016,Miguel Hidalgo,09016,50890,70157,85709,85709,60480,99533,77674,94003,65318,85709,102298,77414,954893
CHAPULTEPEC MORALES,50,480327,2148642,113,09,016,Miguel Hidalgo,09016,171418,157248,174182,133920,70157,171418,77674,110592,45965,99101,116122,82253,1410048
CICERON,51,478413,2148337,119,09,016,Miguel Hidalgo,09016,50890,43546,60826,64282,55642,63590,61603,63590,72576,77674,74650,67738,756605
DIAGONAL SAN ANTONIO,52,484551,2144735,139,09,014,Benito Ju?írez,09014,109814,101606,110592,109814,91930,91238,83030,124416,82253,93744,94003,84672,1177114
DIRECTO #22,53,477696,2134789,144,09,012,Tlalpan,09012,58925,53222,58061,48211,38707,44237,58925,102298,96768,104458,116122,101606,881539
HUERTAS DEL CARMEN,54,480757,2138752,175,09,003,Coyoac?ín,09003,115171,125798,141005,64282,58061,66355,34819,118886,53222,115171,141005,104026,1137802
IRRIGACION,55,478175,2149700,177,09,016,Miguel Hidalgo,09016,56246,45965,58061,50890,45965,58061,34819,52531,29030,40176,41472,36288,549504
JARDIN DE SAN JACINTO,56,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,80352,70157,96768,88387,77414,69120,42854,PA,74995,120528,FS,50803,771379
JARDINES DEL PEDREGAL #1 ,57,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,56246,19354,47002,50890,60480,69120,16070,27648,PA,PA,FS,FS,346810
