GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,18973440
1990,,,,,,,,,,,,,,,,,,,,,426512814
,,418,,,,,,,,,,,,,,,,,,,450042903
NAHUATLACAS,21,483445,2136059,235,09,003,Coyoac?ín,09003,136598,113702,128563,129600,128563,134784,166061,171418,165888,168739,168480,174096,1786493
PEDREGAL DE CARRASCO,22,482587,2134705,276,09,003,Coyoac?ín,09003,182131,159667,179453,145152,149990,127008,128563,120528,116640,128563,121824,120528,1680048
SANTA URSULA,23,483587,2135232,448,09,003,Coyoac?ín,09003,168739,149990,208915,171072,184810,217728,214272,224986,204768,222307,186624,184810,2339021
SANTO DOMINGO,24,487365,2136808,453,09,003,Coyoac?ín,09003,104458,74995,96422,80352,77674,54432,69638,91066,82944,72317,69984,83030,957312
TERRANOVA,25,480277,2137821,495,09,003,Coyoac?ín,09003,168739,116122,115171,176256,171418,173664,182131,166061,150336,139277,155520,160704,1875398
ZAPATA #17,26,482186,2134254,576,09,012,Tlalpan,09012,64282,58061,64282,54432,56246,54432,56246,42854,46656,50890,46656,42854,637891
ZAPOTECAS,27,483267,2136640,577,09,003,Coyoac?ín,09003,139277,125798,125885,176256,174096,139968,155347,168739,150336,174096,186624,160704,1877126
ABASOLO JARDIN,28,484606,2150489,2,09,015,Cuauht??moc,09015,REHAB.,REHAB.,64282,106272,101779,93312,32141,REPAR.,REPAR.,REPAR.,REHAB.,REHAB.,397786
ABRIL #24,29,487773,2146810,3,09,017,Venustiano Carranza,09017,56246,43546,50890,41472,50890,44064,45533,45533,38880,0,0,0,417053
ACACIAS,30,481862,2140960,4,09,014,Benito Ju?írez,09014,80352,101606,112493,77760,85709,77760,88387,77674,62208,53568,59616,48211,925344
AJUSCO,31,483445,2136071,14,09,003,Coyoac?ín,09003,42854,36288,37498,41472,40176,41472,53568,85709,85536,74995,72576,80352,692496
ALAMEDA DE SANTA MARIA,32,483553,2150442,15,09,015,Cuauht??moc,09015,40176,33869,32141,36288,34819,31104,34819,REHAB.,REHAB.,REHAB.,20736,77674,341626
ALAMEDA DE TACUBAYA,33,480571,2145040,16,09,016,Miguel Hidalgo,09016,101779,77414,91066,90720,93744,93312,96422,104458,90720,93744,103680,93744,1130803
ALAMOS JARDIN #1,34,485190,2144841,17,09,014,Benito Ju?írez,09014,64282,48384,53568,57024,56246,51840,56246,58925,54432,74995,67392,53568,696902
ALAMOS JARDIN #2,35,485124,2145120,18,09,014,Benito Ju?írez,09014,131242,111283,123206,121824,128563,129600,133920,128563,95904,133920,132192,136598,1506816
ALBERT Y BERLIN,36,485377,2141715,19,09,014,Benito Ju?írez,09014,26784,24192,24106,23328,24106,25920,16070,21427,20736,21427,20736,REPAR.,248832
ALGARIN,37,485104,2145574,21,09,015,Cuauht??moc,09015,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0,0,0,0,0,0
ALTAVISTA,38,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,117850,91930,77674,67392,53568,121824,101779,99101,36288,42854,54432,34819,899510
ALTILLO UNIVERSIDAD #1,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0,0,0,0,0,0
ALTILLO UNIVERSIDAD #2,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,187488,130637,115171,142560,147312,134784,133920,187488,178848,187488,181440,168739,1895875
ANTONIO M. ANZA,41,483287,2146238,36,09,015,Cuauht??moc,09015,77674,65318,83030,82944,93744,80352,77674,88387,72576,88387,85536,96422,992045
ARENAL SAN ANGEL,42,480917,2139244,38,09,003,Coyoac?ín,09003,48211,45965,48211,46656,37498,41472,45533,40176,38880,45533,44064,42854,525053
ARNAIZ ROSENDO,43,480411,2143138,39,09,014,Benito Ju?írez,09014,93744,89510,99101,90720,93744,98496,93744,96422,77760,128563,124416,128563,1214784
AXOTLA,44,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,50890,79834,91066,82944,48211,75168,24106,45533,REHAB.,40176,59616,64282,661824
BALBUENA #1,45,488461,2146452,82,09,017,Venustiano Carranza,09017,37498,36288,40176,36288,37498,36288,37498,37498,36288,40176,38880,40176,454550
BALBUENA #2,46,489467,2146172,83,09,017,Venustiano Carranza,09017,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,0,0,0,0,0,0
BENJAMIN FRANKLIN,47,480957,2145692,87,09,016,Miguel Hidalgo,09016,40176,36288,40176,33696,29462,36288,29462,26784,33696,37498,36288,40176,419990
CAMPESTRE,48,483850,2140451,92,09,014,Benito Ju?írez,09014,REHAB.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0,0,0,0,0,0
CAMPOS ELISEOS,49,478852,2148058,94,09,016,Miguel Hidalgo,09016,101779,84672,83030,93312,101779,88128,88387,83030,82944,96422,134784,91066,1129334
CARACOL,50,482972,2134511,96,09,003,Coyoac?ín,09003,77674,58061,77674,67392,74995,59616,66960,72317,64800,66960,64800,72317,823565
CASA AMARILLA,51,480065,2145785,98,09,016,Miguel Hidalgo,09016,64282,55642,61603,54432,66960,59616,56246,50890,54432,32141,38880,34819,629942
CEDROS Y MOLIERE,52,478706,2148642,104,09,016,Miguel Hidalgo,09016,37498,33869,37498,33696,37498,33696,34819,16070,15552,16070,15552,16070,327888
CD. DEPORTIVA,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64282,58061,61603,57024,58925,57024,58925,56246,59616,64282,57024,64282,717293
CICERON,54,478413,2148337,119,09,016,Miguel Hidalgo,09016,133920,120960,123206,127008,107136,103680,107136,85709,POZ. PAR,32141,165888,174096,1280880
COLONIA DEL CARMEN FRAGATA,55,483260,2139989,127,09,003,Coyoac?ín,09003,192845,183859,200880,181440,184810,181440,203558,206237,191808,203558,199584,206237,2336256
COPILCO UNIVERSIDAD,56,480690,2137954,128,09,003,Coyoac?ín,09003,29462,38707,37498,41472,40176,33696,32141,48211,44064,45533,163296,166061,720317
COYUYA,57,487986,2144947,130,09,006,Iztacalco,09006,REHAB.,REHAB.,REHAB.,36288,37498,41472,42854,37498,36288,32141,31104,0,295142
CHAPULTEPEC MORALES,58,480327,2148642,113,09,016,Miguel Hidalgo,09016,77674,65318,0,69984,69638,69984,72317,80352,75168,80352,69984,91066,821837
DEPORTIVO CANTIL,59,483864,2138082,133,09,003,Coyoac?ín,09003,131242,128218,123206,142560,133920,134784,168739,171418,145152,158026,173664,163382,1774310
DEPORTIVO DURANGO,60,483374,2135359,134,09,003,Coyoac?ín,09003,101779,89510,101779,106272,109814,106272,107136,104458,106272,123206,111456,117850,1285805
DIAGONAL SAN ANTONIO,61,484551,2144735,139,09,014,Benito Ju?írez,09014,101779,89510,101779,93312,96422,119232,131242,136598,134784,131242,127008,136598,1399507
FRACCIONAMIENTO BANJIDAL,62,485761,2140779,158,09,007,Iztapalapa,09007,85709,77414,88387,82944,83030,80352,80352,88387,88128,99101,103680,104458,1061942
HORMIGA,63,479959,2146530,174,09,016,Miguel Hidalgo,09016,45533,41126,45533,44064,42854,44064,42854,45533,41472,45533,44064,45533,528163
HUERTAS DEL CARMEN,64,480757,2138752,175,09,003,Coyoac?ín,09003,115171,60480,66960,101088,107136,103680,115171,109814,106272,109814,72576,74995,1143158
IRRIGACION,65,478175,2149700,177,09,016,Miguel Hidalgo,09016,37498,33869,37498,33696,40176,67392,72317,66960,67392,80352,75168,56246,668563
IZTACALCO,66,487547,2143777,183,09,006,Iztacalco,09006,107136,67738,74995,72576,34819,12960,69638,93744,38880,MAL. CAL,MAL. CAL,MAL. CAL,572486
JARDIN DE SAN JACINTO,67,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,96422,60480,77674,93312,96422,93312,115171,101779,82944,93744,95904,107136,1114301
JARDINES DEL PEDREGAL #1,68,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,58925,24192,16070,23328,32141,18144,16070,29462,18144,21427,5184,24106,287194
JARDINES DEL PEDREGAL #2,69,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,21427,41126,66960,75168,53568,33696,34819,32141,46656,29462,44064,53568,532656
JARDINES DEL PEDREGAL #3,70,479590,2136089,199,09,003,Coyoac?ín,09003,101779,89510,85709,82944,91066,72576,74995,64282,59616,67764,114048,125885,1030173
JARDINES DEL PEDREGAL #4,71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0,0,0,0,0,0
JARDINES DEL PEDREGAL #4-B,72,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,56246,65318,69638,57024,66960,64800,48211,58925,33696,29462,54432,58925,663638
JARDINES DEL PEDREGAL #5,73,476896,2135388,201,09,012,Tlalpan,09012,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0,0,0,0,0,0
JARDINES DEL PEDREGAL #5-B,74,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,120528,113702,120528,108864,88387,103680,112493,115171,111456,120528,116640,123206,1355184
JARDIN MORELOS,75,481303,2145227,194,09,016,Miguel Hidalgo,09016,139277,130637,115171,132192,136598,132192,136598,131242,124416,131242,132192,131242,1572998
JARDIN POMBO,76,480823,2144109,195,09,014,Benito Ju?írez,09014,104458,91930,104458,93312,104458,103680,125885,88387,77760,88387,82944,88387,1154045
LA CAMPANA,77,480797,2141915,204,09,014,Benito Ju?írez,09014,120528,106445,120528,116640,117850,93312,107136,112493,108864,107136,106272,99101,1316304
LA CIENEGA,78,483898,2137741,205,09,003,Coyoac?ín,09003,29462,26611,29462,28512,34819,28512,29462,42854,38880,42854,18144,18749,368323
LA HUERTA,79,483034,2142593,206,09,014,Benito Ju?írez,09014,53568,48384,50890,64800,61603,46656,48211,42854,44064,42854,38880,42854,585619
LAGO GINEBRA,80,479224,2150276,209,09,016,Miguel Hidalgo,09016,69638,67738,64282,67392,80352,82944,77674,77674,75168,88387,67392,69638,888278
LEGARIA,81,478689,2150496,210,09,016,Miguel Hidalgo,09016,91066,84672,99101,95904,93744,90720,93744,99101,95904,77674,82944,85709,1090282
LOS REYES COYOACAN,82,483778,2138641,215,09,003,Coyoac?ín,09003,101779,89510,99101,114048,117850,114048,107136,112493,114048,96422,103680,115171,1285286
MARINA NACIONAL #1,83,481481,2149520,217,09,016,Miguel Hidalgo,09016,123206,96768,109814,77760,112493,101088,123206,115171,116640,125885,116640,115171,1333843
MARINA NACIONAL #3,84,480760,2150404,218,09,016,Miguel Hidalgo,09016,37498,99187,109814,93312,85709,106272,91066,96422,90720,74995,85536,72317,1042848
MARINA NACIONAL #4,85,480221,2151033,219,09,016,Miguel Hidalgo,09016,58925,96768,107136,49248,50890,51840,53568,53568,51840,58925,57024,58925,748656
MAR MEDITERRANEO,86,481776,2150834,216,09,016,Miguel Hidalgo,09016,56246,36288,40176,36288,45533,33696,34819,34819,28512,42854,41472,42854,473558
MARTIRES DE TACUBAYA,87,480664,2144482,220,09,014,Benito Ju?írez,09014,85709,77414,91066,80352,83030,88128,91066,88387,82944,91066,75168,91066,1025395
MAYORASGO,88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,REHAB.,REHAB.,REHAB.,REHAB.,REPOS.,0
METRO C.U.,89,481622,2136504,223,09,003,Coyoac?ín,09003,141955,123379,131242,132192,115171,72576,109814,99101,111456,125885,90720,104458,1357949
MIGUEL ALEMAN,90,485070,2143994,224,09,014,Benito Ju?írez,09014,34819,33869,37498,25920,24106,31104,32141,34819,33696,37498,36288,37498,399254
MIRAFLORES,91,480622,2143758,228,09,014,Benito Ju?írez,09014,120528,108864,117850,106272,112493,98496,117850,107136,106272,117850,111456,109814,1334880
MIRAVALLE,92,485274,2140695,229,09,014,Benito Ju?írez,09014,93744,120960,131242,127008,128563,116640,125885,125885,137376,139277,134784,141955,1523318
MODERNA,93,485903,2144382,230,09,014,Benito Ju?írez,09014,125885,123379,128563,119232,123206,106272,101779,136598,137376,117850,116640,128563,1465344
MOLINO DEL REY,94,479642,2147289,231,09,016,Miguel Hidalgo,09016,50890,50803,50890,33696,40176,41472,37498,18749,38880,56246,31104,26784,477187
NAPOLES,95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,77674,60480,64282,85536,88387,85536,96422,91066,88128,42854,82944,85709,949018
NATIVITAS,96,485550,2142726,236,09,014,Benito Ju?írez,09014,53568,48384,53568,46656,48211,44064,45533,45533,46656,29462,36288,56246,554170
ORTIZ RUBIO,97,485111,2142220,253,09,014,Benito Ju?írez,09014,131242,137894,152669,121824,131242,95904,99101,131242,137376,131242,129600,133920,1533254
PARQUE DE LOS VENADOS,98,483779,2141901,270,09,014,Benito Ju?írez,09014,88387,89510,91066,88128,96422,98496,101779,99101,98496,101779,103680,104458,1161302
P. MARISCAL SUCRE,99,483060,2143897,254,09,014,Benito Ju?írez,09014,74995,26611,50890,82944,85709,90720,93744,88387,44064,61603,33696,85709,819072
PEDREGAL DE SAN FRANCISCO,100,482687,2138340,277,09,003,Coyoac?ín,09003,131242,123379,136598,139968,136598,142560,139277,133920,121824,128563,127008,107136,1568074
PEDREGAL IMAN,101,481901,2135103,279,09,003,Coyoac?ín,09003,107136,128218,96422,28512,120528,72576,107136,117850,106272,133920,132192,128563,1279325
PERIODISTA,102,477073,2150067,312,09,016,Miguel Hidalgo,09016,48211,43546,42854,44064,42854,41472,53568,53568,46656,48211,46656,48211,559872
PIRULERA,103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,168739,159667,166061,145152,168739,176256,168739,174096,173664,179453,108864,144634,1934064
PORTALES,104,484686,2140946,317,09,014,Benito Ju?írez,09014,45533,41126,45533,44064,45533,44064,26784,45533,44064,45533,44064,45533,517363
POPOTLA,105,481168,2151220,316,09,016,Miguel Hidalgo,09016,21427,16934,18749,18144,18749,18144,18749,26784,25920,18749,0,40176,242525
RADIO MIL,106,484258,2143551,353,09,014,Benito Ju?írez,09014,24106,12096,13392,12960,13392,12960,13392,13392,12960,13392,12960,10714,165715
REFORMA IZTACCIHUATL,107,486349,2143484,357,09,006,Iztacalco,09006,32141,29030,32141,36288,34819,28512,37498,32141,31104,32141,33696,34819,394330
REY MOCTEZUMA,108,483541,2137081,360,09,003,Coyoac?ín,09003,235699,145152,230342,176256,141955,181440,214272,246413,243648,233021,261792,265162,2575152
ROMERO DE TERREROS,109,482187,2138640,364,09,003,Coyoac?ín,09003,REPAR.,REPAR.,REPAR.,REPAR.,REPOS.,REPOS.,REPOS.,0,0,0,0,0,0
RUIZ CORTINEZ,110,484853,2136072,365,09,003,Coyoac?ín,09003,152669,137894,141955,145152,152669,134784,158026,158026,150336,158026,38880,115171,1643587
SALESIANO,111,481404,2150143,379,09,016,Miguel Hidalgo,09016,69638,89510,93744,72576,80352,90720,74995,74995,49248,222307,173664,216950,1308701
SAN FELIPE POPOTLA,112,481648,2151031,380,09,016,Miguel Hidalgo,09016,101779,96768,101779,90720,80352,101088,93744,85709,82944,131242,127008,112493,1205626
SAN JOAQUIN TACUBA,113,478238,2150738,386,09,016,Miguel Hidalgo,09016,128563,120960,128563,121824,61603,121824,125885,152669,111456,123206,121824,123206,1441584
RIO SAN JOAQUIN,114,477902,2150276,363,09,016,Miguel Hidalgo,09016,74995,43546,45533,46656,56246,67392,69638,61603,64800,64282,44064,48211,686966
SAN JUANICO IZTAPALAPA,115,487813,2142061,389,09,007,Iztapalapa,09007,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,0,REHAB.,0,0
SANTA ANITA,116,487121,2145200,424,09,006,Iztacalco,09006,64282,58061,61603,57024,58925,57024,58925,56246,54432,56246,57024,58925,698717
SANTA CATARINA COYOACAN,117,480791,2133270,439,09,012,Tlalpan,09012,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,0
ALFONSO XIII,118,479525,2142124,20,09,010,?ülvaro Obreg??n,09010,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0,0,0,0,0,0
AV. CENTRAL,119,479826,2143897,77,09,010,?ülvaro Obreg??n,09010,18749,21773,24106,23328,50890,46656,32141,37498,38880,56246,41472,50890,442627
BARRANCA DEL MUERTO,120,477767,2140498,84,09,010,?ülvaro Obreg??n,09010,53568,48384,61603,59616,61603,59616,53568,56246,57024,58925,57024,58925,686102
CRISTO REY,121,479080,2143917,131,09,010,?ülvaro Obreg??n,09010,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0,0,0,0,0,0
CASTANEDA #5,122,479819,2141143,99,09,010,?ülvaro Obreg??n,09010,24106,24192,26784,51840,24106,25920,24106,32141,28512,37498,38880,88387,426470
CHAPULTEPEC #7,123,476811,2147687,112,09,016,Miguel Hidalgo,09016,56246,48384,56246,54432,58925,57024,58925,56246,54432,61603,41472,66960,670896
MERCED GOMEZ #1,124,479054,2141245,221,09,010,?ülvaro Obreg??n,09010,69638,53222,64282,64800,66960,67392,69638,69638,69984,61603,59616,61603,778378
MERCED GOMEZ #2,125,479362,2140943,222,09,010,?ülvaro Obreg??n,09010,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0,0,0,0,0,0
OLIVAR DE LOS PADRES,126,477978,2138211,251,09,010,?ülvaro Obreg??n,09010,32141,29030,32141,31104,29462,31104,32141,32141,31104,32141,31104,32141,375754
POZO CASSO,127,479631,2143506,319,09,010,?ülvaro Obreg??n,09010,48211,33869,37498,36288,34819,33696,42854,37498,36288,37498,31104,26784,436406
RIO HONDO,128,477108,2150026,362,09,016,Miguel Hidalgo,09016,REPAR.,REPOS.,REPOS.,28512,32141,31104,32141,26784,28512,29462,15552,29462,253670
SAN JERONIMO #3 (ANZALDO),129,476723,2136300,385,09,008,La Magdalena Contreras,09008,58925,50803,64282,51840,58925,59616,58925,58925,59616,64282,59616,104458,750211
SAN ANGEL INN,130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32141,26611,29462,28512,21427,28512,34819,32141,31104,34819,31104,18749,349402
SANTA LUCIA MIXCOAC,131,477689,2141301,446,09,010,?ülvaro Obreg??n,09010,58925,50803,56246,54432,56246,54432,56246,56246,54432,61603,59616,61603,680832
TACUBAYA #1,132,479760,2144819,460,09,010,?ülvaro Obreg??n,09010,91066,111283,112493,119232,123206,121824,123206,128563,124416,133920,85536,88387,1363133
TACUBAYA #2,133,478505,2144514,461,09,010,?ülvaro Obreg??n,09010,42854,36288,56246,57024,66960,69984,77674,74995,72576,72317,69984,72317,769219
TACUBAYA #3,134,477626,2144350,462,09,010,?ülvaro Obreg??n,09010,61603,58061,66960,38880,69638,72576,61603,56246,54432,69638,67392,77674,754704
TETELPAN,135,475535,2138416,496,09,010,?ülvaro Obreg??n,09010,42854,38707,42854,41472,24106,23328,32141,34819,23328,34819,31104,34819,404352
TOTOLAPAN,136,470953,2140338,502,09,004,Cuajimalpa de Morelos,09004,37498,53222,56246,57024,61603,59616,77674,45533,44064,8035,46656,56246,603418
VISTA HERMOSA,137,472181,2142453,567,09,004,Cuajimalpa de Morelos,09004,72317,65318,72317,69984,72317,75168,80352,72317,69984,77674,69984,93744,891475
PLANTA RIO MAGDALENA,138,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,524966,474163,519610,495072,514253,466560,508896,519610,502848,519610,502848,535680,6084115
SANTA LUCIA#1,139,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99101,89510,96422,95904,117850,101088,88387,96422,93312,91066,75168,96422,1140653
PADIERNA #4,140,476884,2135388,258,09,008,La Magdalena Contreras,09008,50890,19354,107136,103680,107136,103680,64282,61603,62208,50890,44064,64282,839203
PEDREGAL #2,141,478376,2140393,274,09,010,?ülvaro Obreg??n,09010,13392,12096,91066,137376,32141,33696,66960,66960,67392,66960,67392,53568,708998
SECTOR POPULAR #3,142,488361,2140458,456,09,007,Iztapalapa,09007,RECUP.,RECUP.,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,0,0,0,0,0,0
TLACOTAL,143,490508,2143981,498,09,006,Iztacalco,09006,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,0,0,0,0,0,0
UNIDAD MODELO #1,144,487114,2141384,532,09,007,Iztapalapa,09007,190166,123379,187488,158112,152669,160704,163382,139277,88128,141955,REHAB.,160704,1665965
UNIDAD MODELO #2,145,486789,2140914,533,09,007,Iztapalapa,09007,REPOS.,REPOS.,REPOS.,59616,160704,168480,171418,168739,150336,174096,178848,168739,1400976
UNIDAD MODELO #3,146,487174,2140802,534,09,007,Iztapalapa,09007,42854,16934,40176,36288,POZ. PAR,REPAR.,REPAR.,56246,REPOS.,REPOS.,REPOS.,REPOS.,192499
VIGA #1,147,487435,2140423,559,09,007,Iztapalapa,09007,120528,113702,104458,75168,80352,106272,117850,112493,95904,112493,69984,117850,1227053
VIGA #2,148,487191,2140016,560,09,003,Coyoac?ín,09003,214272,188698,149990,191808,168739,196992,117850,187488,181440,198202,189216,211594,2196288
AGRICOLA ORIENTAL #2,149,490893,2142731,8,09,007,Iztapalapa,09007,64282,48384,74995,62208,48211,38880,40176,29462,54432,26784,51840,107136,646790
AGRICOLA ORIENTAL #4,150,490868,2143163,9,09,007,Iztapalapa,09007,158026,142733,155347,147744,147312,152928,123206,144634,132192,155347,158112,160704,1778285
AGRICOLA ORIENTAL #5,151,491237,2143074,10,09,007,Iztapalapa,09007,77674,REPAR.,72317,158112,69638,222912,155347,160704,137376,144634,152928,REPAR.,1351642
AGRICOLA ORIENTAL #6,152,491988,2143150,11,09,007,Iztapalapa,09007,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0,0,0,0,0,0
AGRICOLA ORIENTAL #7,153,492701,2143036,12,09,007,Iztapalapa,09007,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0,0,0,0,0,0
SANTA CRUZ MEYEHUALCO #2,154,496913,2138347,443,09,007,Iztapalapa,09007,158026,137894,136598,150336,149990,139968,149990,144634,137376,152669,152928,147312,1757722
AGRICOLA ORIENTAL #1,155,493122,2143239,7,09,007,Iztapalapa,09007,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0,0,0,0,0,0
CD. DEPORTIVA #2,156,490524,2145198,102,09,006,Iztacalco,09006,50890,45965,50890,49248,45533,RECUP.,RECUP.,RECUP.,REHAB.,REHAB.,REHAB.,REHAB.,242525
DEPORT. SAN SEBASTIAN,157,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,MAL. CAL,0,0,0,0,0,0
GRANJAS ESTRELLA #1,158,490215,2136947,168,09,007,Iztapalapa,09007,42854,53222,18749,82944,56246,64800,66960,58925,62208,50890,51840,53568,663206
GRANJAS ESTRELLA #2,159,490395,2136697,169,09,007,Iztapalapa,09007,45533,45965,26784,49248,29462,23328,16070,21427,12960,26784,36288,26784,360634
