GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,10697443
1996,,,,,,,,,,,,,,,,,,,,,477371491
,,426,,,,,,,,,,,,,,,,,,,494673178
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,139104,203213,205632,223776,181440,179626,235872,190426,180403,208656,171763,208656,2328566
AHUIZOTLA,2,478008,2153563,13,09,002,Azcapotzalco,09002,48384,43546,43546,45360,31450,37325,51408,42595,40090,42336,36288,54432,516758
ATORON #6,3,482692,2154553,44,09,002,Azcapotzalco,09002,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,48384,41126,51408,140918
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,178416,116122,116122,151200,120960,102643,72576,110246,110246,123984,72576,81648,1356739
CAMPAMENTO AZCAPOTZALCO,5,480744,2154714,91,09,002,Azcapotzalco,09002,105840,74995,74995,96768,77414,72317,93744,80179,65146,78624,101606,117936,1039565
CLAVERIA,6,480901,2152320,120,09,002,Azcapotzalco,09002,84672,70157,31450,66528,65318,62986,REPAR.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,381110
DEPORTIVO FERRERIA,7,482973,2152823,135,09,002,Azcapotzalco,09002,108864,55642,29030,66528,19354,37325,72576,85190,75168,102816,82253,105840,840586
DEPORTIVO REYNOSA,8,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,175392,106445,140314,DESAR.,DESAR.,DESAR.,DESAR.,REHAB.,REHAB.,REPOS.,REHAB.,REHAB.,422150
HOGAR Y SEGURIDAD,9,482157,2152446,173,09,002,Azcapotzalco,09002,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REPOS.,REPOS.,REPOS.,0
JARDIN SAN ALVARO,10,480945,2151587,196,09,016,Miguel Hidalgo,09016,108864,84672,84672,102816,82253,53654,66528,92707,52618,48384,29030,36288,842486
NUEVA SANTA MARIA,11,482650,2152058,248,09,002,Azcapotzalco,09002,151200,104026,96768,123984,104026,86314,117936,117763,112752,117936,REPAR.,142128,1274832
OBRERO POPULAR,12,481957,2152026,250,09,002,Azcapotzalco,09002,139104,111283,REPAR.,133056,96768,104976,133056,102730,65146,99792,113702,136080,1235693
PANAMERICANA,13,484759,2153609,262,09,005,Gustavo A. Madero,09005,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,0
PANTACO #1,14,482283,2154851,263,09,002,Azcapotzalco,09002,102816,65318,67738,81648,65318,62986,81648,67651,65146,75600,43546,60480,839894
PANTACO #2,15,482419,2154039,264,09,002,Azcapotzalco,09002,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REPOS.,REPOS.,REPOS.,0
PANTACO #3,16,482304,2153389,265,09,002,Azcapotzalco,09002,151200,120960,79834,145152,116122,95645,123984,125280,120269,148176,123379,133056,1483056
PARQUE TEZOZOMOC,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,120960,118541,159667,232848,152410,137635,211680,177898,177898,48384,169344,REPAR.,1707264
PETROLERA,18,479198,2154207,313,09,002,Azcapotzalco,09002,60480,58061,53222,57456,50803,39658,48384,42595,37584,51408,36288,45360,581299
PRADOS DEL ROSARIO,19,478144,2155925,321,09,002,Azcapotzalco,09002,142128,113702,113702,145152,101606,104976,136080,125280,120269,151200,125798,151200,1531094
PRO-HOGAR,20,483605,2152928,323,09,002,Azcapotzalco,09002,84672,48384,62899,99792,60480,107309,151200,85190,77674,90720,99187,117936,1085443
PROVIDENCIA,21,478144,2155181,324,09,002,Azcapotzalco,09002,57456,41126,41126,66528,43546,58320,75600,60134,17539,72576,62899,75600,672451
PRESIDENTE MADERO,22,478895,2155313,322,09,002,Azcapotzalco,09002,178416,142733,140314,175392,145152,165629,214704,155347,155347,60480,99187,102816,1735517
SANTA CATARINA AZCAPOTZALCO,23,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,102816,94349,94349,90720,74995,32659,42336,42595,REPAR.,69552,60480,75600,780451
SAN JUAN TLIHUACA,24,478946,2154626,388,09,002,Azcapotzalco,09002,148176,36288,36288,39312,33869,27994,36288,30067,27562,36288,24192,30240,506563
SAN MARTIN XOCHINAHUAC #1,25,479995,2155926,415,09,002,Azcapotzalco,09002,72576,55642,55642,66528,45965,44323,54432,50112,50112,63504,48384,54432,661651
SAN MARTIN XOCHINAHUAC #2,26,478781,2155913,416,09,002,Azcapotzalco,09002,133056,91930,96768,205632,101606,132970,208656,167875,162864,142128,137894,193536,1774915
SAN MIGUEL AMANTLA,27,478540,2153210,417,09,002,Azcapotzalco,09002,151200,108864,120960,145152,104026,109642,136080,125280,70157,151200,106445,123984,1452989
SAN PEDRO XALPA #1,28,478126,2154207,421,09,002,Azcapotzalco,09002,78624,43546,43546,REPAR.,REPAR.,REPAR.,REPAR.,REHAB.,REHAB.,51408,26611,36288,280022
SAN PEDRO XALPA #2,29,477447,2154531,422,09,002,Azcapotzalco,09002,117936,67738,67738,81648,72576,58320,84672,37584,67651,81648,67738,81648,886896
TRABAJADORES DEL HIERRO,30,484108,2153620,503,09,002,Azcapotzalco,09002,96768,116122,36288,123984,104026,93312,REPAR.,REHAB.,REHAB.,REPOS.,REPOS.,REPOS.,570499
VALLE DEL TEPEYAC,31,485252,2154857,535,09,005,Gustavo A. Madero,09005,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,MAL.CAL,0
VILLAS AZCAPOTZALCO,32,479576,2155276,566,09,002,Azcapotzalco,09002,72576,65318,65318,84672,58061,REPAR.,81648,2506,115258,157248,106445,133056,942106
ABASOLO JARDIN,33,484606,2150489,2,09,015,Cuauht??moc,09015,DESAR.,DESAR.,DESAR.,DESAR.,DESAR.,DESAR.,DESAR.,DESAR.,DESAR.,REPOS.,REPOS.,REPOS.,0
ACACIAS,34,481862,2140960,4,09,014,Benito Ju?írez,09014,72576,55642,55642,69552,48384,51322,66528,45101,27562,72576,55642,72576,693101
ALAMEDA DE SANTA MARIA,35,483553,2150442,15,09,015,Cuauht??moc,09015,181440,145152,140314,160272,154829,153965,193536,125280,147830,181440,145152,181440,1910650
ALAMEDA DE TACUBAYA,36,480571,2145040,16,09,016,Miguel Hidalgo,09016,66528,50803,58061,66528,55642,51322,63504,47606,55123,63504,58061,66528,703210
ALAMOS JARDIN #1,37,485190,2144841,17,09,014,Benito Ju?írez,09014,54432,91930,94349,120960,104026,81648,24192,92707,120269,123984,101606,120960,1131062
ALAMOS JARDIN #2,38,485124,2145120,18,09,014,Benito Ju?írez,09014,120960,106445,106445,123984,99187,100310,117936,95213,112752,142128,111283,136080,1372723
ALBERT Y BERLIN,39,485377,2141715,19,09,014,Benito Ju?írez,09014,81648,70157,70157,84672,67738,53654,51408,47606,52618,57456,48384,66528,752026
ALGARIN,40,485104,2145574,21,09,015,Cuauht??moc,09015,117936,104026,104026,127008,91930,93312,114912,87696,97718,114912,91930,90720,1236125
ALTAVISTA,41,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,157248,128218,133056,148176,128218,109642,151200,105235,110246,163296,147571,169344,1651450
ANTONIO M. ANZA,42,483287,2146238,36,09,015,Cuauht??moc,09015,66528,70157,70157,84672,70157,67651,81648,67651,70157,87696,55642,75600,867715
ARENAL SAN ANGEL,43,480917,2139244,38,09,003,Coyoac?ín,09003,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
ARNAIZ ROSENDO,44,480411,2143138,39,09,014,Benito Ju?írez,09014,145152,142733,142733,142128,130637,125971,175392,142819,147830,181440,145152,181440,1803427
AXOTLA,45,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,63504,55642,58061,63504,53222,48989,75600,55123,47606,75600,58061,54432,709344
BENJAMIN FRANKLIN,46,480957,2145692,87,09,016,Miguel Hidalgo,09016,51408,38707,38707,48384,38707,32659,36288,30067,25056,33264,29030,36288,438566
CAMPOS ELISEOS,47,478852,2148058,94,09,016,Miguel Hidalgo,09016,84672,67738,67738,75600,65318,65318,111888,90202,90202,123984,94349,111888,1048896
CASA AMARILLA,48,480065,2145785,98,09,016,Miguel Hidalgo,09016,69552,111283,125798,160272,87091,88646,136080,125280,92707,114912,RECUP.,RECUP.,1111622
CEDROS Y MOLIERE,49,478706,2148642,104,09,016,Miguel Hidalgo,09016,90720,74995,74995,87696,70157,76982,96768,72662,72662,87696,72576,84672,962582
CICERON,50,478413,2148337,119,09,016,Miguel Hidalgo,09016,102816,82253,84672,102816,82253,72317,102816,80179,80179,99792,82253,96768,1069114
DIAGONAL SAN ANTONIO,51,484551,2144735,139,09,014,Benito Ju?írez,09014,81648,70157,74995,93744,72576,79315,105840,87696,92707,117936,96768,114912,1088294
CHAPULTEPEC MORALES,52,480327,2148642,113,09,016,Miguel Hidalgo,09016,75600,70157,70157,87696,70157,67651,84672,72662,72662,84672,67738,87696,911520
HORMIGA,53,479959,2146530,174,09,016,Miguel Hidalgo,09016,69552,53222,53222,66528,50803,48989,63504,55123,55123,66528,53222,63504,699322
HUERTAS DEL CARMEN,54,480757,2138752,175,09,003,Coyoac?ín,09003,123984,72576,72576,96768,89510,79315,114912,87696,97718,120960,82253,108864,1147133
IRRIGACION,55,478175,2149700,177,09,016,Miguel Hidalgo,09016,27216,50803,50803,72576,58061,65318,54432,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,379210
JARDIN DE SAN JACINTO,56,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,105840,77414,77414,POZ.PAR,79834,60653,81648,67651,62640,90720,70157,84672,858643
JARDINES DEL PEDREGAL #1,57,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,81648,45965,45965,72576,43546,62986,72576,65146,62640,72576,50803,75600,752026
JARDINES DEL PEDREGAL #2,58,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,6048,7258,7258,12096,31450,18662,30240,10022,15034,27216,21773,RECUP.,187056
JARDINES DEL PEDREGAL #3,59,479590,2136089,199,09,003,Coyoac?ín,09003,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0
JARDINES DEL PEDREGAL #4-B,60,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,78624,62899,62899,45360,31450,30326,39312,37584,65146,78624,96768,133056,762048
JARDINES DEL PEDREGAL #5-B,61,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0
JARDIN MORELOS,62,481303,2145227,194,09,016,Miguel Hidalgo,09016,127008,89510,89510,114912,89510,86314,102816,95213,100224,123984,101606,127008,1247616
JARDIN POMBO,63,480823,2144109,195,09,014,Benito Ju?írez,09014,57456,36288,48384,57456,41126,55987,114912,92707,90202,99792,91930,102816,889056
LA CAMPANA,64,480797,2141915,204,09,014,Benito Ju?írez,09014,90720,53222,77414,81648,62899,69984,87696,72662,72662,87696,72576,90720,919901
LA HUERTA,65,483034,2142593,206,09,014,Benito Ju?írez,09014,139104,171763,171763,205632,164506,165629,196560,177898,170381,211680,120960,199584,2095459
LAGO GINEBRA,66,479224,2150276,209,09,016,Miguel Hidalgo,09016,75600,70157,70157,6048,62899,72317,102816,90202,72662,102816,89510,111888,927072
LEGARIA,67,478689,2150496,210,09,016,Miguel Hidalgo,09016,24192,94349,94349,111888,84672,83981,108864,87696,77674,27216,62899,96768,954547
MARINA NACIONAL #1,68,481481,2149520,217,09,016,Miguel Hidalgo,09016,120960,101606,101606,127008,87091,100310,123984,95213,87696,78624,21773,117936,1163808
MARINA NACIONAL #3,69,480760,2150404,218,09,016,Miguel Hidalgo,09016,90720,70157,70157,90720,62899,62986,78624,65146,57629,81648,62899,69552,863136
MARINA NACIONAL #4,70,480221,2151033,219,09,016,Miguel Hidalgo,09016,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,51408,26611,51408,129427
MAR MEDITERRANEO,71,481776,2150834,216,09,016,Miguel Hidalgo,09016,145152,113702,113702,145152,135475,123638,157248,137808,137808,145152,116122,145152,1616112
