SAN PEDRO XALPA #2,33,477447,2154531,422,09,002,Azcapotzalco,09002,77674,70157,66960,69984,69638,62208,53568,64282,88128,96422,88128,56246,863395
TRABAJADORES DEL HIERRO,34,484108,2153620,503,09,002,Azcapotzalco,09002,107136,96768,112493,77760,93744,106272,109814,99101,93312,107136,114048,117850,1235434
ABASOLO JARDIN,35,484606,2150489,2,09,015,Cuauht??moc,09015,77674,65318,10714,25920,69638,62208,32141,RECUP.,RECUP.,REHAB.,REHAB.,REHAB.,343613
ABRIL #24,36,487773,2146810,3,09,017,Venustiano Carranza,09017,72317,58061,45533,69984,69638,67392,61603,74995,51840,74995,64800,REPAR.,711158
ACACIAS,37,481862,2140960,4,09,014,Benito Ju?írez,09014,83030,74995,83030,75168,77674,90720,96422,80352,80352,85709,75168,77674,980294
AJUSCO,38,483445,2136071,14,09,003,Coyoac?ín,09003,58925,53222,64282,57024,56246,57024,58925,34819,33696,40176,38880,37498,590717
ALAMEDA DE SANTA MARIA,39,483553,2150442,15,09,015,Cuauht??moc,09015,34819,31450,34819,31104,32141,31104,32141,32141,31104,34819,38880,40176,404698
ALAMEDA DE TACUBAYA,40,480571,2145040,16,09,016,Miguel Hidalgo,09016,104458,94349,104458,98496,99101,116640,123206,96422,106272,93744,103680,107136,1247962
ALAMOS JARDIN #1,41,485190,2144841,17,09,014,Benito Ju?írez,09014,66960,55642,66960,64800,61603,64800,66960,56246,57024,64282,62208,69638,757123
ALAMOS JARDIN #2,42,485124,2145120,18,09,014,Benito Ju?írez,09014,123206,116122,115171,67392,80352,124416,128563,128563,132192,128563,127008,128563,1400112
ALBERT Y BERLIN,43,485377,2141715,19,09,014,Benito Ju?írez,09014,26784,26611,26784,15552,21427,18144,21427,21427,23328,26784,25920,24106,278294
ALGARIN,44,485104,2145574,21,09,015,Cuauht??moc,09015,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,REPOS.,0
ALTAVISTA,45,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,5357,21773,24106,REPAR.,45533,127008,182131,104458,72576,91066,85536,112493,872035
ALTILLO UNIVERSIDAD #1,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,0
ALTILLO UNIVERSIDAD #2,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,112493,94349,109814,111456,115171,85536,88387,80352,80352,21427,116640,187488,1203466
ANTONIO M. ANZA,48,483287,2146238,36,09,015,Cuauht??moc,09015,85709,77414,88387,69984,85709,98496,104458,83030,80352,96422,93312,91066,1054339
ARENAL SAN ANGEL,49,480917,2139244,38,09,003,Coyoac?ín,09003,91066,84672,91066,85536,85709,82944,88387,85709,44064,40176,46656,45533,871517
ARNAIZ ROSENDO,50,480411,2143138,39,09,014,Benito Ju?írez,09014,101779,91930,101779,77760,80352,98496,101779,88387,85536,99101,90720,93744,1111363
AXOTLA,51,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,42854,38707,42854,51840,50890,41472,40176,42854,46656,50890,46656,40176,536026
BALBUENA #1,52,488461,2146452,82,09,017,Venustiano Carranza,09017,50890,45965,48211,49248,48211,49248,50890,50890,49248,40176,33696,37498,554170
BALBUENA #2,53,489467,2146172,83,09,017,Venustiano Carranza,09017,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,M.Cal.,0
BENJAMIN FRANKLIN,54,480957,2145692,87,09,016,Miguel Hidalgo,09016,56246,53222,53568,49248,56246,57024,56246,50890,49248,53568,38880,40176,614563
CAMPESTRE,55,483850,2140451,92,09,014,Benito Ju?írez,09014,REPOS.,REPOS.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,0,0,0,REHAB.,REHAB.,0
CAMPOS ELISEOS,56,478852,2148058,94,09,016,Miguel Hidalgo,09016,91066,82253,88387,88128,91066,88128,93744,91066,88128,96422,93312,99101,1090800
CARACOL,57,482972,2134511,96,09,003,Coyoac?ín,09003,91066,84672,91066,85536,85709,64800,69638,66960,67392,72317,80352,61603,921110
CASA AMARILLA,58,480065,2145785,98,09,016,Miguel Hidalgo,09016,85709,77414,83030,72576,74995,64800,66960,64282,67392,66960,62208,64282,850608
CEDROS Y MOLIERE,59,478706,2148642,104,09,016,Miguel Hidalgo,09016,64282,55642,64282,95904,99101,36288,32141,37498,33696,37498,36288,32141,624758
CD. DEPORTIVA,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56246,65318,72317,72576,77674,77760,80352,80352,75168,61603,59616,58925,837907
CICERON,61,478413,2148337,119,09,016,Miguel Hidalgo,09016,112493,101606,107136,119232,91066,124416,125885,120528,116640,133920,127008,133920,1413850
COLONIA DEL CARMEN FRAGATA,62,483260,2139989,127,09,003,Coyoac?ín,09003,85709,77414,85709,82944,88387,25920,24106,24106,20736,195523,184032,195523,1090109
COPILCO UNIVERSIDAD,63,480690,2137954,128,09,003,Coyoac?ín,09003,34819,29030,29462,10368,29462,25920,29462,24106,23328,37498,33696,26784,333936
COYUYA,64,487986,2144947,130,09,006,Iztacalco,09006,37498,31450,34819,31104,2678,23328,26784,24106,RECUP.,REHAB.,REHAB.,REHAB.,211766
CHAPULTEPEC MORALES,65,480327,2148642,113,09,016,Miguel Hidalgo,09016,123206,101606,109814,98496,99101,28512,64282,61603,62208,69638,72576,77674,968717
DEPORTIVO CANTIL,66,483864,2138082,133,09,003,Coyoac?ín,09003,P.Nvo.,154829,168739,155520,158026,152928,163382,187488,173664,131242,134784,136598,1717200
DEPORTIVO DURANGO,67,483374,2135359,134,09,003,Coyoac?ín,09003,P.Nvo.,130637,147312,145152,149990,134784,147312,123206,119232,123206,98496,101779,1421107
DIAGONAL SAN ANTONIO,68,484551,2144735,139,09,014,Benito Ju?írez,09014,101779,101606,112493,108864,112493,103680,107136,107136,103680,101779,98496,101779,1260922
FRACCIONAMIENTO BANJIDAL,69,485761,2140779,158,09,007,Iztapalapa,09007,96422,108864,112493,108864,115171,95904,96422,83030,75168,72317,85536,85709,1135901
HORMIGA,70,479959,2146530,174,09,016,Miguel Hidalgo,09016,42854,38707,42854,41472,40176,38880,42854,40176,38880,42854,41472,42854,494035
HUERTAS DEL CARMEN,71,480757,2138752,175,09,003,Coyoac?ín,09003,125885,82253,133920,129600,133920,95904,99101,99101,124416,131242,127008,115171,1397520
IRRIGACION,72,478175,2149700,177,09,016,Miguel Hidalgo,09016,34819,33869,34819,38880,40176,36288,40176,34819,33696,40176,36288,34819,438826
IZTACALCO,73,487547,2143777,183,09,006,Iztacalco,09006,99101,94349,104458,95904,96422,90720,96422,85709,82944,99101,95904,101779,1142813
JARDIN DE SAN JACINTO,74,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,112493,104026,107136,98496,125885,95904,115171,99101,98496,85709,106272,72317,1221005
JARDINES DEL PEDREGAL #1,75,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,21427,7258,74995,49248,66960,64800,69638,66960,31104,26784,75168,69638,623981
JARDINES DEL PEDREGAL #2,76,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,72317,60480,58925,57024,32141,54432,83030,13392,7776,26784,54432,107136,627869
JARDINES DEL PEDREGAL #3,77,479590,2136089,199,09,003,Coyoac?ín,09003,99101,58061,99101,90720,93744,64800,40176,77674,67392,99101,93312,99101,982282
JARDINES DEL PEDREGAL #4,78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16070,14515,16070,15552,13392,15552,16070,16070,12960,RECUP.,RECUP.,RECUP.,136253
JARDINES DEL PEDREGAL #4-B,79,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,85709,79834,74995,72576,53568,46656,50890,50890,49248,40176,33696,45533,683770
JARDINES DEL PEDREGAL #5,80,476896,2135388,201,09,012,Tlalpan,09012,42854,38707,32141,REPAR.,RECUP.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,113702
JARDINES DEL PEDREGAL #5-B,81,477155,2135188,203,09,010,?ülvaro Obreg??n,09010,64282,62899,69638,72576,74995,67392,69638,77674,90720,91066,90720,45533,877133
JARDIN MORELOS,82,481303,2145227,194,09,016,Miguel Hidalgo,09016,147312,125798,144634,139968,133920,139968,144634,141955,142560,141955,132192,141955,1676851
JARDIN POMBO,83,480823,2144109,195,09,014,Benito Ju?írez,09014,83030,99187,109814,93312,83030,90720,104458,96422,95904,107136,101088,96422,1160525
LA CAMPANA,84,480797,2141915,204,09,014,Benito Ju?írez,09014,128563,116122,123206,114048,112493,127008,131242,123206,119232,112493,116640,120528,1444781
LA CIENEGA,85,483898,2137741,205,09,003,Coyoac?ín,09003,85709,79834,80352,80352,85709,88128,91066,26784,28512,29462,28512,29462,733882
LA HUERTA,86,483034,2142593,206,09,014,Benito Ju?írez,09014,88387,77414,61603,93312,96422,90720,93744,72317,72576,50890,51840,53568,902794
LAGO GINEBRA,87,479224,2150276,209,09,016,Miguel Hidalgo,09016,133920,113702,131242,82944,64282,82944,91066,64282,69984,66960,85536,91066,1077926
LEGARIA,88,478689,2150496,210,09,016,Miguel Hidalgo,09016,136598,123379,133920,77760,REPAR.,REPAR.,48211,48211,46656,83030,82944,88387,869098
LOS REYES COYOACAN,89,483778,2138641,215,09,003,Coyoac?ín,09003,136598,116122,128563,119232,120528,119232,128563,91066,88128,109814,93312,99101,1350259
MARINA NACIONAL #1,90,481481,2149520,217,09,016,Miguel Hidalgo,09016,104458,91930,96422,62208,96422,103680,99101,66960,93312,91066,114048,120528,1140134
MARINA NACIONAL #3,91,480760,2150404,218,09,016,Miguel Hidalgo,09016,40176,21773,42854,25920,34819,28512,58925,64282,64800,80352,49248,64282,575942
MARINA NACIONAL #4,92,480221,2151033,219,09,016,Miguel Hidalgo,09016,64282,58061,61603,57024,58925,49248,53568,50890,62208,85709,51840,56246,709603
MAR MEDITERRANEO,93,481776,2150834,216,09,016,Miguel Hidalgo,09016,77674,118541,131242,121824,128563,51840,53568,56246,51840,107136,57024,58925,1014422
MARTIRES DE TACUBAYA,94,480664,2144482,220,09,014,Benito Ju?írez,09014,93744,84672,88387,85536,85709,90720,93744,88387,77760,88387,82944,88387,1048378
MAYORASGO,95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56246,50803,56246,54432,56246,49248,58925,83030,75168,80352,88128,8035,716861
METRO C.U.,96,481622,2136504,223,09,003,Coyoac?ín,09003,131242,125798,112493,121824,107136,108864,101779,93744,82944,125885,134784,136598,1383091
MIGUEL ALEMAN,97,485070,2143994,224,09,014,Benito Ju?írez,09014,34819,33869,34819,36288,37498,31104,37498,34819,33696,34819,33696,34819,417744
MIRAFLORES,98,480622,2143758,228,09,014,Benito Ju?írez,09014,133920,125798,136598,132192,131242,119232,133920,115171,114048,120528,119232,123206,1505088
MIRAVALLE,99,485274,2140695,229,09,014,Benito Ju?írez,09014,147312,142733,147312,145152,24106,152928,149990,152669,145152,144634,142560,136598,1631146
MODERNA,100,485903,2144382,230,09,014,Benito Ju?írez,09014,136598,118541,115171,129600,120528,124416,117850,125885,119232,139277,132192,115171,1494461
MOLINO DEL REY,101,479642,2147289,231,09,016,Miguel Hidalgo,09016,131242,116122,125885,127008,131242,116640,120528,136598,134784,141955,85536,112493,1480032
NAPOLES,102,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99101,84672,91066,82944,83030,77760,83030,93744,106272,80352,82944,77674,1042589
NATIVITAS,103,485550,2142726,236,09,014,Benito Ju?írez,09014,53568,43546,48211,51840,53568,44064,53568,48211,46656,45533,46656,48211,583632
ORTIZ RUBIO,104,485111,2142220,253,09,014,Benito Ju?írez,09014,141955,116122,128563,124416,133920,121824,149990,131242,129600,136598,132192,133920,1580342
PARQUE DE LOS VENADOS,105,483779,2141901,270,09,014,Benito Ju?írez,09014,107136,101606,96422,186624,219629,95904,101779,104458,98496,85709,93312,85709,1376784
P. MARISCAL SUCRE,106,483060,2143897,254,09,014,Benito Ju?írez,09014,REPOS.,REPOS.,REHAB.,REHAB.,REHAB.,REHAB.,REHAB.,66960,67392,66960,44064,72317,317693
PEDREGAL DE SAN FRANCISCO,107,482687,2138340,277,09,003,Coyoac?ín,09003,115171,65318,115171,111456,109814,103680,109814,117850,114048,123206,119232,128563,1333325
PEDREGAL IMAN,108,481901,2135103,279,09,003,Coyoac?ín,09003,88387,123379,139277,124416,125885,147744,158026,139277,129600,125885,129600,120528,1552003
PERIODISTA,109,477073,2150067,312,09,016,Miguel Hidalgo,09016,53568,48384,53568,44064,45533,46656,48211,45533,41472,32141,49248,42854,551232
PIRULERA,110,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,128563,106445,123206,142560,133920,111456,136598,136598,145152,155347,176256,176774,1672877
PORTALES,111,484686,2140946,317,09,014,Benito Ju?írez,09014,45533,36288,45533,44064,45533,36288,45533,45533,44064,45533,44064,45533,523498
POPOTLA,112,481168,2151220,316,09,016,Miguel Hidalgo,09016,16070,14515,13392,20736,21427,18144,18749,18749,18144,18749,18144,18749,215568
RADIO MIL,113,484258,2143551,353,09,014,Benito Ju?írez,09014,66960,29030,32141,31104,29462,25920,29462,0,7776,18749,18144,18749,307498
REFORMA IZTACCIHUATL,114,486349,2143484,357,09,006,Iztacalco,09006,26784,24192,29462,28512,29462,33696,32141,34819,31104,32141,31104,32141,365558
REY MOCTEZUMA,115,483541,2137081,360,09,003,Coyoac?ín,09003,,108864,227664,212544,216950,196992,211594,152669,196992,249091,189216,203558,2166134
ROMERO DE TERREROS,116,482187,2138640,364,09,003,Coyoac?ín,09003,32141,31450,29462,12960,10714,0,24106,2678,5184,2678,REPAR.,REPAR.,151373
RUIZ CORTINEZ,117,484853,2136072,365,09,003,Coyoac?ín,09003,133920,120960,133920,129600,131242,129600,133920,147312,145152,149990,147744,149990,1653350
SALESIANO,118,481404,2150143,379,09,016,Miguel Hidalgo,09016,61603,55642,58925,57024,56246,54432,58925,53568,54432,58925,57024,61603,688349
SAN FELIPE POPOTLA,119,481648,2151031,380,09,016,Miguel Hidalgo,09016,101779,84672,80352,90720,83030,80352,99101,85709,88128,91066,88128,96422,1069459
SAN JOAQUIN TACUBA,120,478238,2150738,386,09,016,Miguel Hidalgo,09016,69638,111283,123206,114048,115171,111456,120528,115171,127008,112493,116640,125885,1362528
RIO SAN JOAQUIN,121,477902,2150276,363,09,016,Miguel Hidalgo,09016,72317,65318,64282,64800,61603,64800,66960,66960,64800,77674,41472,72317,783302
SAN JUANICO IZTAPALAPA,122,487813,2142061,389,09,007,Iztapalapa,09007,34819,16934,21427,20736,21427,20736,13392,REPAR.,RECUP.,RECUP.,RECUP.,RECUP.,149472
SANTA ANITA,123,487121,2145200,424,09,006,Iztacalco,09006,69638,60480,58925,67392,64282,57024,69638,58925,57024,50890,62208,64282,740707
SANTA CATARINA COYOACAN,124,480791,2133270,439,09,012,Tlalpan,09012,26784,14515,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,41299
SANTA URSULA COAPA,125,483956,2134956,449,09,003,Coyoac?ín,09003,53568,82253,83030,88128,88387,75168,83030,72317,72576,69638,69984,56246,894326
SANTIAGO TLATELOLCO,126,485843,2150447,452,09,015,Cuauht??moc,09015,32141,77414,48211,20736,10714,7776,8035,REPAR.,RECUP.,REHAB.,REHAB.,REHAB.,205027
SIFON,127,498446,2140032,457,09,007,Iztapalapa,09007,40176,31450,37498,33696,8035,REPAR.,REPAR.,REPAR.,REPAR.,REHAB.,REHAB.,REHAB.,150854
TACUBA,128,480210,2151387,459,09,016,Miguel Hidalgo,09016,85709,77414,37498,93312,93744,93312,96422,99101,98496,99101,93312,96422,1063843
TIZAPAN,129,478906,2138404,497,09,010,?ülvaro Obreg??n,09010,109814,130637,99101,REPAR.,REHAB.,REHAB.,REHAB.,45533,69984,88387,69984,32141,645581
UNIVERSIDAD,130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,112493,111283,107136,95904,109814,72576,48211,99101,93312,99101,90720,99101,1138752
VERONICA,131,481682,2148727,555,09,016,Miguel Hidalgo,09016,45533,41126,45533,41472,42854,31104,32141,21427,12960,24106,10368,18749,367373
VIADUCTO,132,481343,2144628,556,09,014,Benito Ju?írez,09014,125885,111283,123206,116640,112493,114048,136598,109814,108864,133920,129600,136598,1458950
VIGA #3,133,487162,2141990,561,09,007,Iztapalapa,09007,219629,188698,198202,207360,192845,215136,222307,198202,171072,214272,191808,192845,2412374
VIGA #4,134,487094,2143085,562,09,006,Iztacalco,09006,99101,70157,80352,75168,80352,101088,24106,104458,119232,109814,106272,66960,1037059
VILLA OLIMPICA #1,135,480489,2134541,563,09,003,Coyoac?ín,09003,112493,91930,109814,124416,104458,101088,99101,107136,106272,104458,103680,115171,1280016
VIVEROS DEL RELOJ #1,136,485383,2135593,568,09,003,Coyoac?ín,09003,34819,24192,26784,25920,21427,20736,26784,26784,25920,16070,15552,16070,281059
VIVEROS DEL RELOJ #2,137,485353,2136042,569,09,003,Coyoac?ín,09003,176774,157248,155347,168480,155347,155520,160704,149990,127008,155347,145152,155347,1862266
DIRECTO #18,138,489804,2135343,140,09,013,Xochimilco,09013,85709,70157,61603,41472,74995,69984,74995,96422,82944,74995,90720,88387,912384
DIRECTO #19,139,481368,2134327,141,09,012,Tlalpan,09012,26784,26611,32141,31104,26784,25920,24106,34819,25920,26784,28512,29462,338947
DIRECTO #20-B,140,480015,2134312,142,09,003,Coyoac?ín,09003,149990,203213,230342,225504,251770,238464,214272,211594,222912,235699,215136,195523,2594419
DIRECTO #21,141,479873,2134178,143,09,012,Tlalpan,09012,112493,99187,112493,88128,104458,152928,155347,155347,168480,163382,160704,149990,1622938
DIRECTO #22,142,477696,2134789,144,09,012,Tlalpan,09012,115171,96768,107136,98496,117850,95904,74995,107136,25920,125885,119232,45533,1130026
DIRECTO #24,143,482128,2135810,145,09,003,Coyoac?ín,09003,50890,45965,144634,139968,139277,119232,125885,128563,108864,123206,108864,107136,1342483
DIRECTO #25,144,483719,2134751,146,09,003,Coyoac?ín,09003,123206,116122,104458,103680,101779,129600,115171,120528,111456,112493,121824,125885,1386202
NAHUATLACAS,145,483445,2136059,235,09,003,Coyoac?ín,09003,192845,174182,168739,165888,155347,152928,152669,176774,132192,176774,173664,176774,1998778
PEDREGAL DE CARRASCO,146,482587,2134705,276,09,003,Coyoac?ín,09003,158026,16934,133920,127008,125885,129600,136598,139277,119232,136598,152928,152669,1528675
SANTA URSULA,147,483587,2135232,448,09,003,Coyoac?ín,09003,128563,174182,187488,184032,182131,181440,190166,192845,191808,195523,196992,198202,2203373
SANTO DOMINGO,148,487365,2136808,453,09,003,Coyoac?ín,09003,88387,82253,96422,77760,64282,85536,56246,83030,67392,83030,77760,61603,923702
TERRANOVA,149,480277,2137821,495,09,003,Coyoac?ín,09003,96422,77414,40176,46656,53568,54432,45533,42854,44064,91066,101088,158026,851299
ZAPATA #17,150,482186,2134254,576,09,012,Tlalpan,09012,42854,36288,53568,51840,48211,51840,61603,61603,72576,64282,62208,64282,671155
ZAPOTECAS,151,483267,2136640,577,09,003,Coyoac?ín,09003,208915,188698,198202,202176,192845,189216,37498,96422,119232,152669,150336,155347,1891555
AUXILIAR XOTEPINGO #1-B,152,485577,2137590,51,09,003,Coyoac?ín,09003,123206,96768,115171,116640,155347,RECUP.,RECUP.,RECUP.,165888,179453,186624,69638,1208736
AUXILIAR XOTEPINGO #1-C,153,485987,2137418,52,09,003,Coyoac?ín,09003,91066,62899,85709,25920,18749,129600,152669,147312,41472,RECUP.,REHAB.,214272,969667
COUNTRY CLUB,154,485226,2139758,129,09,003,Coyoac?ín,09003,93744,67738,64282,62208,42854,54432,48211,58925,80352,61603,54432,48211,736992
EDUCACION #1,155,485357,2138170,147,09,003,Coyoac?ín,09003,123206,113702,83030,75168,85709,44064,74995,74995,127008,125885,114048,109814,1151626
EDUCACION #2 (V),156,481261,2131506,149,09,012,Tlalpan,09012,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,RECUP.,REPOS.,REPOS.,REPOS.,REPOS.,0
EDUCACION #2 (N),157,486192,2137920,148,09,003,Coyoac?ín,09003,163382,128218,203558,209952,216950,194400,227664,216950,147744,107136,111456,125885,2053296
PRADOS CHURUBUSCO,158,486699,2140007,320,09,003,Coyoac?ín,09003,257126,263693,233021,121824,136598,108864,117850,115171,77760,107136,95904,107136,1742083
GRANJAS AGRICOLA COAPA,159,487793,2133865,167,09,012,Tlalpan,09012,139277,29030,,,,,,,,,,,168307
HUIPULCO,160,485681,2132491,176,09,012,Tlalpan,09012,109814,101606,99101,80352,85709,75168,93744,96422,163296,107136,106272,112493,1231114
LOS COYOTES,161,487314,2135852,214,09,003,Coyoac?ín,09003,32141,26611,26784,28512,34819,REPAR.,195523,187488,186624,155347,163296,176774,1213920
