"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.21597094727E+03   2.21910009766E+03  CNA_2157_V_9
   2.21518920898E+03   2.21908007812E+03  CNA_2157_V_1
   2.21425927734E+03   2.21636010742E+03  CNA_2157_V_1
   2.21374291992E+03   2.21650000000E+03  CNA_2157_V_1
   2.21322583008E+03   2.21510009766E+03  CNA_2157_V_1
   2.21236987305E+03   2.20739990234E+03  CNA_2157_V_1
   2.21172143555E+03   2.21877001953E+03  CNA_2157_V_1
   2.21125390625E+03   2.21236010742E+03  CNA_2157_V_1
   2.21088549805E+03   2.21213989258E+03  CNA_2157_V_1
   2.21048046875E+03   2.20936010742E+03  CNA_2157_V_1
   2.21003295898E+03   2.21566992188E+03  CNA_2157_V_1
   2.20964672852E+03   2.20954003906E+03  CNA_2157_V_2
   2.20925048828E+03   2.21066992188E+03  CNA_2157_V_2
   2.20877465820E+03   2.20639990234E+03  CNA_2157_V_2
   2.20836108398E+03   2.20620996094E+03  CNA_2157_V_2
   2.20797192383E+03   2.20587011719E+03  CNA_2157_V_2
   2.20758544922E+03   2.21316992188E+03  CNA_2157_V_2
   2.20713256836E+03   2.20480004883E+03  CNA_2157_V_2
   2.20676123047E+03   2.21284008789E+03  CNA_2157_V_2
   2.21512182617E+03   2.19961010742E+03  CNA_2193_1  
   2.21407055664E+03   2.18864990234E+03  CNA_2193_2  
   2.21353149414E+03   2.18762988281E+03  CNA_2193_3  
   2.21223583984E+03   2.18797998047E+03  CNA_2193_4  
   2.21145239258E+03   2.18520996094E+03  CNA_2193_5  
   2.21090429688E+03   2.18414990234E+03  CNA_2193_6  
   2.20971484375E+03   2.18071997070E+03  CNA_2193_7  
   2.20857373047E+03   2.18398999023E+03  CNA_2193_8  
   2.20823535156E+03   2.18460009766E+03  CNA_2193_9  
   2.20711621094E+03   2.17923999023E+03  CNA_2193_10 
   2.20558422852E+03   2.16387988281E+03  CNA_2193_11 
   2.20465722656E+03   2.16226000977E+03  CNA_2193_12 
   2.20330175781E+03   2.16107006836E+03  CNA_2193_13 
   2.20253271484E+03   2.15734008789E+03  CNA_2193_14 
   2.20207397461E+03   2.15609008789E+03  CNA_2193_15 
   2.20158666992E+03   2.15508007812E+03  CNA_2193_16 
   2.20114453125E+03   2.15429003906E+03  CNA_2193_17 
   2.22272363281E+03   2.24295996094E+03  CNA_2239_1  
   2.22202954102E+03   2.24085009766E+03  CNA_2239_2  
   2.22155053711E+03   2.23904003906E+03  CNA_2239_3  
   2.22094653320E+03   2.23761010742E+03  CNA_2239_4  
   2.22040185547E+03   2.23555004883E+03  CNA_2239_5  
   2.21983227539E+03   2.23439990234E+03  CNA_2239_6  
   2.21929833984E+03   2.23336010742E+03  CNA_2239_7  
   2.21875073242E+03   2.23256005859E+03  CNA_2239_8  
   2.21825537109E+03   2.23202001953E+03  CNA_2239_9  
   2.21756396484E+03   2.23121997070E+03  CNA_2239_10 
   2.21713256836E+03   2.23052001953E+03  CNA_2239_11 
   2.21663208008E+03   2.23001000977E+03  CNA_2239_12 
   2.21611938477E+03   2.22958007812E+03  CNA_2239_13 
   2.21558154297E+03   2.23904003906E+03  CNA_2239_14 
   2.21473071289E+03   2.22890991211E+03  CNA_2239_15 
   2.21333447266E+03   2.22973999023E+03  CNA_2239_16 
   2.21293383789E+03   2.22868994141E+03  CNA_2239_17 
   2.21248925781E+03   2.22846997070E+03  CNA_2239_18 
   2.21207666016E+03   2.22963989258E+03  CNA_2239_19 
   2.21169165039E+03   2.22797998047E+03  CNA_2239_20 
   2.21125170898E+03   2.22714990234E+03  CNA_2239_21 
   2.21082543945E+03   2.22701000977E+03  CNA_2239_22 
   2.21044506836E+03   2.22612988281E+03  CNA_2239_23 
   2.21004541016E+03   2.22577001953E+03  CNA_2239_24 
   2.20963964844E+03   2.22573999023E+03  CNA_2239_25 
   2.20924633789E+03   2.22437011719E+03  CNA_2239_26 
   2.27908081055E+03   2.20389990234E+03  CNA_245V2_1 
   2.27844604492E+03   2.20253002930E+03  CNA_245V2_2 
   2.28223999023E+03   2.20123999023E+03  CNA_245V2_3 
   2.28386694336E+03   2.20055004883E+03  CNA_245V2_4 
   2.27474414062E+03   2.20987011719E+03  CNA_245V2_5 
   2.27874511719E+03   2.19989990234E+03  CNA_245V2_6 
   2.27640209961E+03   2.21116992188E+03  CNA_245V2_7 
   2.27493432617E+03   2.19979003906E+03  CNA_245V2_8 
   2.27559106445E+03   2.20861010742E+03  CNA_245V2_9 
   2.27442260742E+03   2.20685009766E+03  CNA_245V2_10
   2.21443823242E+03   2.20075000000E+03  CNA_2599_1  
   2.21417260742E+03   2.19818994141E+03  CNA_2599_2  
   2.21387866211E+03   2.19643994141E+03  CNA_2599_3  
   2.21337817383E+03   2.19411010742E+03  CNA_2599_4  
   2.21283886719E+03   2.19192993164E+03  CNA_2599_5  
   2.21226708984E+03   2.19056005859E+03  CNA_2599_6  
   2.21150122070E+03   2.18937011719E+03  CNA_2599_7  
   2.21075878906E+03   2.18791992188E+03  CNA_2599_8  
   2.21018090820E+03   2.18625000000E+03  CNA_2599_9  
   2.20928955078E+03   2.18518994141E+03  CNA_2599_10 
   2.20899194336E+03   2.18457006836E+03  CNA_2599_11 
   2.20794262695E+03   2.18376000977E+03  CNA_2599_12 
   2.20750952148E+03   2.18291992188E+03  CNA_2599_13 
   2.20637597656E+03   2.18156005859E+03  CNA_2599_14 
   2.20481445312E+03   2.17401000977E+03  CNA_2599_15 
   2.20435644531E+03   2.17577001953E+03  CNA_2599_16 
   2.20389331055E+03   2.17562988281E+03  CNA_2599_17 
   2.20347363281E+03   2.17726000977E+03  CNA_2599_18 
   2.20303491211E+03   2.17473999023E+03  CNA_2599_19 
   2.20254150391E+03   2.17425000000E+03  CNA_2599_20 
   2.20208203125E+03   2.17456005859E+03  CNA_2599_21 
   2.20187402344E+03   2.17262011719E+03  CNA_2599_22 
   2.20132885742E+03   2.17147998047E+03  CNA_2599_23 
   2.20085815430E+03   2.17016992188E+03  CNA_2599_24 
   2.20041967773E+03   2.16952001953E+03  CNA_2599_25 
   2.21469946289E+03   2.22822998047E+03  CNA_2616_1  
