DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay,Urban
REPDA-DF,484807.4937,2152327.78,-0.000110984,2005,2014,16,253,361,7665,10950,-9.589041096,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,481750.6154,2156633.611,-0.027616438,2005,2014,17,253,361,7665,10950,-2386.060274,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,482537.6304,2156663.568,-0.000775304,2005,2014,18,253,361,7665,10950,-66.98630137,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,465221.8375,2155612.889,-0.001459221,2005,2014,19,253,361,7665,10950,-126.0767123,15,57,Naucalpan de Ju?írez,15057,0,Rural
REPDA-DF,480085.4379,2153223.701,-0.00459792,2005,2014,20,253,361,7665,10950,-397.260274,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,482799.7531,2156448.166,-0.003131691,2005,2014,21,253,361,7665,10950,-270.5780822,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,481629.2421,2151931.166,-0.001150685,2005,2014,22,253,361,7665,10950,-99.41917808,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,479328.0892,2153777.795,-0.001204972,2005,2014,23,253,361,7665,10950,-104.109589,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,481681.6031,2151814.318,-0.002853881,2005,2014,24,253,361,7665,10950,-246.5753425,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,483322.1439,2153988.816,-0.000792745,2005,2014,25,253,361,7665,10950,-68.49315068,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483263.9541,2154111.813,-0.006722476,2005,2014,26,253,361,7665,10950,-580.8219178,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483056.0843,2156266.582,-0.003170979,2005,2014,27,253,361,7665,10950,-273.9726027,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,482911.7806,2151622.552,-0.000381279,2005,2014,28,253,361,7665,10950,-32.94246575,9,15,Cuauht??moc,9015,1,1980
REPDA-DF,481395.9055,2151839.198,-0.000315322,2005,2014,29,253,361,7665,10950,-27.24383562,9,2,Azcapotzalco,9002,1,1959
REPDA-DF,483061.161,2155464.374,-0.000187088,2005,2014,30,253,361,7665,10950,-16.16438356,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483876.77,2154818.177,-0.030589041,2005,2014,31,253,361,7665,10950,-2642.893151,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483964.2489,2154848.834,-0.022916667,2005,2014,32,253,361,7665,10950,-1980,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483032.6473,2156140.587,-0.003269787,2005,2014,33,253,361,7665,10950,-282.509589,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,482945.4635,2156417.292,-0.00366933,2005,2014,34,253,361,7665,10950,-317.030137,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483615.5591,2156078.577,-0.001813261,2005,2014,35,253,361,7665,10950,-156.6657534,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483615.5312,2156047.841,-0.001620053,2005,2014,36,253,361,7665,10950,-139.9726027,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,480293.4698,2156850.295,-0.003333333,2005,2014,37,253,361,7665,10950,-288,9,2,Azcapotzalco,9002,0,1993
REPDA-DF,478982.0213,2157005.455,-0.000361365,2005,2014,38,253,361,7665,10950,-31.22191781,9,2,Azcapotzalco,9002,0,1993
REPDA-DF,480351.7644,2156850.232,-0.000797184,2005,2014,39,253,361,7665,10950,-68.87671233,9,2,Azcapotzalco,9002,0,1993
REPDA-DF,481425.0924,2151869.904,-0.003966832,2005,2014,40,253,361,7665,10950,-342.7342466,9,2,Azcapotzalco,9002,1,1959
REPDA-DF,481425.0609,2151839.168,-0.005346144,2005,2014,41,253,361,7665,10950,-461.9068493,9,2,Azcapotzalco,9002,1,1959
REPDA-DF,482740.5755,2155526.149,-0.000107274,2005,2014,42,253,361,7665,10950,-9.268493151,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,482857.0271,2155372.359,-0.00013001,2005,2014,43,253,361,7665,10950,-11.23287671,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483090.4257,2155587.289,-7.61E-06,2005,2014,44,253,361,7665,10950,-0.657534247,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,485029.9059,2139203.567,-0.000487697,2005,2014,45,253,361,7665,10950,-42.1369863,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,484884.002,2139172.952,-0.000488331,2005,2014,46,253,361,7665,10950,-42.19178082,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,485143.7019,2135638.194,-0.007927448,2005,2014,47,253,361,7665,10950,-684.9315068,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,485143.6769,2135607.459,-0.007511416,2005,2014,48,253,361,7665,10950,-648.9863014,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,484534.6403,2140052.274,-0.003363236,2005,2014,49,253,361,7665,10950,-290.5835616,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,484967.6259,2134439.669,-0.008089802,2005,2014,50,253,361,7665,10950,-698.9589041,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,484705.6718,2135269.735,-0.003488077,2005,2014,51,253,361,7665,10950,-301.369863,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,480564.0888,2137394.408,-0.02575,2005,2014,52,253,361,7665,10950,-2224.8,9,3,Coyoac?ín,9003,1,1959
REPDA-DF,479892.2338,2136718.962,-0.052039732,2005,2014,53,253,361,7665,10950,-4496.232877,9,3,Coyoac?ín,9003,1,1941
REPDA-DF,479832.4797,2135458.884,-0.016853184,2005,2014,54,253,361,7665,10950,-1456.115068,9,3,Coyoac?ín,9003,0,Rural
REPDA-DF,485617.7233,2144643.242,-0.001173262,2005,2014,55,253,361,7665,10950,-101.369863,9,14,Benito Ju?írez,9014,1,1941
REPDA-DF,480306.8394,2142343.07,-0.003082192,2005,2014,56,253,361,7665,10950,-266.3013699,9,14,Benito Ju?írez,9014,1,1929
REPDA-DF,481910.1251,2141234.93,-0.004793886,2005,2014,57,253,361,7665,10950,-414.1917808,9,14,Benito Ju?írez,9014,1,1929
REPDA-DF,482874.8723,2143416.206,-0.000170282,2005,2014,58,253,361,7665,10950,-14.71232877,9,14,Benito Ju?írez,9014,1,1929
REPDA-DF,484655.3189,2144766.971,-9.51E-05,2005,2014,59,253,361,7665,10950,-8.219178082,9,14,Benito Ju?írez,9014,1,1929
REPDA-DF,479406.1054,2145479.085,-0.0075,2005,2014,60,253,361,7665,10950,-648,9,16,Miguel Hidalgo,9016,1,1959
REPDA-DF,485059.9646,2140279.276,-0.000792745,2005,2014,61,253,361,7665,10950,-68.49315068,9,3,Coyoac?ín,9003,1,1929
REPDA-DF,485001.1608,2139726.089,-7.61E-06,2005,2014,62,253,361,7665,10950,-0.657534247,9,3,Coyoac?ín,9003,1,1941
REPDA-DF,489181.3873,2153523.324,-0.001260591,2005,2014,63,253,361,7665,10950,-108.9150685,9,5,Gustavo A. Madero,9005,1,1980
REPDA-DF,488577.9351,2153532.916,-0.011256976,2005,2014,64,253,361,7665,10950,-972.6027397,9,5,Gustavo A. Madero,9005,1,1980
REPDA-DF,489765.517,2155428.594,-0.001030885,2005,2014,65,253,361,7665,10950,-89.06849315,9,5,Gustavo A. Madero,9005,1,1980
REPDA-DF,484226.2004,2154387.568,-0.009576357,2005,2014,66,253,361,7665,10950,-827.3972603,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,489210.6865,2153769.192,-0.001902588,2005,2014,67,253,361,7665,10950,-164.3835616,9,5,Gustavo A. Madero,9005,1,1970
