DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,479963,2138791,1,1984,1985,193,-1,0,0,31,-3172,9,10,?ülvaro Obreg??n,9010
SACM,479233,2137630,1,1984,1985,198,-1,0,0,31,-2567,9,10,?ülvaro Obreg??n,9010
SACM,479590,2136089,1,1984,1985,199,-1,0,0,31,-2167,9,3,Coyoac?ín,9003
SACM,477965,2135930,1,1984,1985,200,-1,0,0,31,-1496,9,10,?ülvaro Obreg??n,9010
SACM,476896,2135388,1,1984,1985,201,-1,0,0,31,-4480,9,12,Tlalpan,9012
SACM,477155,2135188,1,1984,1985,203,-1,0,0,31,-1535,9,10,?ülvaro Obreg??n,9010
SACM,481303,2145227,1,1984,1985,194,-1,0,0,31,-4263,9,16,Miguel Hidalgo,9016
SACM,480823,2144109,1,1984,1985,195,-1,0,0,31,-2762,9,14,Benito Ju?írez,9014
SACM,480797,2141915,1,1984,1985,204,-1,0,0,31,-4024,9,14,Benito Ju?írez,9014
SACM,483898,2137741,1,1984,1985,205,-1,0,0,31,-2444,9,3,Coyoac?ín,9003
SACM,483034,2142593,1,1984,1985,206,-1,0,0,31,-2190,9,14,Benito Ju?írez,9014
SACM,478689,2150496,1,1984,1985,210,-1,0,0,31,-4754,9,16,Miguel Hidalgo,9016
SACM,483778,2138641,1,1984,1985,215,-1,0,0,31,-4455,9,3,Coyoac?ín,9003
SACM,481481,2149520,1,1984,1985,217,-1,0,0,31,-3549,9,16,Miguel Hidalgo,9016
SACM,480760,2150404,1,1984,1985,218,-1,0,0,31,-1722,9,16,Miguel Hidalgo,9016
SACM,480221,2151033,1,1984,1985,219,-1,0,0,31,-1805,9,16,Miguel Hidalgo,9016
SACM,480664,2144482,1,1984,1985,220,-1,0,0,31,-3323,9,14,Benito Ju?írez,9014
SACM,485070,2143994,1,1984,1985,224,-1,0,0,31,-2372,9,14,Benito Ju?írez,9014
SACM,480622,2143758,1,1984,1985,228,-1,0,0,31,-2233,9,14,Benito Ju?írez,9014
SACM,485274,2140695,1,1984,1985,229,-1,0,0,31,-4703,9,14,Benito Ju?írez,9014
SACM,485903,2144382,1,1984,1985,230,-1,0,0,31,-4750,9,14,Benito Ju?írez,9014
SACM,479642,2147289,1,1984,1985,231,-1,0,0,31,-3221,9,16,Miguel Hidalgo,9016
SACM,485550,2142726,1,1984,1985,236,-1,0,0,31,-2039,9,14,Benito Ju?írez,9014
SACM,485111,2142220,1,1984,1985,253,-1,0,0,31,-4380,9,14,Benito Ju?írez,9014
SACM,483779,2141901,1,1984,1985,270,-1,0,0,31,-3897,9,14,Benito Ju?írez,9014
SACM,483060,2143897,1,1984,1985,254,-1,0,0,31,-948,9,14,Benito Ju?írez,9014
SACM,482687,2138340,1,1984,1985,277,-1,0,0,31,-4135,9,3,Coyoac?ín,9003
SACM,481901,2135103,1,1984,1985,279,-1,0,0,31,-4169,9,3,Coyoac?ín,9003
SACM,477073,2150067,1,1984,1985,312,-1,0,0,31,-1876,9,16,Miguel Hidalgo,9016
SACM,484686,2140946,1,1984,1985,317,-1,0,0,31,-2154,9,14,Benito Ju?írez,9014
SACM,481168,2151220,1,1984,1985,316,-1,0,0,31,-760,9,16,Miguel Hidalgo,9016
SACM,484258,2143551,1,1984,1985,353,-1,0,0,31,-7319,9,14,Benito Ju?írez,9014
SACM,482187,2138640,1,1984,1985,364,-1,0,0,31,-1964,9,3,Coyoac?ín,9003
SACM,484853,2136072,1,1984,1985,365,-1,0,0,31,-1661,9,3,Coyoac?ín,9003
SACM,481404,2150143,1,1984,1985,379,-1,0,0,31,-2039,9,16,Miguel Hidalgo,9016
SACM,481648,2151031,1,1984,1985,380,-1,0,0,31,-5664,9,16,Miguel Hidalgo,9016
SACM,478238,2150738,1,1984,1985,386,-1,0,0,31,-2870,9,16,Miguel Hidalgo,9016
SACM,477902,2150276,1,1984,1985,363,-1,0,0,31,-2483,9,16,Miguel Hidalgo,9016
SACM,487813,2142061,1,1984,1985,389,-1,0,0,31,-1133,9,7,Iztapalapa,9007
SACM,487121,2145200,1,1984,1985,424,-1,0,0,31,-1265,9,6,Iztacalco,9006
SACM,480791,2133270,1,1984,1985,439,-1,0,0,31,-3359,9,12,Tlalpan,9012
SACM,485843,2150447,1,1984,1985,452,-1,0,0,31,-2652,9,15,Cuauht??moc,9015
SACM,498446,2140032,1,1984,1985,457,-1,0,0,31,-2750,9,7,Iztapalapa,9007
SACM,480210,2151387,1,1984,1985,459,-1,0,0,31,-5361,9,16,Miguel Hidalgo,9016
SACM,478906,2138404,1,1984,1985,497,-1,0,0,31,-5967,9,10,?ülvaro Obreg??n,9010
SACM,487162,2141990,1,1984,1985,561,-1,0,0,31,-4833,9,7,Iztapalapa,9007
SACM,480489,2134541,1,1984,1985,563,-1,0,0,31,-4309,9,3,Coyoac?ín,9003
SACM,485383,2135593,1,1984,1985,568,-1,0,0,31,-1155,9,3,Coyoac?ín,9003
SACM,485353,2136042,1,1984,1985,569,-1,0,0,31,-5459,9,3,Coyoac?ín,9003
SACM,489804,2135343,1,1984,1985,140,-1,0,0,31,-2613,9,13,Xochimilco,9013
SACM,480015,2134312,1,1984,1985,142,-1,0,0,31,-5910,9,3,Coyoac?ín,9003
SACM,479873,2134178,1,1984,1985,143,-1,0,0,31,-4555,9,12,Tlalpan,9012
SACM,477696,2134789,1,1984,1985,144,-1,0,0,31,-3266,9,12,Tlalpan,9012
SACM,482128,2135810,1,1984,1985,145,-1,0,0,31,-2689,9,3,Coyoac?ín,9003
SACM,483445,2136059,1,1984,1985,235,-1,0,0,31,-6705,9,3,Coyoac?ín,9003
