DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,497573,2142887,1,1984,1985,285,-1,0,0,31,-8896,9,7,Iztapalapa,9007
SACM,495210,2141993,1,1984,1985,286,-1,0,0,31,-4290,9,7,Iztapalapa,9007
SACM,485811,2136521,1,1984,1985,288,-1,0,0,31,-5212,9,3,Coyoac?ín,9003
SACM,497336,2141954,1,1984,1985,289,-1,0,0,31,-3963,9,7,Iztapalapa,9007
SACM,496897,2141745,1,1984,1985,290,-1,0,0,31,-1899,9,7,Iztapalapa,9007
SACM,496437,2142004,1,1984,1985,291,-1,0,0,31,-4995,9,7,Iztapalapa,9007
SACM,496509,2142463,1,1984,1985,292,-1,0,0,31,-2763,9,7,Iztapalapa,9007
SACM,492113,2140360,1,1984,1985,326,-1,0,0,31,-2985,9,7,Iztapalapa,9007
SACM,492584,2141270,1,1984,1985,332,-1,0,0,31,-1747,9,7,Iztapalapa,9007
SACM,480042,2143331,1,1984,1985,454,-1,0,0,31,-5382,9,14,Benito Ju?írez,9014
SACM,487649,2141016,1,1984,1985,455,-1,0,0,31,-2668,9,7,Iztapalapa,9007
SACM,487114,2141384,1,1984,1985,532,-1,0,0,31,-173,9,7,Iztapalapa,9007
SACM,486789,2140914,1,1984,1985,533,-1,0,0,31,-1814,9,7,Iztapalapa,9007
SACM,487174,2140802,1,1984,1985,534,-1,0,0,31,-1443,9,7,Iztapalapa,9007
SACM,487435,2140423,1,1984,1985,559,-1,0,0,31,-4925,9,7,Iztapalapa,9007
SACM,487191,2140016,1,1984,1985,560,-1,0,0,31,-1123,9,3,Coyoac?ín,9003
SACM,496913,2138347,1,1984,1985,443,-1,0,0,31,-4164,9,7,Iztapalapa,9007
SACM,479525,2142124,1,1984,1985,20,-1,0,0,31,-1706,9,10,?ülvaro Obreg??n,9010
SACM,479826,2143897,1,1984,1985,77,-1,0,0,31,-2244,9,10,?ülvaro Obreg??n,9010
SACM,477767,2140498,1,1984,1985,84,-1,0,0,31,-2226,9,10,?ülvaro Obreg??n,9010
SACM,479080,2143917,1,1984,1985,131,-1,0,0,31,-3711,9,10,?ülvaro Obreg??n,9010
SACM,479819,2141143,1,1984,1985,99,-1,0,0,31,-1361,9,10,?ülvaro Obreg??n,9010
SACM,476811,2147687,1,1984,1985,112,-1,0,0,31,-1934,9,16,Miguel Hidalgo,9016
SACM,479054,2141245,1,1984,1985,221,-1,0,0,31,-2059,9,10,?ülvaro Obreg??n,9010
SACM,479362,2140943,1,1984,1985,222,-1,0,0,31,-853,9,10,?ülvaro Obreg??n,9010
SACM,477978,2138211,1,1984,1985,251,-1,0,0,31,-603,9,10,?ülvaro Obreg??n,9010
SACM,479631,2143506,1,1984,1985,319,-1,0,0,31,-1469,9,10,?ülvaro Obreg??n,9010
SACM,477108,2150026,1,1984,1985,362,-1,0,0,31,-645,9,16,Miguel Hidalgo,9016
SACM,476723,2136300,1,1984,1985,385,-1,0,0,31,-1227,9,8,La Magdalena Contreras,9008
SACM,477689,2141301,1,1984,1985,446,-1,0,0,31,-1006,9,10,?ülvaro Obreg??n,9010
SACM,479760,2144819,1,1984,1985,460,-1,0,0,31,-4045,9,10,?ülvaro Obreg??n,9010
SACM,478505,2144514,1,1984,1985,461,-1,0,0,31,-1220,9,10,?ülvaro Obreg??n,9010
SACM,477626,2144350,1,1984,1985,462,-1,0,0,31,-690,9,10,?ülvaro Obreg??n,9010
SACM,475535,2138416,1,1984,1985,496,-1,0,0,31,-1627,9,10,?ülvaro Obreg??n,9010
SACM,472181,2142453,1,1984,1985,567,-1,0,0,31,-2220,9,4,Cuajimalpa de Morelos,9004
