DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,492326.0000000000,2140858.0000000000,-0.04466666666666660000,2005,2006,287,253,265,7665,8030,-3859.2000000000,09,007,Iztapalapa,09007
SACM,484258.0000000000,2143551.0000000000,-0.05208333333333330000,2005,2006,288,253,265,7665,8030,-4500.0000000000,09,014,Benito Ju?írez,09014
SACM,486349.0000000000,2143484.0000000000,-0.06725000000000000000,2005,2006,289,253,265,7665,8030,-5810.4000000000,09,006,Iztacalco,09006
SACM,482187.0000000000,2138640.0000000000,-0.05400000000000000000,2005,2006,290,253,265,7665,8030,-4665.6000000000,09,003,Coyoac?ín,09003
SACM,484853.0000000000,2136072.0000000000,-0.04191666666666660000,2005,2006,291,253,265,7665,8030,-3621.6000000000,09,003,Coyoac?ín,09003
SACM,481404.0000000000,2150143.0000000000,-0.04566666666666660000,2005,2006,292,253,265,7665,8030,-3945.6000000000,09,016,Miguel Hidalgo,09016
SACM,481648.0000000000,2151031.0000000000,-0.05745454545454540000,2005,2006,293,253,265,7665,8030,-4964.0727272727,09,016,Miguel Hidalgo,09016
SACM,481638.0000000000,2133393.0000000000,-0.05500000000000000000,2005,2006,294,253,265,7665,8030,-4752.0000000000,09,012,Tlalpan,09012
SACM,478238.0000000000,2150738.0000000000,-0.03641666666666660000,2005,2006,295,253,265,7665,8030,-3146.4000000000,09,016,Miguel Hidalgo,09016
SACM,478946.0000000000,2154626.0000000000,-0.05283333333333330000,2005,2006,296,253,265,7665,8030,-4564.8000000000,09,002,Azcapotzalco,09002
SACM,487813.0000000000,2142061.0000000000,-0.05700000000000000000,2005,2006,297,253,265,7665,8030,-4924.8000000000,09,007,Iztapalapa,09007
SACM,479995.0000000000,2155926.0000000000,-0.02341666666666660000,2005,2006,298,253,265,7665,8030,-2023.2000000000,09,002,Azcapotzalco,09002
SACM,478781.0000000000,2155913.0000000000,-0.03700000000000000000,2005,2006,299,253,265,7665,8030,-3196.8000000000,09,002,Azcapotzalco,09002
SACM,478540.0000000000,2153210.0000000000,-0.02775000000000000000,2005,2006,300,253,265,7665,8030,-2397.6000000000,09,002,Azcapotzalco,09002
SACM,478126.0000000000,2154207.0000000000,-0.03200000000000000000,2005,2006,301,253,265,7665,8030,-2764.8000000000,09,002,Azcapotzalco,09002
SACM,487121.0000000000,2145200.0000000000,-0.03000000000000000000,2005,2006,302,253,265,7665,8030,-2592.0000000000,09,006,Iztacalco,09006
SACM,487649.0000000000,2141016.0000000000,-0.05849999999999990000,2005,2006,303,253,265,7665,8030,-5054.4000000000,09,007,Iztapalapa,09007
