DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay
REPDA-DF,482911.8,2151623,-0.00038,2005,2014,28,253,361,7665,10950,-32.942,9,15,Cuauht??moc,9015,1
REPDA-DF,481395.9,2151839,-0.00032,2005,2014,29,253,361,7665,10950,-27.244,9,2,Azcapotzalco,9002,1
REPDA-DF,483061.2,2155464,-0.00019,2005,2014,30,253,361,7665,10950,-16.164,9,2,Azcapotzalco,9002,1
REPDA-DF,483876.8,2154818,-0.03059,2005,2014,31,253,361,7665,10950,-2642.893,9,2,Azcapotzalco,9002,1
REPDA-DF,483964.2,2154849,-0.02292,2005,2014,32,253,361,7665,10950,-1980.000,9,2,Azcapotzalco,9002,1
REPDA-DF,483032.6,2156141,-0.00327,2005,2014,33,253,361,7665,10950,-282.510,9,2,Azcapotzalco,9002,1
REPDA-DF,482945.5,2156417,-0.00367,2005,2014,34,253,361,7665,10950,-317.030,9,2,Azcapotzalco,9002,1
REPDA-DF,483615.6,2156079,-0.00181,2005,2014,35,253,361,7665,10950,-156.666,9,2,Azcapotzalco,9002,1
REPDA-DF,483615.5,2156048,-0.00162,2005,2014,36,253,361,7665,10950,-139.973,9,2,Azcapotzalco,9002,1
REPDA-DF,480293.5,2156850,-0.00333,2005,2014,37,253,361,7665,10950,-288.000,9,2,Azcapotzalco,9002,1
REPDA-DF,478982.0,2157005,-0.00036,2005,2014,38,253,361,7665,10950,-31.222,9,2,Azcapotzalco,9002,1
REPDA-DF,480351.8,2156850,-0.00080,2005,2014,39,253,361,7665,10950,-68.877,9,2,Azcapotzalco,9002,1
REPDA-DF,481425.1,2151870,-0.00397,2005,2014,40,253,361,7665,10950,-342.734,9,2,Azcapotzalco,9002,1
REPDA-DF,481425.1,2151839,-0.00535,2005,2014,41,253,361,7665,10950,-461.907,9,2,Azcapotzalco,9002,1
REPDA-DF,482740.6,2155526,-0.00011,2005,2014,42,253,361,7665,10950,-9.268,9,2,Azcapotzalco,9002,1
REPDA-DF,482857.0,2155372,-0.00013,2005,2014,43,253,361,7665,10950,-11.233,9,2,Azcapotzalco,9002,1
REPDA-DF,483090.4,2155587,-0.00001,2005,2014,44,253,361,7665,10950,-0.658,9,2,Azcapotzalco,9002,1
REPDA-DF,485029.9,2139204,-0.00049,2005,2014,45,253,361,7665,10950,-42.137,9,3,Coyoac?ín,9003,1
REPDA-DF,484884.0,2139173,-0.00049,2005,2014,46,253,361,7665,10950,-42.192,9,3,Coyoac?ín,9003,1
REPDA-DF,485143.7,2135638,-0.00793,2005,2014,47,253,361,7665,10950,-684.932,9,3,Coyoac?ín,9003,0
REPDA-DF,485143.7,2135607,-0.00751,2005,2014,48,253,361,7665,10950,-648.986,9,3,Coyoac?ín,9003,0
REPDA-DF,484534.6,2140052,-0.00336,2005,2014,49,253,361,7665,10950,-290.584,9,3,Coyoac?ín,9003,1
REPDA-DF,484967.6,2134440,-0.00809,2005,2014,50,253,361,7665,10950,-698.959,9,3,Coyoac?ín,9003,0
REPDA-DF,484705.7,2135270,-0.00349,2005,2014,51,253,361,7665,10950,-301.370,9,3,Coyoac?ín,9003,0
REPDA-DF,480564.1,2137394,-0.02575,2005,2014,52,253,361,7665,10950,-2224.800,9,3,Coyoac?ín,9003,0
REPDA-DF,479892.2,2136719,-0.05204,2005,2014,53,253,361,7665,10950,-4496.233,9,3,Coyoac?ín,9003,0
REPDA-DF,479832.5,2135459,-0.01685,2005,2014,54,253,361,7665,10950,-1456.115,9,3,Coyoac?ín,9003,0
REPDA-DF,485617.7,2144643,-0.00117,2005,2014,55,253,361,7665,10950,-101.370,9,14,Benito Ju?írez,9014,1
REPDA-DF,480306.8,2142343,-0.00308,2005,2014,56,253,361,7665,10950,-266.301,9,14,Benito Ju?írez,9014,0
REPDA-DF,481910.1,2141235,-0.00479,2005,2014,57,253,361,7665,10950,-414.192,9,14,Benito Ju?írez,9014,0
REPDA-DF,482874.9,2143416,-0.00017,2005,2014,58,253,361,7665,10950,-14.712,9,14,Benito Ju?írez,9014,1
REPDA-DF,484655.3,2144767,-0.00010,2005,2014,59,253,361,7665,10950,-8.219,9,14,Benito Ju?írez,9014,1
REPDA-DF,479406.1,2145479,-0.00750,2005,2014,60,253,361,7665,10950,-648.000,9,16,Miguel Hidalgo,9016,0
REPDA-DF,485060.0,2140279,-0.00079,2005,2014,61,253,361,7665,10950,-68.493,9,3,Coyoac?ín,9003,1
REPDA-DF,485001.2,2139726,-0.00001,2005,2014,62,253,361,7665,10950,-0.658,9,3,Coyoac?ín,9003,1
REPDA-DF,489181.4,2153523,-0.00126,2005,2014,63,253,361,7665,10950,-108.915,9,5,Gustavo A. Madero,9005,1
REPDA-DF,488577.9,2153533,-0.01126,2005,2014,64,253,361,7665,10950,-972.603,9,5,Gustavo A. Madero,9005,1
REPDA-DF,489765.5,2155429,-0.00103,2005,2014,65,253,361,7665,10950,-89.068,9,5,Gustavo A. Madero,9005,0
REPDA-DF,484226.2,2154388,-0.00958,2005,2014,66,253,361,7665,10950,-827.397,9,2,Azcapotzalco,9002,1
REPDA-DF,489210.7,2153769,-0.00190,2005,2014,67,253,361,7665,10950,-164.384,9,5,Gustavo A. Madero,9005,1
REPDA-DF,488622.2,2145041,-0.00159,2005,2014,68,253,361,7665,10950,-136.986,9,6,Iztacalco,9006,1
