ROW,COLUMN,CondFact,Station
12,121,251.0778487,0
13,120,137.2587779,0
13,121,446.0683448,0
14,120,597.7266797,0
15,120,573.6908325,0
16,120,247.650879,0
16,121,589.7351958,0
17,121,60.37905172,0
17,122,670.610288,0
18,122,526.5621931,0
19,122,561.3242232,0
19,127,430.2459418,0
20,49,19.51059827,0
20,68,52.54731403,0
20,69,95.55981432,0
20,121,219.5751574,0
20,122,617.3342193,0
20,127,575.3540787,0
20,130,163.0969458,0
20,131,182.0096834,0
21,49,540.8676143,0
21,69,603.1858301,0
21,121,123.1024363,0
21,122,406.5268182,0
21,125,438.6352186,0
21,126,948.7867364,0
21,127,762.4306762,0
21,128,258.793375,0
21,129,581.9082094,0
21,130,399.3841151,0
21,131,427.5365537,0
21,132,631.5922327,0
21,133,559.3250787,0
21,134,330.2947159,0
21,139,188.9929658,0
21,140,526.5237522,0
21,141,536.1634609,0
21,142,32.4507968,0
22,37,101.3383026,0
22,40,324.7260173,0
22,41,373.3600237,0
22,49,509.3816737,0
22,63,231.7198767,0
22,69,163.0512154,0
22,70,768.5415227,0
22,71,150.1275461,0
22,124,533.125186,0
22,125,645.0832151,0
22,127,288.0155247,0
22,128,401.4412337,0
22,134,402.6307955,0
22,135,553.5512621,0
22,136,408.9682979,0
22,137,519.9176852,0
22,138,559.7282755,0
22,139,429.5783035,0
23,37,593.8356196,0
23,38,301.6310237,0
23,41,623.8022423,0
23,42,354.4083419,0
23,43,552.4346802,0
23,44,37.27823016,0
23,49,510.9866859,0
23,63,572.0476761,0
23,71,503.3088158,0
23,72,391.4832863,0
23,125,574.5740262,0
23,136,133.1431996,0
24,37,19.02977782,0
24,38,501.058581,0
24,39,547.2941002,0
24,40,576.0428218,0
24,41,597.0148275,0
24,42,159.7750842,0
24,44,485.0929513,0
24,45,546.5537151,0
24,49,183.2249858,0
24,50,326.7884173,0
24,62,539.0949473,0
24,63,111.4364185,0
24,72,240.5405036,0
24,73,560.6330253,0
24,125,510.4721532,0
24,126,347.395147,0
25,36,306.005561,0
25,37,991.2772576,0
25,38,875.2724715,0
25,39,888.6689314,0
25,45,363.8510221,0
25,46,233.263725,0
25,50,627.2822833,0
25,62,660.1783146,0
25,73,557.1156448,0
25,74,10.59370249,0
25,126,346.0779034,0
25,127,553.7277442,0
25,128,512.6734117,0
25,129,619.3508052,0
25,130,535.1916838,0
25,131,734.4989127,0
25,132,581.1328076,0
25,133,627.7883507,0
25,134,540.8367861,0
25,135,298.8733769,0
25,148,291.332695,0
25,149,520.5716292,0
25,150,306.4081513,0
26,35,656.226289,0
26,36,276.7520732,0
26,39,243.9450443,0
26,40,386.2094846,0
26,46,600.4075785,0
26,47,164.8384618,0
26,48,407.3699197,0
26,50,138.5731178,0
26,51,504.4497973,0
26,62,584.2987872,0
26,73,217.0127595,0
26,74,313.550871,0
26,127,91.75891803,0
26,128,27.94769978,0
26,131,141.4063491,0
26,132,632.9500007,0
26,133,642.1310208,0
26,134,52.98097551,0
26,135,427.6737217,0
26,136,642.5005256,0
26,137,440.1663327,0
26,139,219.3997194,0
26,140,156.2437267,0
26,147,668.603383,0
26,148,329.398047,0
27,29,156.3325036,0
27,40,543.365441,0
27,41,68.29526831,0
27,47,404.0763182,0
27,48,95.43778519,0
27,49,502.7273999,0
27,50,513.9361584,0
27,61,382.4240362,0
27,62,148.5810431,0
27,71,333.6753184,0
27,72,562.0897765,0
27,73,514.9629306,0
27,74,957.5959034,0
27,133,198.3095147,0
27,134,394.8297267,0
27,137,187.7748342,0
27,138,533.7263226,0
27,139,405.6682197,0
27,140,661.4674535,0
27,141,329.0752374,0
27,145,548.174401,0
27,146,774.9160364,0
27,147,50.45824408,0
28,29,541.743742,0
28,41,618.6448178,0
28,61,531.8390587,0
28,74,41.09948211,0
28,75,635.1082313,0
28,128,317.52534,0
28,129,554.7866303,0
28,130,540.1781522,0
28,131,658.9666592,0
28,132,225.7128894,0
28,134,819.1646952,0
28,135,527.5108367,0
28,141,328.3373722,0
28,142,484.3604578,0
28,144,397.358989,0
28,145,205.8448445,0
28,146,592.8435968,0
29,26,233.8506529,0
29,29,536.1665821,0
29,41,188.0151104,0
29,42,587.5190459,0
29,43,225.3797792,0
29,44,441.8325358,0
29,60,378.4922357,0
29,61,457.9802907,0
29,75,347.1871734,0
29,76,560.9192752,0
29,124,578.4288829,0
29,125,679.1563556,0
29,126,571.2314527,0
29,127,616.2230601,0
29,128,289.6061167,0
29,132,529.6022849,0
29,134,553.9417041,0
29,135,482.1947385,0
29,136,205.355201,0
29,142,298.1405623,0
29,143,873.5839466,0
29,144,368.9295622,0
29,146,248.5800687,0
29,147,526.9429658,0
30,24,73.26012304,0
30,25,532.202542,0
30,26,955.1786143,0
30,27,934.818464,0
30,28,582.1155061,0
30,29,1128.481368,0
30,30,1342.708545,0
30,31,764.1481605,0
30,33,393.7026002,0
30,37,296.9593566,0
30,38,62.82499612,0
30,59,168.5736261,0
30,60,438.9469247,0
30,76,33.24110832,0
30,77,603.8872509,0
30,132,545.5638692,0
30,134,265.7854026,0
30,135,291.9914463,0
30,136,638.8098622,0
30,143,417.0726128,0
30,144,580.3615867,0
30,145,303.3782998,0
30,147,192.9284029,0
30,148,556.8560181,0
30,149,335.0351166,0
31,26,421.8229073,0
31,27,59.98023883,0
31,28,959.7881274,0
31,29,646.4751326,0
31,30,468.7898804,0
31,31,832.4468532,0
31,32,862.7059302,0
31,33,707.9679893,0
31,34,720.910601,0
31,35,156.5687372,0
31,38,683.4906049,0
31,39,401.8085602,0
31,40,566.8487434,0
31,77,399.149447,0
31,78,386.621695,0
31,132,610.6957479,0
31,135,631.1641863,0
31,136,314.2775044,0
31,137,800.0183398,0
31,138,154.9567344,0
31,145,322.304078,0
31,146,439.3612598,0
31,149,604.496383,0
31,150,91.46708759,0
32,26,373.7076697,0
32,27,790.8322953,0
32,28,681.1865072,0
32,29,642.5246914,0
32,30,282.8822932,0
32,32,546.6138902,0
32,33,604.0816874,0
32,34,120.8876871,0
32,35,938.6623918,0
32,36,480.6708487,0
32,37,538.9215397,0
32,38,769.6974996,0
32,39,850.2414523,0
32,40,527.6257437,0
32,41,450.0584254,0
32,132,448.3108052,0
32,133,170.769837,0
32,136,643.728255,0
32,138,647.7944114,0
32,140,49.88214721,0
32,141,12.97043027,0
32,142,303.0379127,0
32,143,482.2793215,0
32,146,393.1253341,0
32,147,327.7748044,0
32,150,587.4700419,0
33,19,47.18641042,0
33,27,813.7147643,0
33,28,368.547413,0
33,29,327.4256074,0
33,31,398.0325927,0
33,32,368.3167781,0
33,34,594.1246718,0
33,35,45.70822813,0
33,36,424.2288857,0
33,37,294.8530617,0
